Actinobaculum	Actinomyces	Adlercreutzia	Aggregatibacter	Aminobacterium	Anaerococcus	Anaeroglobus	Anaerovorax	Arabia	Asaccharobacter	Atopobium	Blautia	Brachymonas	Butyrivibrio	Campylobacter	Candidatus Kryptonium	Candidatus Methanomethylophilus	Capnocytophaga	Cardiobacterium	Catonella	Cloacibacillus	Collinsella	Denitrobacterium	Desulfobulbus	Dialister	Dorea	Eggerthella	Eggerthia	Eikenella	Emergencia	Enterorhabdus	Eubacterium	Filifactor	Fusobacterium	Gemella	Gordonibacter	Johnsonella	Jonquetella	Lachnoanaerobaculum	Leptotrichia	Methanobrevibacter	Mogibacterium	Olsenella	Oribacterium	Ottowia	Paraeggerthella	Parvimonas	Peptoanaerobacter	Peptoniphilus	Peptostreptococcus	Phocaeicola	Porphyromonas	Prevotella	Pseudomonas	Pseudopropionibacterium	Pseudoramibacter	Raoultibacter	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Schaalia	Selenomonas	Senegalimassilia	Shuttleworthia	Slackia	Solobacterium	Streptobacillus	Streptococcus	Streptomyces	Tannerella	Thermanaerovibrio	Treponema	Veillonella
2545	933362	1	1635	1	1	1	1	259	1	504	1	1	1	3752	17648	1	3091	5233	285	1	904	1	7272	1	1	949	253	27335	1	262	418	584	307	268	974	553	1	1	256	782	1009	191441	1	77685	355	368	320	421	1	1201	1541	771	3357	75653	2744	390	1	323	1	397	38926	1523	1	1	5114	1	1	13471	3842	18483	1	6589	1
1	2846149	1793	1	1	1	1	1095	5621	1585	2263	1461	1	1417	2921	3390	7931	1	1	3585	2355	6759	2405	383510	1	1	19560	3388	1	1514	4930	3277	3731	1266	1	20854	1024	1078	1	1	143381	4802	467307	1517	1	4862	1848	2746	4811	1	31738	3482	1617	31355	377193	1402	7266	1	1	1795	3518	10792	2394	2079	1	13254	1	1	27108	13383	74759	1811	26972	1
1	1405445	1	3671	1	1	1	1	1	1	959	1	1	1	6790	1	1	2634	2968	1	1	2231	1	171093	629	1	1378	1	3009	1	1	496	492	394	1	1735	1862	1	1	1	719	1522	624199	467	52228	695	670	1	1	1	3869	1758	2021	10088	277213	26367	472	1	3549	1	1	33828	2429	1	1	2737	1	1	151873	5892	11034	1	7870	1
16866	1580098	1	599	1	1	1	1	1	1	1	1136	679	1	9367	2934	1	1175	3810	1	1	1881	1	116424	1	1	1	1	5813	1	1	2259	1	702	1	1	29363	1	668	1	1	1	467982	4482	1696	1	1	1	1	1	1	874	3611	212761	302061	1	1	676	1	1	1891	8720	527	1	1	1	1	1	3320	9953	28148	1	16277	1
1	577702	1	12706	1	1	1	1	1	1	354	1	304	1	8701	298	1	15083	33980	590	1	496	1	4296	355	1	1	1	15038	1	1	816	1	1	1	1	727	1	450	1115	1	486	163549	301	231066	239	1	263	1	1	1745	2772	11472	9548	232055	1786	1	1	706	1	1	23295	22420	1	1	1077	376	1	120772	2283	33471	1	5284	274
487	821189	474	457	1	1	1	1	1326	1	1532	432	1	1	11618	1	1	548	2846	814	667	3222	560	73808	1298	1	5083	437	718	1	1206	863	855	667	1	5317	1139	513	1	1	10262	1827	582491	1774	7795	1315	615	676	696	1	14500	2473	2269	12394	49504	12595	1598	1	417	411	848	176314	12334	531	1	8918	713	1	241261	7965	23060	641	19221	1
1	2273241	1	529404	1	1	1	1	1	1	1	1	1	1	84291	3912	1	279057	179900	1	1	1	1	18584	1	1	1	1	255725	1	1	5007	1	5470	7822	1	3162	1	3449	47752	1	1	99166	1	1037068	1	1	1	1	1	1	184684	10427	88128	1535805	1	1	1	49433	1	1	791995	35965	1	1	1	4415	1	5920407	19637	33560	1	14116	1
1176	1742109	1	2189	1	1	1	1	1	1	673	1	1	1	17341	3798	1	14995	35601	885	1	1535	1	156192	1227	1	794	1	7081	1	1	1580	836	813	1	1080	11208	1	901	1675	823	933	331874	1	164366	1	978	691	1	1	6372	3355	8442	16358	707960	26856	1	1	9119	1	1	55673	9291	1	1	1707	1	1	300652	9839	39371	1	14001	1
1089	1298861	1439	1	1	1	1	1	4701	1299	1108	859	1	820	5326	1430	656	1	748	1898	1406	5031	1865	724150	1	1	16256	2511	2956	691	4030	1989	2237	1506	1	17369	4136	789	1	1	13554	3470	177165	1242	1	3692	1608	1742	2562	1	6712	6293	1504	21995	481999	1	5731	1	1	978	2215	12157	2097	1688	1	11745	1	1	10338	9292	97310	1179	33789	1
57161	1396298	1	754	1	1	1	1	872	1	723	684	1489	476	1673	926	1	545	2010	1125	1	2313	664	163706	1	1	3892	2031	1631	1	1103	1645	706	841	1	3737	1903	1	1	1	1653	19550	376149	859	5076	1150	1505	1301	1662	1	519	4639	1369	130573	112815	1460	1531	478	1	476	1683	18972	1586	1	1	4427	1	1	90485	69790	7901	1	9436	1
