[Eubacterium] brachy	[Eubacterium] infirmum	[Eubacterium] minutum	[Eubacterium] saphenum	[Eubacterium] sulci	[Eubacterium] yurii	Actinobaculum sp. oral taxon 183	Actinomyces culturomici	Actinomyces dentalis	Actinomyces gerencseriae	Actinomyces israelii	Actinomyces johnsonii	Actinomyces massiliensis	Actinomyces naeslundii	Actinomyces oris	Actinomyces radicidentis	Actinomyces ruminicola	Actinomyces slackii	Actinomyces sp. HMSC062G12	Actinomyces sp. HMSC075C01	Actinomyces sp. HMSC08A09	Actinomyces sp. oral taxon 170	Actinomyces sp. oral taxon 414	Actinomyces sp. oral taxon 448	Actinomyces sp. oral taxon 849	Actinomyces sp. oral taxon 877	Actinomyces timonensis	Actinomyces urogenitalis	Actinomyces viscosus	Adlercreutzia equolifaciens	Aminobacterium colombiense	Anaeroglobus geminatus	Anaerolineaceae bacterium oral taxon 439	Anaerovorax odorimutans	Arabia massiliensis	Asaccharobacter celatus	Atopobium sp. oral taxon 810	Bacteroidetes oral taxon 274	Campylobacter concisus	Campylobacter gracilis	Campylobacter showae	Candidatus Kryptonium thompsoni	Candidatus Methanomethylophilus alvus	Candidatus Saccharibacteria oral taxon TM7x	Cardiobacterium valvarum	Catonella morbi	Cloacibacillus porcorum	Coriobacteriaceae bacterium 68-1-3	Corynebacterium matruchotii	Denitrobacterium detoxificans	Desulfobulbus oralis	Desulfomicrobium orale	Dialister invisus	Eggerthella lenta	Eggerthellaceae bacterium AT8	Eggerthia catenaformis	Eikenella corrodens	Emergencia timonensis	Enterorhabdus caecimuris	Enterorhabdus mucosicola	Eubacterium pyruvativorans	Filifactor alocis	Fusobacterium naviforme	Fusobacterium necrophorum	Fusobacterium nucleatum	Gordonibacter massiliensis	Gordonibacter pamelaeae	Gordonibacter urolithinfaciens	Johnsonella ignava	Jonquetella anthropi	Lachnoanaerobaculum saburreum	Lachnospiraceae bacterium oral taxon 500	Methanobrevibacter millerae	Methanobrevibacter oralis	Methanobrevibacter smithii	Methanobrevibacter sp. YE315	Mogibacterium diversum	Mogibacterium pumilum	Olsenella sp. oral taxon 807	Olsenella uli	Olsenella urininfantis	Oribacterium sp. oral taxon 078	Ottowia sp. oral taxon 894	Paraeggerthella hongkongensis	Parvimonas micra	Parvimonas sp. KA00067	Peptoanaerobacter stomatis	Peptoniphilus sp. oral taxon 386	Peptostreptococcaceae bacterium oral taxon 113	Peptostreptococcaceae bacterium pGA-8	Peptostreptococcus anaerobius	Phocaeicola abscessus	Porphyromonas gingivalis	Prevotella intermedia	Propionibacterium sp. oral taxon 192	Pseudopropionibacterium propionicum	Pseudoramibacter alactolyticus	Raoultibacter massiliensis	Raoultibacter timonensis	Schaalia cardiffensis	Schaalia georgiae	Schaalia meyeri	Selenomonas sp. oral taxon 126	Selenomonas sp. oral taxon 138	Selenomonas sputigena	Senegalimassilia anaerobia	Shuttleworthia satelles	Slackia exigua	Slackia heliotrinireducens	Solobacterium moorei	Streptobacillus moniliformis	Streptococcus anginosus	Streptococcus constellatus	Streptococcus equi	Streptococcus intermedius	Streptococcus sanguinis	Tannerella forsythia	Tannerella sp. oral taxon HOT-286	Thermanaerovibrio acidaminovorans	Thermoplasmatales archaeon BRNA1	Treponema denticola	Treponema lecithinolyticum	Treponema maltophilum	Treponema medium	Treponema pedis	Treponema putidum	Treponema socranskii	Treponema sp. OMZ 838	Treponema vincentii
232	484	46572	2060	1	1	13045	835	145384	16445	1389	3007	2316	12302	8307	351	477	462	381	535	265	5325	96916	652	1180	472	361	377	350	1	1	1	307939	1	271	1	1	771	1	150	274	11026	1	5009	748	232	1	892	3931	156	37651	1964	1	509	639	363	267	1	1	1	1	152	1	1	1	259	193	1	409	1	1	676	1	144	1	183	1381	2333	111443	3192	182	1	2353	301	277	1	214	1	3348	745	1	179	1251	1	238	35312	654	1	156	3972	1052	311	1	1	1	1	1	1021	1	1	1	1	1	1	246	24111	2241	1	1	1	337	164	741	1	1	1	768	1	1
1	1	64385	2284	1	1	3302	788	229055	16999	1645	888	794	5148	3902	317	718	352	1	334	1	426	136767	880	373	445	343	399	1	1	1	1	1085385	1	1	1	1	1	1	1	339	265	1	3969	1	1	1	735	2463	1	12598	25502	1	444	239	1	228	1	1	1	1	250	1	1	1	1	1	1	1	1	1	412	3311	4882	2927	6224	348	1067	42106	26223	1	1	853	1	1	1	1	1	21320	1	1	1070	1	1	1	19898	3623	1	1	18498	224	1	1	1	1	1	1	1703	1	1	1	1	1	1	1	2429	3721	1	1	1	254	1	572	1	1	1	1239	1	1
349	284	69137	18221	1	1	2528	1	350201	33390	3091	1159	1939	4978	6724	626	1251	647	497	487	1	936	190407	1529	458	659	658	740	261	1	1	1	619748	1	259	1	1	2059	1	999	2484	17648	1	9606	4157	285	1	861	14790	1	7215	28196	1	614	1	253	10307	1	1	1	1	584	1	1	1	262	1	1	553	1	1	1460	1	1	1	1	1	626	137961	49198	1	1	77632	355	295	1	265	1	7595	1	1	1201	1123	1	330	75653	2744	1	1	35815	2671	442	1	1	1	1	1	4831	1	1	1	1	1	1	287	2663	17673	797	1	1	1048	301	1934	1	1	1	2718	1	1
2289	3766	770016	8741	1340	1	1	1826	1325169	34554	11491	1731	4312	6900	5680	1784	4383	1704	1	1	1	1690	536495	4582	1	947	2391	2118	1	1793	1	1	2495430	1095	5621	1585	1	2215	1	1070	957	3390	7931	44014	1	3585	1632	18814	1	2405	382602	95794	1	12843	2715	3388	1	1514	2281	2135	1	3731	1	1	1	6289	4609	3219	1024	1078	1	8340	20911	31394	18363	40919	1	4130	401814	43312	2012	979	1	4862	1657	1	2417	2962	108363	3703	1	31738	3044	1	934	377193	1402	2902	4019	10792	1	1	1	1	1	2079	1	8320	2434	1	1	973	1710	1	1334	1	74594	1	1008	7344	4537	1	4281	1	1	1	15085	1	1
1	711	59709	1688	1	1	1	3523	575943	14045	5203	3484	12711	16849	15215	1331	2019	1044	405	998	513	3326	274877	2122	1415	995	1149	1224	582	1	1	1	715931	1	1	1	412	5329	1	3622	2769	1	1	14826	1692	1	1	979	11300	1	170914	3020	608	907	1	1	1216	1	1	1	1	492	1	1	1	1	417	1	1862	1	1	1830	1	1	1	1	416	933	593740	14354	961	1	52205	695	638	1	1	1	6150	1	1	3869	1509	1	1929	277213	26367	1	1	29458	1432	424	1	1	1	1	1	2317	1	1	1	1199	1	1	814	56135	9266	1755	1	1	1434	1	2269	1	1	1	3221	1	1
1	1	67633	1566	1	1	16847	1	602992	97807	6109	1378	1906	4634	11689	667	1839	658	1562	1034	398	1012	401866	2405	410	946	1202	900	550	1	1	1	24106	1	1	1	1	20088	1	6761	2078	2934	1	34801	3299	1	1	1	1	1	116187	551	1	1	1	1	2328	1	1	1	1	1	1	1	1	1	1	1	29363	1	392	854	1	1	1	1	1	1	460391	759	1	4339	1413	1	1	1	1	1	1	1	1	1	646	1	616	302061	1	1	1	1	7364	1357	1	1	1	1	1	1	1	1	1	1	1	1	1	1445	24258	3854	1	1	2433	1	5060	1	1	1	7516	1	1
1	271	2169	1	1	1	1	248	125715	7162	1351	2695	1286	41023	10961	918	811	486	1	458	302	3655	174525	1196	1301	1130	455	822	381	1	1	1	17477	1	1	1	1	12550	305	1204	6775	298	1	14877	21279	590	1	1	58489	1	4279	1	352	1	1	1	6379	1	1	1	1	1	1	1	1	1	1	1	727	1	1	1618	1	1	1	1	1	333	140731	19077	247	265	230985	239	1	1	1	1	268	1	1	1745	1	1	4394	232055	1786	1	1	19487	505	1	1220	3348	1626	1	1	955	1	376	1	327	1	1	307	50930	510	32931	1	1	1	1	2188	1	1	1	2501	1	1
584	1998	108916	10678	1	1	447	7999	260438	16112	1956	2870	1130	9382	12786	767	928	498	559	997	1	877	242537	1002	1048	1966	537	560	477	474	1	1	1035489	1	1326	1	435	5352	1	3090	7775	1	1	29750	1960	814	483	4365	1285	560	73547	21661	1270	3435	796	437	1	1	570	536	1	855	488	1	1	1545	1456	763	1139	513	1	3402	1531	1845	1275	3074	504	1171	515454	50050	1265	1609	7779	1315	513	1	547	393	17718	636	1	14500	2212	1	2948	49504	12595	674	844	169376	1913	588	619	975	3573	531	1	7807	520	713	1	1967	627	1	1149	27880	15403	7621	393	1	2378	540	4647	1	1	1	9939	1	1
1	1	14198	1	1	1	1	3227	112195	6005	3729	7685	71083	83644	453241	1	1	1	12448	3987	2822	11648	251751	1	2889	3891	1	1	3425	1	1	1	43817	1	1	1	1	62379	5458	4733	70240	3912	1	44415	64318	1	1	1	14865	1	18497	1	1	1	1	1	104576	1	1	1	1	1	1	1	2606	1	1	1	3162	1	1	10006	1	1	1	1	1	1	97302	1	1	1	1036677	1	1	1	1	1	1	1	1	1	1	1	5185	1535805	1	1	1	1	5471	7627	1	3990	1	1	1	1	1	4415	1	8645	1	1	12872	4317810	3687	29815	1	1	1	1	5169	1	1	1	4440	1	1
1	1	45355	1372	1	1	1102	7572	436594	49415	8646	11809	152059	149147	36114	2417	2526	1662	1098	1916	1130	11763	303745	2850	4778	3123	1684	1974	1174	1	1	1	593597	1	1	1	1	22124	1	5930	10293	3798	1	29764	15255	885	1	764	221489	1	155973	1352	1213	527	1	1	2837	1	1	1	1	836	1	1	1	1	1	1	11208	1	1	3493	1	1	1	1	1	626	313993	9789	1	1	164280	1	951	1	1	1	4080	1	1	6372	2180	1	3673	707960	26856	1	1	40083	8076	1087	559	1137	559	1	1	1459	1	1	1	1487	1	1	1112	146076	15372	23944	1	1	1995	1	4776	1	1	1	4932	746	1
1471	2102	655996	17541	882	1	1054	1	546261	62169	5175	917	2170	4201	8227	732	1916	773	3236	653	1	831	224331	2134	1	642	984	836	1	1439	1	1	2103577	1	4701	1299	1	11555	1	2546	2122	1430	656	29195	1	1898	979	15409	1	1865	723150	25458	1	10610	2143	2511	1094	691	1832	1754	1	2237	772	1	1	5245	3650	2638	4136	789	1	7993	1985	2879	1767	3764	1	2924	161178	7147	1047	910	1	3692	1321	1	1452	1226	21724	2093	1	6712	5772	1	1	481999	1	2275	3198	5782	3039	3338	1	1	1	1688	1	7724	1979	1	1	1	1	1	1	1	96802	1	712	699	7276	1234	8999	1	1	1	12873	1	1
849	2323	212540	7989	670	1	57102	2817	468058	67171	4586	6465	6955	26011	17031	1110	1683	1161	1216	1148	513	9865	296370	1688	2461	1402	830	918	662	1	1	1	1251090	1	872	1	1	2495	1	719	758	926	1	13973	1210	1125	1	3858	9395	664	163461	3523	1	2365	834	2031	726	1	613	1	1	706	1	1	1	1067	758	491	1903	1	1	3405	1	1	1	1	6346	10192	354374	12582	784	1	4865	1150	1253	1	1172	953	15303	3471	1	519	4346	1	500	112815	1460	574	938	11780	2394	1017	1	1	1	1	1	3629	1	1	1	1	519	1	788	54269	7584	1	1	1	1444	775	3216	1	1	1	2981	1	1
1	921	20484	472	1	1	1627	1	435154	92416	3305	2955	2628	11738	9190	598	1007	406	1	864	398	1985	393813	2042	681	745	627	509	498	1	1	1	342509	1	1	1	1	1697	1	940	2598	470	1	5147	2433	1	1	496	10689	1	24125	1	1	458	1	1	567	1	1	1	1	1	1	1	1	1	1	1	4794	1	1	745	440	708	530	568	1224	3816	196889	37781	1	1	21928	1	1	1	1	1	1274	1	1	1929	1	1	1039	69778	1	1	1	78908	1	1	611	524	2551	1	1	1407	1	1	1	547	1	1	1	11949	1141	1097	1	1	1	1	1244	1	1	1	1652	1	1
736	2294	114206	14718	547	1	1367	1	457093	141052	4404	1202	1972	4475	3237	587	1745	601	2797	1	1	726	370801	2200	537	1000	784	665	1	1	1	1	586674	1	974	1	1	4538	1	1343	1932	4458	1	7151	670	518	1	3266	1	491	640457	1657	1	2398	426	725	1436	1	1	1	1	440	414	1	716	1090	743	527	9337	1	520	2314	1	1	1	1	1334	3017	184737	6950	1	2740	1417	792	1530	1	837	1	1231	761	1	1129	1933	1	1	215546	1	589	683	4269	835	2770	529	1	504	1	1	8998	387	1	1	400	1	1	712	1962	16695	1174	1	1	5585	921	6780	386	1	1	4108	1	1
3456	4436	173776	12601	495	1058	5626	26680	128368	8418	88354	1302	6345	4267	15317	1296	1412	1102	562	1185	482	926	81350	1607	440	1456	1329	656	496	1	745	1	565000	1398	1	1	1042	62440	866	11650	17843	426	2353	5535	3209	6066	1064	745	8777	698	246773	147689	1	831	1	2784	722	1571	1	1	753	5225	496	433	2342	1	1	1	1524	1929	1	13643	7154	22370	6026	14002	571	2808	908572	2945	998	2454	233851	1039	1133	1	3192	3791	37150	4918	1	4361	7042	655	1607	81227	661	1	1	104710	2626	460	852	834	6793	1	458	3154	456	682	1	507	1201	882	1	756	93489	5135	1140	2454	22891	1589	13814	796	658	1052	55926	934	467
4752	1406	106035	120994	1	7386	7377	1	447881	85192	247995	4011	19137	9131	48631	1090	2359	1313	885	1866	2075	2429	239370	3699	2112	3351	1275	1007	1752	1	1	1	348058	1	1	1	893	63560	2113	19829	39609	3363	1	52591	47809	10319	1	584	81788	1	173758	954	1136	1	1	2780	18398	1	1	1	1	11327	1216	764	13687	1	1	1	18788	1088	1422	14997	890	2777	783	1821	574	1411	333079	3085	1	12388	537688	626	2510	1	2521	1518	17732	1376	873	25541	9037	1057	1208	164733	8142	1	1	11946	2483	874	1996	2114	2914	1	1	3795	1	739	1	1885	620	788	1018	98721	41550	9720	626	1	37311	3109	23260	1764	638	2070	25279	1694	907
30152	3433	571257	99644	1313	4526	816	1	418214	12416	283505	3270	11200	15171	23114	1045	1595	1033	1593	1748	692	2851	231005	1787	1342	941	1560	903	794	1	1	1	437942	884	1	1	789	42005	2473	19623	49222	1	583	11170	6151	6776	682	920	8847	1	262092	278974	1703	681	1	5830	3297	969	1	1	653	17430	1	7800	14239	1	1	1	11582	1134	934	31126	3205	101689	2654	6302	1	3757	550919	5085	749	1861	57895	815	62935	1008	4394	3700	74304	4087	1110	6000	10424	2570	1941	347228	1726	1	1	16357	5164	1595	1804	804	3081	1	1007	2416	1	1424	1110	1320	1838	1010	2249	10618	80344	2171	759	628	72629	17411	20775	2695	777	2853	36491	3051	1181
19120	1640	696183	1070	5331	13290	9958	1	162550	11668	50406	1	1992	1821	2986	1	788	1	7869	1	1	1	70950	974	1	491	1	1	1	520	708	1	1070002	965	1943	489	1	34725	832	7240	22763	1164	1	113294	3706	3430	601	6692	2292	527	503625	1533	1	3818	561	3385	3941	1	741	559	1	7904	2022	828	12414	2232	1561	1182	63796	1225	2220	8248	1	1	1	1	1729	3751	31371	3092	1	1544	695	2945	5420	587	6467	1339	17495	1481	680	13083	24021	632	1138	71811	76307	630	911	59696	522	7653	516	549	1	529	1	36858	670	565	946	4387	7428	1	7070	3006	449431	4072	1089	1	32576	9672	37263	1779	1	1020	39178	1423	805
11853	2352	180440	55845	1	5646	1	3891	267179	9153	123271	4765	4053	19516	19430	691	2154	688	1	2057	491	7837	384586	1408	1678	1459	723	726	767	1811	1	1	576283	510	7283	1699	613	73156	2183	26246	69731	857	1	92322	6355	5883	1	24397	133101	2380	296594	764	1545	14287	2351	6667	6045	1	2489	2023	1	15195	2435	1	17548	8366	5887	4360	70890	973	3169	15546	1	97407	1	1	2931	7863	112963	38911	1260	3165	533	10818	15458	1	4580	926	14260	2260	1105	31758	22873	2062	729	299022	104168	2277	3338	9064	15999	1	5936	6990	5095	2236	1	48684	2745	710	1	5597	3016	644	14768	36408	185069	18628	643	1	76796	7286	53000	3986	1	2069	76659	3349	4031
8217	5128	1037874	31258	895	2862	18726	972	203184	49050	294733	764	3828	3882	28441	1	1027	1	3019	3111	1	669	85110	1262	1	1891	1890	1	492	1847	640	524	573628	806	7426	1704	522	15792	662	9495	16660	1917	1	55383	1282	3575	533	24846	1	2117	95508	1	1	14569	2267	6048	6292	566	2676	1936	1	10173	939	1100	17669	8375	6159	4336	35520	1239	1219	7416	1	173182	777	1	6430	12966	355338	57668	5686	1226	1	4197	82671	1774	6948	1188	14449	3021	1716	20992	4639	739	1	119169	289645	2460	3609	951	6295	2999	2090	791	1420	2167	537	9686	3071	1293	1423	20988	4100	678	9358	603	58243	1	854	1	27454	3831	11925	1019	1	773	17524	748	1
2448	6681	349185	12844	1095	1	3734	1	1145901	39767	230310	1830	6849	11381	23816	1176	3824	1482	1	2019	627	1795	626521	3347	882	2113	1457	956	1135	948	1	1729	507737	1	3497	806	1	2637	1	2333	2644	1308	1	21502	1420	1451	1	11088	1843	1196	33950	29755	4585	7456	1361	2616	1	1	1290	1049	1	1173	1	1	3099	4094	3848	2093	5927	1	1	3486	1	3669	1	1	11967	21206	506211	131246	1837	705	1	6552	12942	1	1850	1	6772	1712	833	35821	1924	1	1045	50333	900070	1450	1856	1368	3953	1	1	1	898	1274	1	9284	1675	1	1	5485	2583	1	3396	1500	37465	1755	1	1	9363	2287	7663	1	1	1	21565	1	1
117681	8370	156364	73710	845	9192	14821	1	458871	124816	408758	8685	145789	53595	240750	1053	16433	1381	9021	27064	2953	17952	468306	3878	3719	1	2253	1030	4182	1	1	2485	100837	1	2801	1	1	12504	1	13549	15013	1790	1	82817	1963	6148	1	9273	13128	791	108878	1	3698	5540	886	2638	8981	1	1090	814	1	4930	1	782	27434	3234	2218	1605	132493	1	3438	6255	1	1	1	1	7277	13089	216608	10473	1	13300	1	4232	371301	5638	7506	1	3041	1236	1248	3904	1956	1455	890	257445	30976	949	1363	1	974	8542	3671	1726	4038	890	1143	32366	1088	1735	793	190077	24959	1714	52982	54355	39011	1083	1	1	16372	3259	8497	1191	1	1	16772	1196	1
2861	3922	709015	62138	587	1281	1	5048	47590	1746	67523	621	538	2646	37313	1	1	1	1	5381	1	432	25391	1	1	420	1	1	1	2579	645	1	913185	831	10371	2455	755	16171	456	4541	11734	792	1	57016	1	2869	1204	35731	1	2753	57923	506	3201	20438	3359	5738	1	929	3622	2764	527	9396	4034	1112	1459	12229	8487	6140	10725	2816	1313	15366	425	270996	1204	520	1422	6357	181770	65617	8489	3166	1	12864	8139	1	4921	2538	70992	3670	714	155803	3681	735	1	1834	130458	3138	4908	12691	809	1	419	1	984	3008	668	18969	3984	697	756	2087	631	747	1030	1	211638	2967	1381	1	39668	2106	18768	1422	490	2203	30837	959	687
17974	2977	428829	9503	1765	1401	19064	9752	200282	37712	240411	3824	14291	18531	66894	1324	3357	2828	510	5741	1410	5206	172626	2152	1366	1477	1372	1081	1718	1039	1	1	927976	1176	4015	1061	1	27325	800	4080	24355	1555	1	50878	3868	2124	1	13150	19636	1125	324994	1164	1	7840	1358	4757	3067	1	1502	1130	1	5608	1209	553	7074	4675	3226	2368	30212	902	1462	9046	1	64967	1	1	2372	6114	161582	12520	636	1379	1277	4917	10254	756	5744	2020	24428	2302	789	5155	13494	1	492	108107	139323	1384	1932	9186	3913	1	1	639	1250	1180	1	8262	1524	1	1030	4138	6707	560	9250	42178	447728	1732	732	1	22212	9584	32017	1232	1	728	30300	850	532
6684	4426	130930	15502	623	1288	2346	381	120801	14933	118745	622	3037	2344	7134	951	1612	2992	1886	687	1	654	54131	990	302	1162	1052	920	240	415	1	3892	225283	1	1554	368	332	23610	359	6385	9780	795	1	80026	751	1370	1	4837	541	569	120775	27796	1383	3120	603	2058	1073	262	551	431	308	3631	952	302	12955	1718	1244	888	13704	270	448	4160	1	3433	1	1	5232	9659	269239	170203	507	3543	2563	2584	12372	256	1912	585	4870	928	345	22681	2630	270	1	34258	163131	512	751	25378	4041	1930	882	305	1356	541	405	11116	725	1259	321	8249	1551	267	3209	4392	56607	731	1	1	14787	4127	8075	922	1	664	13379	724	486
1288	2031	111950	3867	1	1691	21263	1	308311	133158	227821	9692	21990	49089	56510	1334	53236	1942	3146	5558	1128	17477	256476	2765	3408	2042	1615	1275	1780	1	1	1	600091	1	1707	1	1	85371	671	13801	7125	8390	1	109898	13411	2139	1	5220	67509	687	523342	1731	616	3699	863	2710	4668	1	661	1	1	2089	641	1	11789	2060	1542	1024	94155	860	2931	7955	1	15862	1	1	613	2539	221507	9936	1419	4879	5531	1455	1336	1	2965	1	8113	1081	930	12079	4998	1	2695	368681	42401	671	884	1	22641	3070	1	897	1581	1	1	9046	996	879	1	4013	1	1	1283	46044	42740	12031	1	1	33062	2255	11700	1168	1	960	14361	1046	615
1703	2336	602890	1	1	1	1	1	123940	6449	13494	4706	2011	20287	29336	2000	166703	2742	1	2702	659	7966	99093	1753	1659	1	1328	2428	711	757	1	617	402109	716	2838	739	1	5492	1	3688	2337	1021	10415	6645	618	1033	1	9413	3417	852	99810	268738	1	6015	1089	2359	1	1	971	752	1	1091	757	1	1563	3390	2239	1817	1012	787	1	3929	1	72771	1	1	806	3734	149517	19069	1	3587	1577	4780	892	1	1561	694	13696	1669	1	120717	3265	1	808	119206	139980	956	1372	1	1	1	1	819	1	791	1	7352	1143	824	1	6788	1024	1061	3744	760962	189927	680	1	10528	8219	1108	10483	1	1	1	17713	1	776
21101	6154	955463	108046	6302	570	10027	1	289856	33773	469737	760	3134	3082	5869	1	1368	584	6163	587	1	777	114260	1300	1	514	574	1	1	2119	714	1558	419347	1127	8637	2094	1	14176	781	16471	15827	909	1	27735	1684	1429	624	28878	1	2324	218778	516	848	16773	2605	2881	7209	1	3059	2525	663	5017	642	963	19170	9925	6860	5115	31508	1334	942	4615	1	1	1	1	15986	26168	17656	38881	1036	713	789	12895	34868	707	5862	568	7665	2768	1	21161	5212	1	1	262296	251838	2938	4215	1	798	6221	822	1	2299	2436	1	17346	2998	1289	767	4681	2631	578	7863	1	170080	1	1015	1	21713	5012	25024	1367	1	665	27017	969	630
1596	4846	404618	20287	1025	1	1	1	257711	7332	7959	512	1222	1778	3029	1	924	1	1	1	1	1	199723	815	1	1	1692	1	1	1422	1	822	549006	1	4843	1586	1768	12470	1	2528	2303	680	1	87175	902	1369	1	12664	1	8309	64027	189588	690	9786	5057	4061	1198	505	1919	1555	523	1567	1	1	930	5319	3870	2979	1128	1367	1	3464	1605	969255	3999	1765	6956	13730	1009507	160726	4508	509	1496	6109	1270	1	989	855	35227	1723	1	57344	2750	1	1	1	175707	1679	2423	4336	1	1	1	1	788	1909	775	16124	3014	1910	1	631	1	1	1	1	33929	6722	1	1	12066	678	6343	1	1	1	13064	1	1
15277	12101	548757	33487	1954	679	1	2931	63254	2681	130780	1079	970	6025	87531	1	713	1	1	11156	972	960	23731	1	1	1	1	1	841	2692	1	1	1105886	686	10567	2513	6496	14144	728	3413	24125	960	738	13266	1	3321	1	35716	1	2842	413271	1017	3664	21172	3111	8675	856	864	3589	2929	717	10626	1386	693	2259	12136	8228	6223	6124	886	1143	11484	1	80126	1	1	8660	26704	247281	192409	1582	3269	1	17539	17941	616	4198	2021	35047	4339	3148	53396	12982	593	1	1	453659	3566	5103	97122	865	1	2303	966	5288	3335	2078	40239	3929	4054	1137	21123	4355	704	7420	2000	71040	1322	1	748	44510	4272	24904	1566	542	1596	26333	1092	644
3523	4983	1138427	7815	1118	693	590	938	153476	4700	78044	601	2026	3140	7727	1	763	1	944	789	1	1	61236	711	1	1	1	1	1	1918	560	706	490215	1086	6851	1931	1	10384	1	996	4334	691	3750	7847	1	1535	560	22335	1	2160	302780	652	1	14884	2264	3109	415	669	2616	2188	723	1682	1	531	1459	8343	5541	3909	1443	1643	1	5374	1	56354	1	1	9462	17368	33159	21355	970	975	1933	10949	2936	400	2796	1557	24149	2847	401	136285	8012	1	456	123837	151833	2670	3748	1032	1	886	1	1	1	2382	479	13887	2627	505	472	929	556	401	589	1	87283	1	898	3650	8379	2774	13635	1	1	1	18683	1	1
6003	5672	790209	14498	1	1	3183	830	265111	58342	756124	1	4593	2528	3238	1	1316	1	1995	1	1	1	105111	1957	1	1	1	1	1	1855	1	2772	635889	1	7184	1720	1	20131	1029	12673	31379	1004	2525	67832	1975	2490	1	23281	1	2081	119974	862530	1	14244	2093	5856	4822	1	2613	1968	1	3560	1	1	21491	8052	5985	4201	17546	1388	1	6671	1	1808	1	1	8183	17932	23102	68071	5300	3848	1782	4272	17201	1	2160	1	7101	3387	806	27176	11609	1	1	1190031	525349	2365	3559	1305	1	2050	1	1	876	2131	1	15709	3008	2009	1	3997	887	1	7213	1	346332	1	1	2447	20556	12021	24316	1179	1	731	27323	815	1
2919	3057	212970	46162	363	3958	2029	1751	182012	14142	1623	2023	964	7266	3951	365	650	1	1	1	1	1165	130039	710	858	966	1	1	1	1	1	1	854749	745	523	1	384	24568	506	7369	4338	5587	1579	19497	459	3134	495	1555	8547	1	53134	76821	692	1165	1	4869	409	723	1	1	370	5283	378	4882	3627	508	369	1	10762	1613	914	15875	53462	162395	56313	94704	422	2272	391376	1683	587	1748	1073	566	9778	466	4892	4200	71287	2904	623	4976	4562	765	1461	90274	471	1	1	11858	821	1	765	1	1394	1	1	2457	1	1799	714	2305	3519	1030	3609	5037	29562	866	359	1396	28561	1112	6292	766	1294	1105	12153	668	417
1046	911	110766	7700	1	1136	1	400	124243	1699	818	1180	323	1237	3631	1	321	1	1	1	1	1	88451	389	445	1	1	1	1	1	1	1	404857	1	543	1	1	12727	1072	1633	24081	2887	358	44889	11858	1923	1	1669	3006	287	24461	330	929	1113	1	2044	16340	1	1	1	1	2206	314	4181	3295	586	431	288	6972	1	756	10157	9335	27311	9064	16529	435	2743	212792	1656	420	329	184323	496	14029	601	2801	1249	6550	1282	323	13680	3602	472	1	41370	5513	293	422	144284	1	1	1034	1072	2075	1	1	5265	325	1888	403	34050	1051	477	2672	64364	28536	6810	1	324	16759	440	6947	655	332	1421	6891	1010	532
3740	3756	483583	2530	1033	1005	5339	1	143026	22631	276789	774	6047	4450	5899	1265	2161	4117	1	476	1	762	60632	1691	1	1	1843	1094	1	1	637	1	919253	535	1175	1	464	54481	411	4869	8755	1102	7892	7098	1584	3012	1279	3752	4616	1	318800	729	1	2642	442	3914	401	734	1	1	418	2735	879	794	5534	1243	1088	676	10399	1292	457	12006	4476	11820	4165	9063	1	4363	315633	5238	1178	616	434	789	1821	1	3696	3102	204807	2861	570	4174	25278	503	930	187487	596	1	546	683	909	1	1	1	433	1	1	1261	495	510	458	737	686	693	449	1	225386	1	1286	7889	25464	3126	14491	875	570	1566	37261	587	431
1012	1511	51356	1083	2657	84052	1	1	323870	40439	5116	36189	2874	84172	116538	3353	2760	1814	1628	5495	4247	30572	216168	1795	12901	5689	1773	2638	4612	1	1	1	33342	1	1	1	1	69559	6939	14431	190800	1	1	42817	74859	58299	1	1	94622	1	46802	98074	1	1	1	1361	127479	1	1	1	1	10541	1118	1	81915	1	1	1	60791	1	4131	37001	1492	12880	3342	1147	2338	8558	25151	1	1	1	215763	1	120992	13262	5003	1285	12691	842	2254	1	7809	19929	14040	240954	1	1	1	18845	3427	1098	1698	1501	1466	1	1	1	1	1846	1	1216	1	1	1683	86956	60698	81461	1	1	13995	1	7095	1	1	1	10906	1450	1
1768	3360	73681	1979	2614	7208	1	979	226103	7177	3344	6941	1210	20752	21400	1368	1852	1225	1070	1174	845	5619	114318	1204	2792	3597	872	1131	942	1	608	1	69372	602	379	1	532	62767	1714	10138	23664	818	2576	31025	12231	21062	1045	1227	42527	1	94594	265120	1127	767	1	7196	2411	683	1	1	1	9186	1528	969	23372	398	369	1	25393	1278	1199	25002	10176	105989	26306	5707	3204	13512	242508	2350	664	1121	1512	609	58921	6885	3052	3886	23059	2574	1012	8350	8741	3437	1209	62383	616	1	1	70059	2253	813	1758	1552	18239	1	320	2803	463	1711	600	730	1056	694	774	10054	54864	16408	680	2515	17235	527	8895	414	563	896	26807	736	1
