Genus	otago	okla	jena
Desulfocarbo	1	1	1
Desulfococcus	1	1	
Desulfocurvibacter	1	1	1
Desulfocurvus	1	1	1
Desulfoluna	1	1	1
Desulfomicrobium	1		
Desulfomonile	1	1	
Desulfonatronum	1	1	1
Desulfotomaculum	1	1	1
Desulfovibrio	1		
Desulfovirgula	1	1	1
Desulfurivibrio	1	1	
Desulfuromonas	1	1	1
Devosia	1	1	1
Diaphorobacter		1	1
Dickeya	1	1	1
Dietzia	1	1	1
Dokdonella	1	1	1
Dongia	1	1	1
Duganella	1	1	1
Dyadobacter	1	1	1
Dyella	1	1	1
Ectothiorhodospira	1	1	1
Edaphobacter	1	1	1
Edwardsiella	1	1	1
Elioraea	1	1	1
Elizabethkingia		1	1
Elstera	1	1	
Embleya	1	1	1
Emcibacter	1	1	
Endozoicomonas	1	1	
Enhydrobacter	1	1	1
Ensifer	1	1	1
Enterobacter	1	1	1
Enterococcus		1	1
Enterovibrio	1	1	
Ereboglobus	1	1	1
Erwinia	1	1	1
Erythrobacter	1	1	1
Escherichia	1	1	1
Euzebya	1	1	1
Exiguobacterium	1	1	
Extensimonas	1	1	1
Faecalibacterium	1		
Ferrimonas	1	1	1
Ferriphaselus	1	1	1
Fibrella	1	1	1
Fibrisoma	1	1	
Fibrobacter	1	1	
Filimonas	1	1	1
Filomicrobium	1	1	1
Fimbriimonas	1	1	1
Fischerella	1	1	1
Flavisolibacter	1	1	1
Flavobacterium	1	1	1
Flexibacter	1	1	1
Fluoribacter	1	1	
Fontimonas	1	1	1
Formosa		1	
Frankia	1	1	1
Frateuria	1	1	1
Friedmanniella	1	1	1
Frigoribacterium	1	1	1
Frondihabitans	1	1	1
Fuerstia <planctomycetes>	1	1	
Fulvimonas	1	1	1
Gardnerella		1	
Geitlerinema	1	1	
Geminicoccus	1	1	1
Gemmata	1	1	1
Gemmatimonas	1	1	1
Gemmatirosa	1	1	1
Gemmobacter	1	1	1
Geoalkalibacter	1	1	1
Geobacillus	1	1	1
Geobacter	1		
Geodermatophilus	1	1	1
Georgenia	1	1	
Geothermobacter	1	1	1
Geothrix	1	1	1
Gilliamella	1	1	
Gilvimarinus	1	1	
Gloeobacter	1	1	1
Gluconacetobacter	1	1	1
Gluconobacter	1	1	
Glutamicibacter		1	
Glycomyces	1	1	1
Gordonia	1	1	1
Granulibacter	1	1	
Granulicella	1	1	1
Haemophilus	1		
Hahella	1	1	
Halegenticoccus	1	1	1
Haliangium	1	1	1
Haliea	1	1	1
Halioglobus	1	1	1
Haloarcula	1	1	
Halobacterium	1	1	1
Halobellus	1	1	
Haloferax	1	1	1
Halomicrobium	1	1	1
Halomonas	1	1	1
Halopiger	1	1	1
Haloplanus	1	1	1
Halopolyspora	1		1
Halorhodospira	1	1	1
Halorientalis	1	1	
Halorubrum	1	1	1
Halorussus		1	
Halotalea	1	1	1
Haloterrigena	1	1	
Halothiobacillus	1	1	1
Hamadaea	1	1	1
Harryflintia	1	1	1
Hartmannibacter	1	1	1
Helicobacter	1	1	1
Heliobacterium	1	1	
Henriciella	1	1	1
Hephaestia	1	1	1
Herbaspirillum	1	1	1
Herbiconiux		1	
Herbidospora	1	1	1
Hoeflea	1	1	1
Holophaga	1	1	1
Humitalea	1	1	1
Hwanghaeicola	1	1	1
Hydrocarboniphaga	1	1	1
Hydrogenibacillus	1	1	1
Hydrogenophaga	1	1	1
Hydrogenophilus		1	
Hydrogenovibrio	1	1	
Hydrotalea			1
Hylemonella	1	1	1
Hymenobacter	1	1	1
Hyphomicrobium	1	1	1
Hyphomonas	1	1	1
Ideonella	1	1	1
Idiomarina	1	1	
Immundisolibacter	1	1	1
Inquilinus	1	1	1
Insolitispirillum	1	1	
Intestinimonas	1		
Intrasporangium	1	1	1
Isoptericola	1	1	1
Isosphaera	1	1	1
Janibacter	1	1	1
Jannaschia	1	1	1
Janthinobacterium	1	1	1
Jeongeupia	1	1	1
Jhaorihella	1	1	
Jiangella	1	1	1
Kaistia	1	1	1
Kangiella	1	1	
Kibdelosporangium	1	1	1
Kineococcus	1	1	1
Kineosporia	1	1	1
Kiritimatiella	1	1	1
Kitasatospora	1	1	1
Klebsiella	1	1	1
Kocuria	1	1	1
Komagataeibacter	1	1	1
Kordiimonas	1	1	
Kosakonia	1	1	
Krasilnikoviella	1	1	
Kribbella	1	1	1
Ktedonobacter	1	1	1
Kushneria	1	1	1
Kutzneria	1	1	1
Kyrpidia	1	1	
Kytococcus	1	1	1
Labrenzia	1	1	1
Lactobacillus	1	1	
Lactococcus		1	1
Lacunisphaera	1	1	1
Lamprocystis	1	1	1
Laribacter	1	1	1
Lautropia			1
Lechevalieria	1	1	1
Legionella	1	1	1
Leifsonia	1	1	1
Leisingera	1	1	1
Lentzea	1	1	1
Leptolyngbya	1	1	1
Leptospira	1	1	1
Leptospirillum	1	1	
Leptothrix	1	1	1
Leucobacter	1	1	1
Leuconostoc		1	1
Levilinea	1	1	1
Lewinella	1	1	1
Limimaricola	1	1	1
Limimonas	1	1	1
Limnochorda	1	1	1
Limnohabitans			1
Loktanella	1	1	1
Longilinea	1	1	1
Longispora	1	1	1
Luteibacter	1	1	1
Luteimonas	1	1	1
Luteipulveratus	1	1	
Luteitalea	1	1	1
Lutibacter		1	
Lysinimicrobium	1	1	1
Lysobacter	1	1	1
Macromonas	1	1	1
Magnetospirillum	1	1	1
Maribacter		1	
Maricaulis	1	1	1
Marichromatium	1	1	1
Marinactinospora	1	1	1
Marinithermus	1	1	1
Marinobacter	1	1	1
Marinobacterium	1	1	1
Marinomonas	1	1	
Marinospirillum	1	1	
Marinovum	1	1	1
Mariprofundus	1	1	
Maritimibacter	1	1	1
Marmoricola	1	1	1
Martelella	1	1	1
Massilia	1	1	1
Megasphaera	1		
Meiothermus	1	1	1
Melaminivora	1	1	1
Melittangium	1	1	1
Mesorhizobium	1		
Metallibacterium	1	1	1
Methanoculleus	1	1	1
Methanosarcina	1	1	1
Methanothrix	1	1	
Methylibium	1	1	1
Methylobacillus	1	1	
Methylobacter	1	1	1
Methylobacterium	1	1	
Methylocaldum	1	1	1
Methylocapsa	1	1	1
Methyloceanibacter	1	1	1
Methylocella	1	1	1
Methylococcus	1	1	1
Methylocystis	1	1	1
Methylomicrobium	1	1	1
Methylomonas	1	1	1
Methylophaga	1	1	
Methylophilus	1	1	1
Methylorubrum	1	1	1
Methylosarcina	1	1	1
Methylosinus	1	1	1
Methylotenera		1	1
Methyloversatilis	1	1	1
Methylovirgula	1	1	1
Methylovorus	1	1	
Methylovulum	1	1	
Microbacterium		1	
Microbispora	1	1	1
Microbulbifer	1	1	1
Micrococcus	1	1	1
Microcystis	1	1	1
Microlunatus	1	1	1
Micromonospora	1	1	1
Micropruina	1	1	
Microterricola	1	1	1
Microtetraspora	1	1	1
Microvirga	1	1	1
Microvirgula	1	1	1
Mitsuaria	1	1	1
Mitsuokella	1		
Mizugakiibacter	1	1	1
Mobilicoccus	1	1	1
Modestobacter	1	1	1
Moorella	1	1	1
Moraxella	1	1	1
Motilibacter	1	1	1
Mucilaginibacter	1	1	1
Murinocardiopsis	1	1	1
Mycetocola		1	
Mycobacterium		1	
Mycobacteroides	1	1	1
Mycolicibacter	1	1	1
Mycolicibacterium	1	1	1
Mycoplana	1	1	1
Myroides		1	
Myxococcus	1	1	1
Nakamurella	1	1	1
Nannocystis	1	1	1
Neisseria		1	
Neorhizobium	1	1	1
Nesterenkonia		1	
Nevskia	1	1	1
Niabella	1	1	1
Niastella	1	1	1
Nisaea	1	1	1
Nitratireductor	1	1	1
Nitriliruptor	1	1	1
Nitrobacter	1	1	1
Nitrococcus	1	1	1
Nitrosococcus	1	1	
