Species
Auraticoccus monumenti
Aureimonas altamirensis
Aureimonas jatrophae
Aureimonas sp. AU20
Aureimonas sp. Leaf460
Azoarcus communis
Azoarcus olearius
Azoarcus sp. BH72
Azoarcus sp. CIB
Azoarcus sp. DN11
Azoarcus sp. KH32C
Azoarcus sp. SY39
Azohydromonas australica
Azonexus fungiphilus
Azonexus hydrophilus
Azorhizobium caulinodans
Azorhizobium doebereinerae
Azospirillum brasilense
Azospirillum halopraeferens
Azospirillum humicireducens
Azospirillum lipoferum
Azospirillum ramasamyi
Azospirillum sp. B4
Azospirillum sp. B506
Azospirillum sp. TSA6c
Azospirillum sp. TSH58
Azospirillum sp. TSH64
Azospirillum sp. TSO35-2
Azospirillum thiophilum
Azotobacter beijerinckii
Azotobacter chroococcum
Azotobacter vinelandii
Azovibrio restrictus
Bacillus aciditolerans
Bacillus cereus
Bacillus paralicheniformis
Bacillus sp. S1-R5C1-FB
Bacillus thuringiensis
bacterium
Bdellovibrio bacteriovorus
Beggiatoa leptomitoformis
Bellilinea caldifistulae
Belnapia moabensis
Belnapia rosea
Belnapia sp. F-4-1
beta proteobacterium CB
Betaproteobacteria bacterium GR16-43
Beutenbergia cavernae
Bifidobacterium thermophilum
Blastochloris viridis
Blastococcus endophyticus
Blastococcus saxobsidens
Blastococcus sp. DSM 46786
Blastococcus sp. DSM 46838
Blastococcus sp. URHD0036
Blastomonas natatoria
Blastopirellula marina
Bordetella ansorpii
Bordetella bronchialis
Bordetella bronchiseptica
Bordetella flabilis
Bordetella genomosp. 13
Bordetella genomosp. 6
Bordetella genomosp. 8
Bordetella genomosp. 9
Bordetella hinzii
Bordetella holmesii
Bordetella petrii
Bordetella pseudohinzii
Bordetella sp. FB-8
Bordetella sp. H567
Bordetella sp. N
Bordetella trematum
Bosea lathyri
Bosea sp. 1131
Bosea sp. 117
Bosea sp. AS-1
Bosea sp. Leaf344
Bosea sp. OK403
Bosea sp. PAMC 26642
Bosea sp. RAC05
Bosea sp. Root381
Bosea sp. Root483D1
Bosea sp. Root670
Bosea sp. UNC402CLCol
Bosea vaviloviae
Brachybacterium alimentarium
Brachybacterium muris
Brachybacterium sp. HMSC06H03
Brachymonas denitrificans
Bradymonas sediminis
Bradyrhizobiaceae bacterium SG-6C
Bradyrhizobium amphicarpaeae
Bradyrhizobium arachidis
Bradyrhizobium diazoefficiens
Bradyrhizobium elkanii
Bradyrhizobium erythrophlei
Bradyrhizobium forestalis
Bradyrhizobium icense
Bradyrhizobium japonicum
Bradyrhizobium jicamae
Bradyrhizobium lablabi
Bradyrhizobium macuxiense
Bradyrhizobium manausense
Bradyrhizobium neotropicale
Bradyrhizobium nitroreducens
Bradyrhizobium oligotrophicum
Bradyrhizobium ottawaense
Bradyrhizobium pachyrhizi
Bradyrhizobium sacchari
Bradyrhizobium sp.
Bradyrhizobium sp. Ai1a-2
Bradyrhizobium sp. AT1
Bradyrhizobium sp. BTAi1
Bradyrhizobium sp. CCGE-LA001
Bradyrhizobium sp. cf659
Bradyrhizobium sp. Cp5.3
Bradyrhizobium sp. DOA1
Bradyrhizobium sp. DOA9
Bradyrhizobium sp. Ec3.3
Bradyrhizobium sp. Gha
Bradyrhizobium sp. Ghvi
Bradyrhizobium sp. Leaf396
Bradyrhizobium sp. LTSP849
Bradyrhizobium sp. LTSP857
Bradyrhizobium sp. LTSP885
Bradyrhizobium sp. LTSPM299
Bradyrhizobium sp. ORS 278
Bradyrhizobium sp. ORS 285
Bradyrhizobium sp. ORS 3257
Bradyrhizobium sp. ORS 375
Bradyrhizobium sp. R5
Bradyrhizobium sp. Rc2d
Bradyrhizobium sp. Rc3b
Bradyrhizobium sp. S23321
Bradyrhizobium sp. SK17
Bradyrhizobium sp. STM 3843
Bradyrhizobium sp. SUTN9-2
Bradyrhizobium sp. th.b2
Bradyrhizobium sp. URHA0002
Bradyrhizobium sp. URHA0013
Bradyrhizobium sp. URHD0069
Bradyrhizobium sp. WSM1253
Bradyrhizobium sp. WSM1417
Bradyrhizobium sp. WSM1743
Bradyrhizobium sp. WSM2254
Bradyrhizobium sp. WSM2793
Bradyrhizobium sp. WSM3983
Bradyrhizobium sp. WSM4349
Bradyrhizobium symbiodeficiens
Bradyrhizobium valentinum
Bradyrhizobium yuanmingense
Brevibacillus thermoruber
Brevibacterium aurantiacum
Brevibacterium luteolum
Brevibacterium paucivorans
Brevibacterium senegalense
Brevundimonas bacteroides
Brevundimonas bullata
Brevundimonas diminuta
Brevundimonas naejangsanensis
Brevundimonas sp. BAL3
Brevundimonas sp. DS20
Brevundimonas sp. GW460-12-10-14-LB2
Brevundimonas sp. Leaf168
Brevundimonas sp. LM2
Brevundimonas sp. Root1423
Brevundimonas subvibrioides
Brevundimonas vesicularis
Brucella sp. 09RB8910
Brucella sp. B13-0095
Burkholderia ambifaria
Burkholderia anthina
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia contaminans
Burkholderia diffusa
Burkholderia gladioli
Burkholderia glumae
