Species
Desulfocarbo indianensis
Desulfococcus multivorans
Desulfococcus oleovorans
Desulfocurvibacter africanus
Desulfocurvus vexinensis
Desulfoluna spongiiphila
Desulfomicrobium escambiense
Desulfomonile tiedjei
Desulfonatronum lacustre
Desulfovibrio aminophilus
Desulfovibrio desulfuricans
Desulfovibrio gigas
Desulfovibrio legallii
Desulfovibrio longus
Desulfovibrio magneticus
Desulfovibrio mexicanus
Desulfovibrio piger
Desulfovibrio putealis
Desulfovibrio sp. U5L
Desulfovibrio termitidis
Desulfovibrio vulgaris
Desulfovirgula thermocuniculi
Desulfurivibrio alkaliphilus
Desulfuromonas soudanensis
Desulfuromonas sp. DDH964
Desulfuromonas sp. TF
Desulfuromonas thiophila
Devosia enhydra
Devosia sp. 17-2-E-8
Devosia sp. A16
Devosia sp. H5989
Devosia sp. Root105
Devosia sp. Root436
Devosia sp. Root635
Devosia sp. Root685
Diaphorobacter polyhydroxybutyrativorans
Dietzia cinnamea
Dietzia psychralcaliphila
Dietzia sp. UCD-THP
Dokdonella immobilis
Dokdonella koreensis
Dongia sp. URHE0060
Duganella sacchari
Duganella sp. CF402
Duganella sp. CF458
Duganella sp. CF517
Duganella sp. Root1480D1
Duganella zoogloeoides
Dyadobacter fermentans
Dyella japonica
Dyella jiangningensis
Dyella marensis
Dyella sp. 333MFSha
Dyella sp. 4G-K06
Dyella sp. 4MSK11
Dyella sp. DHG54
Dyella sp. OK004
Dyella thiooxydans
Ectothiorhodospira haloalkaliphila
Ectothiorhodospira magna
Ectothiorhodospira sp. BSL-9
Edaphobacter aggregans
Edwardsiella piscicida
Elioraea tepidiphila
Elizabethkingia anophelis
Embleya scabrispora
endosymbiont of Ridgeia piscesae
endosymbiont of unidentified scaly snail isolate Monju
Enhydrobacter aerosaccus
Ensifer aridi
Ensifer sojae
Ensifer sp. BR816
Ensifer sp. ZNC0028
Enterobacter cloacae
Enterobacter hormaechei
Enterococcus cecorum
Enterococcus faecium
Ereboglobus luteus
Erythrobacter litoralis
Erythrobacter sp. HL-111
Erythrobacter sp. SG61-1L
Escherichia coli
Euzebya sp. DY32-46
Extensimonas vulgaris
Ferrimonas marina
Ferriphaselus sp. R-1
Fibrella aestuarina
Filimonas lacunae
Fimbriimonas ginsengisoli
Fischerella muscicola
Flavisolibacter ginsengisoli
Flavisolibacter tropicus
Flavobacterium aciduliphilum
Flavobacterium anhuiense
Flavobacterium aquaticum
Flavobacterium aquatile
Flavobacterium aquicola
Flavobacterium araucananum
Flavobacterium branchiophilum
Flavobacterium columnare
Flavobacterium commune
Flavobacterium crassostreae
Flavobacterium cutihirudinis
Flavobacterium daejeonense
Flavobacterium defluvii
Flavobacterium degerlachei
Flavobacterium denitrificans
Flavobacterium faecale
Flavobacterium filum
Flavobacterium flevense
Flavobacterium frigidarium
Flavobacterium frigoris
Flavobacterium gelidilacus
Flavobacterium gilvum
Flavobacterium glaciei
Flavobacterium glycines
Flavobacterium haoranii
Flavobacterium hercynium
Flavobacterium hibernum
Flavobacterium hydatis
Flavobacterium indicum
Flavobacterium johnsoniae
Flavobacterium lacus
Flavobacterium micromati
Flavobacterium omnivorum
Flavobacterium oncorhynchi
Flavobacterium pectinovorum
Flavobacterium phragmitis
Flavobacterium piscis
Flavobacterium plurextorum
Flavobacterium psychrophilum
Flavobacterium reichenbachii
Flavobacterium sasangense
Flavobacterium segetis
Flavobacterium sinopsychrotolerans
Flavobacterium soli
Flavobacterium sp. 316
Flavobacterium sp. Fl
Flavobacterium sp. Root186
Flavobacterium sp. Root420
Flavobacterium sp. Root935
Flavobacterium sp. URHB0058
Flavobacterium spartansii
Flavobacterium succinicans
Flavobacterium tegetincola
Flavobacterium terrigena
Flavobacterium urumqiense
Flavobacterium xinjiangense
Flavobacterium xueshanense
Fontimonas thermophila
Francisellaceae bacterium
Frankia coriariae
Frankia discariae
Frankia elaeagni
Frankia inefficax
Frankia saprophytica
Frankia sp. DC12
Frankia sp. EAN1pec
Frankia sp. QA3
Frankiales bacterium
Frankineae bacterium MT45
Frateuria aurantia
Frateuria sp. Soil773
Frateuria terrea
Friedmanniella flava
Friedmanniella luteola
Friedmanniella sagamiharensis
Frondihabitans sp. Leaf304
Fuerstia marisgermanicae
Fulvimonas soli
gamma proteobacterium HTCC5015
Gammaproteobacteria bacterium 2W06
Gardnerella vaginalis
Gemella cuniculi
Gemella haemolysans
Geminicoccus roseus
Gemmata obscuriglobus
Gemmata sp. SH-PL17
Gemmatimonas aurantiaca
Gemmatimonas phototrophica
Gemmatirosa kalamazoonesis
Gemmobacter aquatilis
Geoalkalibacter ferrihydriticus
Geoalkalibacter subterraneus
Geobacillus stearothermophilus
Geobacter bemidjiensis
Geobacter bremensis
Geobacter metallireducens
Geobacter pelophilus
Geobacter pickeringii
Geobacter sp. DSM 9736
Geobacter sp. M18
Geobacter sp. M21
Geobacter sulfurreducens
Geobacter uraniireducens
Geodermatophilaceae bacterium URHA0031
Geodermatophilaceae bacterium URHB0062
Geodermatophilus africanus
Geodermatophilus amargosae
Geodermatophilus nigrescens
Geodermatophilus obscurus
Geodermatophilus ruber
Geodermatophilus sabuli
Geodermatophilus saharensis
Geodermatophilus siccatus
Geodermatophilus sp. DSM 44511
Geodermatophilus telluris
Geodermatophilus tzadiensis
Georgenia satyanarayanai
Geothermobacter sp. HR-1
Geothrix fermentans
Gilliamella bombi
Gloeobacter kilaueensis
Gloeobacter violaceus
Gluconacetobacter diazotrophicus
Glycomyces arizonensis
Glycomyces artemisiae
Glycomyces harbinensis
Glycomyces sambucus
Glycomyces tenuis
Gordonia iterans
Gordonia polyisoprenivorans
Granulibacter bethesdensis
Granulicella mallensis
Granulicella tundricola
Haemophilus parainfluenzae
Hahella chejuensis
Halegenticoccus soli
Haliangium ochraceum
Haliea salexigens
Halioglobus pacificus
Halomonas aestuarii
Halomonas anticariensis
Halomonas beimenensis
Halomonas daqiaonensis
Halomonas daqingensis
Halomonas elongata
Halomonas gudaonensis
Halomonas halodenitrificans
Halomonas ilicicola
Halomonas korlensis
Halomonas massiliensis
Halomonas muralis
Halomonas pantelleriensis
Halomonas saccharevitans
Halomonas salina
Halomonas shengliensis
Halomonas sp. 1513
Halomonas sp. A11
Halomonas subglaciescola
Halomonas taeanensis
Halomonas urumqiensis
Halomonas utahensis
Halomonas ventosae
Halomonas xianhensis
Halorhodospira halophila
Halorussus litoreus
Halotalea alkalilenta
Halothiobacillus sp. LS2
Hamadaea tsunoensis
Harryflintia acetispora
Hartmannibacter diazotrophicus
Helicobacter bizzozeronii
Helicobacter felis
Helicobacter rappini
Helicobacter salomonis
Helicobacter suis
Heliobacterium modesticaldum
Hephaestia caeni
Herbaspirillum hiltneri
Herbaspirillum robiniae
Herbaspirillum seropedicae
Herbaspirillum sp. XFZ15
Herbiconiux ginsengi
Herbidospora cretacea
Herbidospora daliensis
Herbidospora mongoliensis
Herbidospora sakaeratensis
Herbidospora yilanensis
Hoeflea marina
Hoeflea olei
Hoeflea sp. 108
Holophaga foetida
Humitalea rosea
Hwanghaeicola aestuarii
Hydrocarboniphaga daqingensis
Hydrogenibacillus schlegelii
Hydrogenophaga crassostreae
Hydrogenophaga sp. IBVHS1
Hydrogenophaga sp. IBVHS2
Hydrogenophaga sp. PBC
Hydrogenophaga sp. PML113
Hydrogenophaga sp. RAC07
Hydrogenophaga sp. Root209
Hydrogenophilus thermoluteolus
Hylemonella gracilis
Hymenobacter aerophilus
Hymenobacter nivis
Hymenobacter psychrophilus
Hymenobacter sedentarius
Hymenobacter sp. APR13
Hymenobacter sp. CRA2
Hymenobacter sp. PAMC 26554
Hymenobacter sp. PAMC 26628
Hyphomicrobium denitrificans
Hyphomicrobium nitrativorans
Hyphomicrobium sp. 99
Hyphomicrobium sp. MC1
Hyphomicrobium sulfonivorans
Hyphomicrobium zavarzinii
Immundisolibacter cernigliae
Inquilinus limosus
Insolitispirillum peregrinum
Intrasporangiaceae bacterium URHB0013
Intrasporangium calvum
Isoptericola variabilis
Isosphaera pallida
Janibacter indicus
Janibacter massiliensis
Janibacter melonis
Janibacter sp. HTCC2649
Jannaschia rubra
Janthinobacterium agaricidamnosum
Janthinobacterium lividum
Janthinobacterium sp. 1_2014MBL_MicDiv
Janthinobacterium sp. CG3
Jeongeupia sp. USM3
Jhaorihella thermophila
Jiangella alba
Jiangella alkaliphila
Jiangella gansuensis
Jiangella muralis
Jiangella sp. DSM 45060
Kaistia adipata
Kaistia soli
Kibdelosporangium aridum
Kibdelosporangium phytohabitans
Kibdelosporangium sp. MJ126-NF4
Kineococcus radiotolerans
Kineosporia sp. R_H_3
Kiritimatiella glycovorans
Kitasatospora cheerisanensis
Kitasatospora setae
Kitasatospora sp. CB01950
Kitasatospora sp. MBT63
Kitasatospora sp. MBT66
Kitasatospora sp. MMS16-BH015
Kitasatospora sp. Root107
Kitasatospora sp. SolWspMP-SS2h
Klebsiella aerogenes
Klebsiella michiganensis
Klebsiella pneumoniae
Kocuria palustris
Kocuria sp. CNJ-770
Kocuria sp. UCD-OTCP
Kocuria turfanensis
Krasilnikoviella flava
Kribbella flavida
Ktedonobacter racemifer
Kushneria aurantia
Kutzneria albida
Kutzneria sp. 744
Kytococcus sedentarius
Kytococcus sp. CUA-901
Lactobacillus manihotivorans
Lactobacillus parabuchneri
Lactococcus lactis
Lacunisphaera limnophila
Lamprocystis purpurea
Laribacter hongkongensis
Lautropia mirabilis
Lechevalieria fradiae
Lechevalieria xinjiangensis
Legionella pneumophila
Legionella spiritensis
Leifsonia aquatica
Leifsonia sp. 21MFCrub1.1
Leifsonia xyli
Lentzea aerocolonigenes
Lentzea albida
Lentzea flaviverrucosa
Lentzea guizhouensis
Lentzea jiangxiensis
Lentzea kentuckyensis
Lentzea violacea
Lentzea waywayandensis
Leptospira interrogans
Leptothrix cholodnii
Leuconostoc gelidum
Levilinea saccharolytica
Limimaricola cinnabarinus
Limimaricola hongkongensis
Limimonas halophila
Limnochorda pilosa
Limnohabitans sp. 103DPR2
Limnohabitans sp. 63ED37-2
Limnohabitans sp. Rim47
Longilinea arvoryzae
Longispora albida
Luteibacter rhizovicinus
Luteibacter sp. 22Crub2.1
Luteibacter sp. 329MFSha
Luteibacter sp. UNC138MFCol5.1
Luteibacter sp. UNCMF331Sha3.1
