#Datasets	EXB037.A3001.unmapped	EXB037.A3201.unmapped	EXB037.A3401.unmapped	LIB030.A0115.unmapped	EXB037.A3101.unmapped	LIB027.A0136.unmapped	LIB030.A0112.unmapped	LIB030.A0113.unmapped	LIB030.A0114.unmapped	EXB037.A2901.unmapped	EXB037.A3301.unmapped
"Hafnia"	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0
"Morganella"	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0
"Photorhabdus"	0.0	35.0	29.0	36.0	0.0	0.0	28.0	21.0	64.0	34.0	0.0
"Providencia"	112.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	120.0	269.0
"Xenorhabdus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0
"Dickeya"	0.0	0.0	0.0	14.0	119.0	0.0	15.0	0.0	0.0	0.0	0.0
"Pectobacterium"	0.0	0.0	0.0	22.0	164.0	0.0	0.0	6.0	29.0	0.0	0.0
"Rahnella"	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	104.0
"Serratia"	187.0	44.0	209.0	37.0	390.0	0.0	69.0	136.0	40.0	248.0	313.0
"Yersinia"	0.0	46.0	17.0	30.0	283.0	0.0	41.0	16.0	59.0	33.0	0.0
"Alkalimonas"	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0
"Legionella"	0.0	41.0	0.0	12.0	0.0	0.0	23.0	0.0	29.0	38.0	63.0
"Methylomonas"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0
"Nevskia"	66.0	0.0	17.0	30.0	0.0	0.0	206.0	0.0	0.0	0.0	78.0
"Solimonas"	133.0	22.0	29.0	18.0	0.0	0.0	34.0	6.0	20.0	52.0	182.0
"Alcanivorax"	0.0	75.0	0.0	12.0	0.0	0.0	11.0	26.0	21.0	31.0	0.0
"Aidingimonas"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0
"Chromohalobacter"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	32.0	0.0
"Cobetia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
"Halomonas"	1241.0	132.0	212.0	163.0	509.0	3.0	83.0	3420.0	195.0	2065.0	762.0
"Halotalea"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0
"Kushneria"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0
"Salinicola"	65.0	28.0	12.0	22.0	0.0	0.0	0.0	189.0	0.0	129.0	0.0
"Gilliamella"	0.0	75.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Aggregatibacter"	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	74.0
"Haemophilus"	105.0	33.0	18.0	10.0	143.0	0.0	15.0	7.0	0.0	41.0	96.0
"Acinetobacter"	5280.0	821.0	365.0	519.0	3552.0	0.0	410.0	279.0	782.0	1063.0	1812.0
"Alkanindiges"	75.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0
"Moraxella"	1160.0	127.0	75.0	133.0	1342.0	0.0	606.0	57.0	106.0	151.0	1047.0
"Psychrobacter"	0.0	134.0	17.0	15.0	469.0	0.0	132.0	0.0	22.0	115.0	374.0
"Azotobacter"	0.0	0.0	0.0	20.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0
"Pseudomonas"	13162.0	8659.0	15925.0	2291.0	13189.0	13.0	6239.0	2732.0	12428.0	12743.0	36721.0
"Vibrio"	342.0	361.0	150.0	249.0	687.0	0.0	446.0	240.0	863.0	364.0	440.0
"Aquimonas"	0.0	0.0	0.0	0.0	0.0	0.0	12.0	8.0	0.0	0.0	0.0
"Dokdonella"	54.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	44.0	0.0
"Dyella"	993.0	271.0	108.0	452.0	985.0	1.0	375.0	258.0	591.0	378.0	548.0
"Frateuria"	234.0	0.0	36.0	0.0	0.0	0.0	15.0	62.0	0.0	72.0	154.0
"Fulvimonas"	177.0	0.0	14.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	129.0
"Luteibacter"	91.0	35.0	10.0	0.0	125.0	0.0	57.0	36.0	0.0	53.0	0.0
