LibraryID	LibraryID2	LibraryID3	SampleID	ArchID_burial	Type	Island	Site	Age_BP	Age_mean	Lab
AHK001.A0101	AHK001.A0101	AHK001.A0101	AHK001	RN50	calculus	Rapa_Nui	Akahanga_Karava	620-80	350	Oklahoma
AKI001.A0101	AKI001.A0101	AKI001.A0101	AKI001	RN14	calculus	Rapa_Nui	Ahu_Kihi_Kihi_Rau_Mea	620-80	350	Oklahoma
AKI002.A0101	AKI002.A0101	AKI002.A0101	AKI002	RN28	calculus	Rapa_Nui	Ahu_Kihi_Kihi_Rau_Mea	620-80	350	Oklahoma
AMH001.A0101	AMH001.A0101	AMH001.A0101	AMH001	RN20	calculus	Rapa_Nui	Ahu_Mahatua	620-80	350	Oklahoma
AMH002.A0101	AMH002.A0101	AMH002.A0101	AMH002	RN30	calculus	Rapa_Nui	Ahu_Mahatua	620-80	350	Oklahoma
AMH003.A0101	AMH003.A0101	AMH003.A0101	AMH003	RN36	calculus	Rapa_Nui	Ahu_Mahatua	620-80	350	Oklahoma
AMH004.A0101	AMH004.A0101	AMH004.A0101	AMH004	RN39	calculus	Rapa_Nui	Ahu_Mahatua	620-80	350	Oklahoma
ANK001.A0101	ANK001.A0101	ANK001.A0101	ANK001	RN58	calculus	Rapa_Nui	Ana_Koe_Hoko	620-80	350	Oklahoma
ANN001.A0101	ANN001.A0101	ANN001.A0101	ANN001	RN70	calculus	Rapa_Nui	Ahu_Nau_Nau	620-80	350	Oklahoma
ANN002.A0101	ANN002.A0101	ANN002.A0101	ANN002	RN93	calculus	Rapa_Nui	Ahu_Nau_Nau	620-80	350	Oklahoma
ANN003.A0101	ANN003.A0101	ANN003.A0101	ANN003	RN09_NRN_1	calculus	Rapa_Nui	Ahu_Nau_Nau	620-80	350	Oklahoma
ANN004.A0101	ANN004.A0101	ANN004.A0101	ANN004	RN91_NRN_2	calculus	Rapa_Nui	Ahu_Nau_Nau	620-80	350	Oklahoma
AON001.A0101	AON001.A0101	AON001.A0101	AON001	RN65	calculus	Rapa_Nui	Ahu_Onero	620-80	350	Oklahoma
AON002.A0101	AON002.A0101	AON002.A0101	AON002	RN66	calculus	Rapa_Nui	Ahu_Onero	620-80	350	Oklahoma
ATT001.A0101	ATT001.A0101	ATT001.A0101	ATT001	RN02	calculus	Rapa_Nui	Ahu_Tautira	620-80	350	Oklahoma
ATT002.A0101	ATT002.A0101	ATT002.A0101	ATT002	RNAT_NRN_5	calculus	Rapa_Nui	Ahu_Tautira	620-80	350	Oklahoma
EFE002.B0101	EFE002.B0101	EFE002.B0101	EFE002	Mangaliliu_TP3	calculus	Efate	Mangaliliu	630–330?	480	Jena
