F_nucleatum_nucleatum-medium-lognormal-none-deamination.Fnv.Fnv	143.0 90.0 1109744.0
F_nucleatum_nucleatum-short-lognormal-heavy-deamination.Fnn.Fnn	0.0 0.0 1982505.0
F_nucleatum_nucleatum-short-lognormal-heavy-deamination.Fnn.Fnp	1.0 0.0 2174494.0
F_nucleatum_nucleatum-short-lognormal-heavy-deamination.Fnn.Fnv	1.0 0.0 2174494.0
F_nucleatum_nucleatum-short-lognormal-heavy-deamination.Fnp.Fnn	2298.0 682.0 1582379.0
F_nucleatum_nucleatum-short-lognormal-heavy-deamination.Fnp.Fnp	1076.0 543.0 1467056.0
F_nucleatum_nucleatum-short-lognormal-heavy-deamination.Fnp.Fnv	2298.0 682.0 1582379.0
F_nucleatum_nucleatum-short-lognormal-heavy-deamination.Fnv.Fnn	2361.0 780.0 1655221.0
F_nucleatum_nucleatum-short-lognormal-heavy-deamination.Fnv.Fnp	2361.0 780.0 1655221.0
F_nucleatum_nucleatum-short-lognormal-heavy-deamination.Fnv.Fnv	1124.0 651.0 1535216.0
F_nucleatum_nucleatum-short-lognormal-light-deamination.Fnn.Fnn	0.0 0.0 1982504.0
F_nucleatum_nucleatum-short-lognormal-light-deamination.Fnn.Fnp	0.0 0.0 2174492.0
F_nucleatum_nucleatum-short-lognormal-light-deamination.Fnn.Fnv	0.0 0.0 2174492.0
F_nucleatum_nucleatum-short-lognormal-light-deamination.Fnp.Fnn	1960.0 490.0 1584735.0
F_nucleatum_nucleatum-short-lognormal-light-deamination.Fnp.Fnp	802.0 354.0 1469423.0
F_nucleatum_nucleatum-short-lognormal-light-deamination.Fnp.Fnv	1960.0 490.0 1584735.0
F_nucleatum_nucleatum-short-lognormal-light-deamination.Fnv.Fnn	1752.0 465.0 1621676.0
F_nucleatum_nucleatum-short-lognormal-light-deamination.Fnv.Fnp	1752.0 465.0 1621676.0
F_nucleatum_nucleatum-short-lognormal-light-deamination.Fnv.Fnv	725.0 368.0 1507137.0
F_nucleatum_nucleatum-short-lognormal-none-deamination.Fnn.Fnn	0.0 0.0 1982502.0
F_nucleatum_nucleatum-short-lognormal-none-deamination.Fnn.Fnp	0.0 0.0 2174491.0
F_nucleatum_nucleatum-short-lognormal-none-deamination.Fnn.Fnv	0.0 0.0 2174491.0
F_nucleatum_nucleatum-short-lognormal-none-deamination.Fnp.Fnn	1850.0 453.0 1586350.0
F_nucleatum_nucleatum-short-lognormal-none-deamination.Fnp.Fnp	727.0 329.0 1470968.0
F_nucleatum_nucleatum-short-lognormal-none-deamination.Fnp.Fnv	1850.0 453.0 1586350.0
F_nucleatum_nucleatum-short-lognormal-none-deamination.Fnv.Fnn	1983.0 514.0 1658201.0
F_nucleatum_nucleatum-short-lognormal-none-deamination.Fnv.Fnp	1983.0 514.0 1658201.0
F_nucleatum_nucleatum-short-lognormal-none-deamination.Fnv.Fnv	790.0 393.0 1538108.0
F_nucleatum_polymorphum-long-lognormal-heavy-deamination.Fnn.Fnn	305.0 170.0 1066374.0
F_nucleatum_polymorphum-long-lognormal-heavy-deamination.Fnn.Fnp	662.0 236.0 1145236.0
F_nucleatum_polymorphum-long-lognormal-heavy-deamination.Fnn.Fnv	662.0 236.0 1145236.0
F_nucleatum_polymorphum-long-lognormal-heavy-deamination.Fnp.Fnn	0.0 0.0 2622358.0
F_nucleatum_polymorphum-long-lognormal-heavy-deamination.Fnp.Fnp	0.0 0.0 2372043.0
F_nucleatum_polymorphum-long-lognormal-heavy-deamination.Fnp.Fnv	0.0 0.0 2622358.0
F_nucleatum_polymorphum-long-lognormal-heavy-deamination.Fnv.Fnn	738.0 215.0 1057611.0
F_nucleatum_polymorphum-long-lognormal-heavy-deamination.Fnv.Fnp	738.0 215.0 1057611.0
F_nucleatum_polymorphum-long-lognormal-heavy-deamination.Fnv.Fnv	285.0 210.0 978532.0
F_nucleatum_polymorphum-long-lognormal-light-deamination.Fnn.Fnn	249.0 110.0 1073360.0
F_nucleatum_polymorphum-long-lognormal-light-deamination.Fnn.Fnp	567.0 204.0 1152803.0
F_nucleatum_polymorphum-long-lognormal-light-deamination.Fnn.Fnv	567.0 204.0 1152803.0
F_nucleatum_polymorphum-long-lognormal-light-deamination.Fnp.Fnn	0.0 0.0 2622358.0
F_nucleatum_polymorphum-long-lognormal-light-deamination.Fnp.Fnp	0.0 0.0 2372043.0
F_nucleatum_polymorphum-long-lognormal-light-deamination.Fnp.Fnv	0.0 0.0 2622358.0
F_nucleatum_polymorphum-long-lognormal-light-deamination.Fnv.Fnn	655.0 185.0 1065113.0
F_nucleatum_polymorphum-long-lognormal-light-deamination.Fnv.Fnp	655.0 185.0 1065113.0
