name1	name2	percent_compared
EFE004	HCLVMBCX2-3505-06	91.4767777493351
EFE004	NMU128	92.9430173682242
EFE004	NMU121	92.3306582868612
EFE004	EFE006	92.3405038339918
EFE004	TAP001	91.6565438598755
EFE004	TON007	91.3073324882006
EFE004	TON005	90.9289239767591
EFE004	TON004	91.7473944947774
EFE004	PAH002	91.0686288955265
EFE004	EFE002	90.0692040112796
EFE004	TAP003	90.7821913743501
EFE004	NMU118	90.8294839507397
EFE004	ANN001	92.4236477820019
EFE004	ATT002	91.7628418187238
EFE004	ANN004	91.2918172639293
EFE004	NMU122	91.4475127092433
EFE004	PVD001	91.4983361025349
EFE004	NMU130	90.4324707502375
EFE004	NMU115	91.35421766264
EFE004	EFE003	91.4412658793398
EFE004	NMU124	90.3620920633347
EFE004	AMH001	90.8849585162964
EFE004	ATT001	90.8652334718726
TON007	HCLVMBCX2-3505-06	90.7009486354411
TON007	NMU128	91.8006622997704
TON007	NMU121	91.4807499183499
TON007	EFE006	91.5104563105544
TON007	TAP001	90.9818862302894
TON007	EFE004	91.3073324882006
TON007	TON005	90.9291616278967
TON007	TON004	91.5796127916064
TON007	PAH002	90.3902706982258
TON007	TAP003	90.0467969040168
TON007	NMU118	90.0202478769266
TON007	ANN001	91.8372605749664
TON007	ATT002	91.2954838814814
TON007	ANN004	90.7807654675243
TON007	NMU122	90.7177200157257
TON007	PVD001	90.7007109843035
TON007	NMU115	90.8303327048027
TON007	TON001	90.0764014457337
TON007	EFE003	90.5949562280555
TON007	AMH001	90.3601569040711
TON007	ATT001	90.3850423731978
TON005	HCLVMBCX2-3505-06	90.5804934588222
TON005	NMU128	91.7322527222938
TON005	NMU121	91.3714982953623
TON005	EFE006	91.2228984340148
TON005	TAP001	90.7371734588494
TON005	EFE004	90.9289239767591
TON005	TON007	90.9291616278967
TON005	TON004	91.6876082585807
TON005	PAH002	90.236748063313
TON005	NMU118	90.1180922453076
TON005	ANN001	91.5627395608343
TON005	ATT002	90.9968582519605
TON005	ANN004	90.4294491857732
TON005	NMU122	90.7526886831207
TON005	PVD001	90.7371395086868
TON005	NMU115	90.8661501262607
TON005	EFE003	90.6015086094217
TON005	AMH001	90.177403179229
TON004	HCLVMBCX2-3505-16	90.4618376408168
TON004	HCLVMBCX2-3505-06	91.3226440114969
TON004	NMU128	92.5351061655532
TON004	NMU121	92.2217461654989
TON004	EFE006	92.2027680246505
TON004	TAP001	91.9736044276444
TON004	EFE004	91.7473944947774
TON004	TON007	91.5796127916064
TON004	TON005	91.6876082585807
TON004	PAH002	91.0219474220623
TON004	TAP003	90.5663022908891
TON004	NMU118	90.8522305596277
TON004	ANN001	92.2478877906389
TON004	ATT002	91.6722288349594
TON004	ANN004	91.0605487568469
TON004	NMU122	91.5556100267052
TON004	PVD001	91.5554402758926
TON004	NMU130	90.5274972551294
TON004	NMU115	91.6934816366966
TON004	EFE003	91.6643184470924
TON004	NMU124	90.1397863991575
TON004	TON003	90.6194682453945
TON004	AMH004	90.1645360676342
TON004	AMH001	90.9726857362466
TON004	ATT001	90.5665738921892
PAH002	HCLVMBCX2-3505-06	90.9423003407917
PAH002	NMU128	92.0764734200783
PAH002	NMU121	91.0711072573904
PAH002	EFE006	91.3390758901563
PAH002	TAP001	90.8446257232234
PAH002	EFE004	91.0686288955265
PAH002	TON007	90.3902706982258
PAH002	TON005	90.236748063313
PAH002	TON004	91.0219474220623
PAH002	ANN001	91.1331681544759
PAH002	ATT002	90.6271070319614
PAH002	ANN004	90.1195860524584
PAH002	NMU122	90.4911366310711
PAH002	PVD001	90.5087907155812
PAH002	NMU115	90.3471200416636
PAH002	EFE003	90.4800688780897
EFE002	HCLVMBCX2-3505-06	90.1759093720782
EFE002	NMU128	91.1296373375739
EFE002	NMU121	90.0314174803955
EFE002	EFE006	90.4687295238082
EFE002	EFE004	90.0692040112796
TAP003	HCLVMBCX2-3505-06	90.0508709235191
TAP003	NMU128	91.4001182823662
TAP003	NMU121	90.871208700476
TAP003	EFE006	91.1424365488438
TAP003	TAP001	90.7536053375087
TAP003	EFE004	90.7821913743501
TAP003	TON007	90.0467969040168
TAP003	TON004	90.5663022908891
TAP003	ANN001	91.0271078467653
TAP003	ATT002	90.5859254848253
TAP003	ANN004	90.0741607350074
TAP003	NMU122	90.4692048260835
TAP003	PVD001	90.5084172637934
TAP003	NMU115	90.5031549886029
TAP003	EFE003	90.3009478206372
TAP003	ATT001	90.0063283102936
NMU119	NMU128	90.0530097837578
NMU119	NMU122	90.113610823855
NMU119	PVD001	90.0027635432291
NMU119	NMU115	90.2398714782648
NMU118	HCLVMBCX2-3505-06	90.0071431141941
NMU118	NMU128	91.8796982781157
NMU118	NMU121	91.2229323841773
NMU118	EFE006	91.1069246788484
NMU118	TAP001	90.6014407090967
NMU118	EFE004	90.8294839507397
NMU118	TON007	90.0202478769266
NMU118	TON005	90.1180922453076
NMU118	TON004	90.8522305596277
NMU118	ANN001	91.2621108717248
NMU118	ATT002	91.0046328391774
NMU118	ANN004	90.2893368650556
NMU118	NMU122	91.7860297797246
NMU118	PVD001	91.7180615543607
NMU118	NMU130	90.9020354480437
NMU118	NMU115	91.6708029281336
NMU118	EFE003	90.6880815238462
NMU118	AMH001	90.4644178531683
NMU118	ATT001	90.0024579917664
ANN001	HCLVMBCX2-3505-16	90.4354583645392
ANN001	HCLVMBCX2-3505-06	91.4885584557293
ANN001	NMU128	93.1730636694558
ANN001	NMU121	92.5666458665338
ANN001	EFE006	92.4362093421341
ANN001	TAP001	92.2520976107913
ANN001	EFE004	92.4236477820019
ANN001	TON007	91.8372605749664
ANN001	TON005	91.5627395608343
ANN001	TON004	92.2478877906389
ANN001	PAH002	91.1331681544759
ANN001	TAP003	91.0271078467653
ANN001	NMU118	91.2621108717248
ANN001	ATT002	92.9414896109108
ANN001	ANN004	92.2938563106902
ANN001	NMU122	91.9830086226623
ANN001	PVD001	92.0773561243038
ANN001	NMU130	90.9023070493438
ANN001	NMU115	92.1700400679818
ANN001	TON001	90.0241521456163
ANN001	EFE003	91.6279238728716
ANN001	NMU124	90.5451173894769
ANN001	TON003	90.0256120026047
ANN001	AMH004	90.8408233050212
ANN001	AMH001	91.7798168999835
ANN001	ATT001	91.8847908024936
ATT002	HCLVMBCX2-3505-06	90.8865202237723
ATT002	NMU128	92.6927707202934
ATT002	NMU121	92.2444927743869
ATT002	EFE006	91.9914961632921
ATT002	TAP001	91.6425224427549
ATT002	EFE004	91.7628418187238
ATT002	TON007	91.2954838814814
ATT002	TON005	90.9968582519605
ATT002	TON004	91.6722288349594
ATT002	PAH002	90.6271070319614
ATT002	TAP003	90.5859254848253
ATT002	NMU118	91.0046328391774
ATT002	ANN001	92.9414896109108
ATT002	ANN004	91.8054153225232
ATT002	NMU122	91.7021049779765
ATT002	PVD001	91.755270932482
ATT002	NMU130	90.6409247481068
ATT002	NMU115	91.9136144904726
ATT002	EFE003	91.3377178836555
ATT002	NMU124	90.2753833482601
ATT002	AMH004	90.5341514869832
ATT002	AMH001	91.4972496973343
ATT002	ATT001	91.6123067981126
ANN004	HCLVMBCX2-3505-06	90.4348812117764
ANN004	NMU128	91.9638607310013
ANN004	NMU121	91.4735864340583
ANN004	EFE006	91.3274988847372
ANN004	TAP001	91.1765904123383
ANN004	EFE004	91.2918172639293
ANN004	TON007	90.7807654675243
ANN004	TON005	90.4294491857732
ANN004	TON004	91.0605487568469
ANN004	PAH002	90.1195860524584
ANN004	TAP003	90.0741607350074
ANN004	NMU118	90.2893368650556
ANN004	ANN001	92.2938563106902
ANN004	ATT002	91.8054153225232
ANN004	NMU122	90.9532662432855
ANN004	PVD001	91.0631289691984
ANN004	NMU115	91.1139863126525
ANN004	EFE003	90.5519413721433
ANN004	AMH001	90.6743656581884
ANN004	ATT001	91.1584949757155
NMU122	HCLVMBCX2-3505-06	90.6376655325049
NMU122	NMU128	92.5068935804996
