Library_ID	no_species
ECO002.B0101	122
ECO002.C0101	125
ECO004.B0101	133
ECO004.C0101	89
ECO010.B0101	109
EMN001.A0101	117
ESA003.A0101	147
ESA004.A0101	120
ESA006.A0101	104
ESA007.A0101	122
ESA008.A0101	134
FUM001.A0101	90
FUM002.A0101	85
GDN001.A0101	66
GDN001.B0101	90
LIS001.A0101	129
LIS003.A0101	147
MOA001.A0101	76
MOA001.A0102	77
OAK001.A0101	68
OAK002.A0101	119
OAK003.A0101	90
OAK004.A0101	112
OAK005.A0101	106
OFN001.A0101	108
PES001.B0101	110
PLV001.A0101	134
PYK001.A0101	93
PYK002.A0101	109
PYK003.A0101	94
PYK004.A0101	120
PYK005.A0101	85
RIG001.A0101	121
TAF008.B0101	109
TAF017.C0101	165
TAF018.A0101	114
TAF018.B0101	118
VLD001.A0101	89
