Species	eisenhoffer	okla
Amycolatopsis sp. MJM2582	1	1
Amycolatopsis taiwanensis	1	1
Amycolatopsis thermoflava	1	1
Amycolatopsis xylanica	1	1
Anaerococcus hydrogenalis		1
Anaerococcus nagyae		1
Anaerococcus octavius		1
Anaerococcus prevotii		1
Anaerococcus provencensis		1
Anaerococcus sp. Marseille-P3915		1
Anaerococcus vaginalis		1
Anaeromyxobacter dehalogenans	1	1
Anaeromyxobacter sp. Fw109-5	1	1
Anaeromyxobacter sp. K	1	1
Anaplasma phagocytophilum		1
Angelakisella massiliensis	1	
Angustibacter sp. Root456	1	1
Aquabacterium olei		1
Aquimonas voraii	1	1
Aquincola tertiaricarbonis	1	1
Aquisalimonas asiatica	1	1
Aquitalea magnusonii		1
Archangium gephyra	1	1
Arcicella aurantiaca		1
Arcobacter suis		1
Arenimonas caeni		1
Arenimonas composti	1	1
Arenitalea lutea		1
Arhodomonas aquaeolei	1	1
Aromatoleum aromaticum	1	1
Aromatoleum toluclasticum	1	1
Aromatoleum tolulyticum	1	1
Arsenicicoccus sp. oral taxon 190	1	1
Arthrobacter sp. 35/47		1
Arthrobacter sp. Leaf234		1
Arthrobacter sp. Rue61a		1
Arthrobacter sp. Soil736	1	1
Arthrobacter sp. Soil782		1
Asanoa hainanensis	1	1
Asinibacterium sp. OR43		1
Asinibacterium sp. OR53		1
Asticcacaulis biprosthecium		1
Asticcacaulis excentricus		1
Atopobium sp. HMSC064B08	1	
Aurantiacibacter atlanticus		1
Aurantimonas manganoxydans	1	1
Auraticoccus monumenti	1	1
Aureimonas jatrophae	1	1
Aureimonas sp. AU20	1	1
Aureimonas sp. Leaf460	1	1
Azoarcus communis		1
Azoarcus sp. CIB	1	1
Azoarcus sp. DN11	1	1
Azoarcus sp. KH32C	1	1
Azohydromonas australica	1	1
Azonexus fungiphilus	1	1
Azorhizobium caulinodans	1	1
Azorhizobium doebereinerae	1	1
Azospirillum brasilense	1	1
Azospirillum halopraeferens	1	1
Azospirillum lipoferum	1	1
Azospirillum ramasamyi	1	1
Azospirillum sp. B4	1	1
Azospirillum sp. B510		1
Azospirillum sp. TSO35-2	1	1
Azospirillum thiophilum	1	1
Azotobacter beijerinckii		1
Azotobacter vinelandii		1
Bacillus paralicheniformis		1
Bacillus subtilis		1
Bacillus thuringiensis	1	1
Bacteriovorax stolpii		1
bacterium	1	1
Bacteroides pyogenes	1	
Bacteroides togonis		1
Belnapia moabensis	1	1
Belnapia rosea	1	1
Belnapia sp. F-4-1	1	1
beta proteobacterium CB		1
Betaproteobacteria bacterium GR16-43	1	1
Beutenbergia cavernae	1	1
Bifidobacterium breve		1
Bifidobacterium pseudocatenulatum		1
Blastochloris viridis	1	1
Blastococcus endophyticus	1	1
Blastococcus saxobsidens	1	1
Blastococcus sp. DSM 46786	1	1
Blastococcus sp. DSM 46838	1	1
Blastococcus sp. URHD0036	1	1
Blastomonas natatoria		1
Blastomonas sp. RAC04		1
Blastopirellula marina	1	1
Bordetella bronchialis	1	1
Bordetella genomosp. 13		1
Bordetella petrii	1	1
Bordetella sp. H567		1
Bosea lathyri	1	1
Bosea psychrotolerans		1
Bosea sp. 1131	1	1
Bosea sp. 117	1	1
Bosea sp. AS-1		1
Bosea sp. Leaf344	1	1
Bosea sp. OK403	1	1
Bosea sp. PAMC 26642	1	1
Bosea sp. RAC05	1	1
Bosea sp. Root381	1	1
Bosea sp. Root483D1	1	1
Bosea sp. Root670	1	1
Bosea sp. UNC402CLCol	1	1
Bosea vaviloviae	1	1
Brachybacterium alimentarium	1	1
Brachybacterium avium		1
Brachybacterium faecium		1
Brachybacterium ginsengisoli		1
Brachybacterium muris		1
Brachybacterium phenoliresistens		1
Brachybacterium saurashtrense		1
Brachybacterium sp. HMSC06H03		1
Brachybacterium sp. P6-10-X1		1
Brachyspira hyodysenteriae		1
Bradyrhizobiaceae bacterium SG-6C	1	1
Bradyrhizobium amphicarpaeae	1	1
Bradyrhizobium arachidis		1
Bradyrhizobium diazoefficiens	1	1
Bradyrhizobium elkanii	1	1
Bradyrhizobium erythrophlei	1	1
Bradyrhizobium forestalis	1	1
Bradyrhizobium icense	1	1
Bradyrhizobium japonicum	1	1
Bradyrhizobium jicamae	1	1
Bradyrhizobium lablabi	1	1
Bradyrhizobium macuxiense	1	1
Bradyrhizobium manausense	1	1
Bradyrhizobium murdochi		1
Bradyrhizobium neotropicale		1
Bradyrhizobium nitroreducens	1	1
Bradyrhizobium oligotrophicum	1	1
Bradyrhizobium ottawaense	1	1
Bradyrhizobium pachyrhizi	1	1
Bradyrhizobium sacchari	1	1
Bradyrhizobium sp.	1	1
Bradyrhizobium sp. Ai1a-2	1	1
Bradyrhizobium sp. AT1	1	1
Bradyrhizobium sp. BTAi1	1	1
Bradyrhizobium sp. CCGE-LA001		1
Bradyrhizobium sp. cf659	1	1
Bradyrhizobium sp. Cp5.3		1
Bradyrhizobium sp. DOA1		1
Bradyrhizobium sp. DOA9	1	1
Bradyrhizobium sp. Ec3.3	1	1
Bradyrhizobium sp. Gha	1	1
Bradyrhizobium sp. Ghvi	1	1
Bradyrhizobium sp. Leaf396		1
Bradyrhizobium sp. LTSP849		1
Bradyrhizobium sp. LTSP857		1
Bradyrhizobium sp. LTSP885	1	1
Bradyrhizobium sp. LTSPM299	1	1
Bradyrhizobium sp. ORS 278	1	1
Bradyrhizobium sp. ORS 285	1	1
Bradyrhizobium sp. ORS 3257	1	1
Bradyrhizobium sp. ORS 375	1	1
Bradyrhizobium sp. R5	1	1
Bradyrhizobium sp. Rc2d	1	1
Bradyrhizobium sp. Rc3b		1
Bradyrhizobium sp. S23321	1	1
Bradyrhizobium sp. SK17		1
Bradyrhizobium sp. STM 3843	1	1
Bradyrhizobium sp. th.b2	1	1
Bradyrhizobium sp. URHA0002	1	1
Bradyrhizobium sp. URHA0013		1
Bradyrhizobium sp. URHD0069	1	1
Bradyrhizobium sp. WSM1253		1
Bradyrhizobium sp. WSM1417		1
Bradyrhizobium sp. WSM1743	1	1
Bradyrhizobium sp. WSM2254	1	1
Bradyrhizobium sp. WSM2793		1
Bradyrhizobium sp. WSM3983	1	1
Bradyrhizobium sp. WSM4349		1
Bradyrhizobium sp. WSM471		1
Bradyrhizobium symbiodeficiens		1
Bradyrhizobium valentinum	1	1
Bradyrhizobium yuanmingense	1	1
Brevibacterium aurantiacum		1
Brevibacterium luteolum		1
Brevibacterium paucivorans		1
Brevibacterium senegalense		1
Brevundimonas aveniformis		1
Brevundimonas bacteroides		1
Brevundimonas bullata		1
Brevundimonas diminuta	1	1
Brevundimonas naejangsanensis		1
Brevundimonas sp. BAL3		1
Brevundimonas sp. DS20		1
Brevundimonas sp. GW460-12-10-14-LB2		1
Brevundimonas sp. Leaf168		1
Brevundimonas sp. LM2		1
Brevundimonas sp. Root1423	1	1
Brevundimonas subvibrioides		1
Brevundimonas vesicularis		1
Brucella anthropi		1
Buchananella hordeovulneris		1
Burkholderia ambifaria		1
Burkholderia anthina		1
Burkholderia cenocepacia	1	1
Burkholderia cepacia	1	1
Burkholderia contaminans		1
Burkholderia diffusa		1
Burkholderia gladioli	1	1
Burkholderia glumae	1	1
Burkholderia lata		1
Burkholderia latens		1
Burkholderia mayonis		1
Burkholderia metallica		1
Burkholderia multivorans	1	1
Burkholderia oklahomensis		1
