Species	eisenhoffer	okla
Hyphomicrobium sp. 99	1	1
Hyphomicrobium sp. MC1	1	1
Hyphomicrobium sulfonivorans	1	1
Hyphomicrobium zavarzinii	1	1
Immundisolibacter cernigliae	1	1
Inquilinus limosus	1	1
Intrasporangiaceae bacterium URHB0013	1	1
Intrasporangium calvum	1	1
Isoptericola dokdonensis	1	1
Isoptericola variabilis	1	1
Isosphaera pallida	1	1
Janibacter indicus	1	1
Janibacter massiliensis		1
Janibacter melonis	1	1
Janibacter sp. HTCC2649	1	1
Janthinobacterium agaricidamnosum		1
Janthinobacterium lividum		1
Janthinobacterium sp. 1_2014MBL_MicDiv		1
Janthinobacterium sp. CG3	1	1
Janthinobacterium sp. KBS0711		1
Janthinobacterium sp. LM6		1
Janthinobacterium sp. Marseille		1
Janthinobacterium sp. TND4EL3		1
Janthinobacterium svalbardensis		1
Jatrophihabitans sp. GAS493	1	1
Jeongeupia sp. USM3	1	1
Jeotgalicoccus marinus		1
Jiangella alba	1	1
Jiangella alkaliphila	1	1
Jiangella gansuensis	1	1
Jiangella muralis	1	1
Jiangella sp. DSM 45060	1	1
Kaistia adipata	1	1
Kaistia soli	1	1
Kibdelosporangium aridum	1	1
Kibdelosporangium phytohabitans	1	1
Kibdelosporangium sp. MJ126-NF4	1	1
Kineococcus radiotolerans	1	1
Kineosporia sp. R_H_3	1	1
Kingella denitrificans	1	
Kingella oralis		1
Kitasatospora cheerisanensis	1	1
Kitasatospora setae	1	1
Kitasatospora sp. CB01950	1	1
Kitasatospora sp. MBT63	1	1
Kitasatospora sp. MBT66	1	1
Kitasatospora sp. Root107	1	1
Kitasatospora sp. SolWspMP-SS2h	1	1
Klebsiella aerogenes		1
Klebsiella michiganensis		1
Klebsiella oxytoca		1
Klebsiella pneumoniae		1
Kocuria palustris		1
Kocuria rhizophila		1
Kocuria sp. BT304		1
Kocuria sp. CNJ-770		1
Kocuria sp. UCD-OTCP	1	1
Kocuria turfanensis		1
Krasilnikoviella flava	1	1
Kribbella flavida	1	1
Ktedonobacter racemifer	1	1
Kutzneria albida	1	1
Kutzneria sp. 744	1	1
Kytococcus sp. CUA-901		1
Lacinutrix sp. Bg11-31		1
Lactiplantibacillus plantarum		1
Lactobacillus crispatus		1
Lactobacillus delbrueckii		1
Lactobacillus helveticus		1
Lactobacillus iners		1
Lactobacillus johnsonii		1
Lactococcus cremoris		1
Lactococcus lactis		1
Lacunisphaera limnophila	1	1
Lampropedia hyalina		1
Lancefieldella parvula		1
Laribacter hongkongensis		1
Latilactobacillus sakei		1
Lawsonella clevelandensis		1
Lechevalieria atacamensis	1	1
Lechevalieria deserti	1	1
Lechevalieria fradiae	1	1
Lechevalieria xinjiangensis	1	1
Leclercia adecarboxylata		1
Legionella pneumophila		1
Leifsonia aquatica	1	1
Leifsonia sp. 21MFCrub1.1		1
Leifsonia sp. 509MF		1
Leifsonia sp. Root112D2		1
Leifsonia xyli	1	1
Leisingera sp. ANG-Vp		1
Lentilactobacillus parabuchneri		1
Lentzea aerocolonigenes	1	1
Lentzea albida	1	1
Lentzea albidocapillata	1	1
Lentzea flaviverrucosa	1	1
Lentzea guizhouensis	1	1
Lentzea jiangxiensis	1	1
Lentzea kentuckyensis	1	1
Lentzea violacea	1	1
Lentzea waywayandensis	1	1
Leptothrix cholodnii	1	1
Leptotrichia sp. oral taxon 215	1	
Leuconostoc carnosum		1
Leuconostoc mesenteroides		1
Levilactobacillus brevis		1
Levyella massiliensis		1
Limimonas halophila	1	1
Limnochorda pilosa	1	1
Limnohabitans sp. 103DPR2		1
Limnohabitans sp. 63ED37-2		1
Limnohabitans sp. Rim47		1
Limosilactobacillus reuteri		1
Loktanella fryxellensis		1
Longispora albida	1	1
Luteibacter sp. 22Crub2.1		1
Luteibacter sp. UNCMF331Sha3.1	1	1
Luteimonas abyssi	1	1
Luteimonas mephitis	1	1
Luteimonas sp. J29	1	1
Luteipulveratus mongoliensis	1	1
Luteitalea pratensis	1	1
Lutibacter maritimus		1
Lutibacter profundi		1
Lysinimicrobium aestuarii	1	1
Lysinimicrobium rhizosphaerae	1	1
Lysobacter antibioticus	1	1
Lysobacter capsici	1	1
Lysobacter defluvii	1	1
Lysobacter enzymogenes	1	1
Lysobacter gummosus	1	1
Lysobacter maris	1	1
Lysobacter sp. URHA0019	1	1
Lysobacter sp. yr284		1
Macromonas bipunctata		1
Maricaulis maris		1
Marinactinospora thermotolerans	1	1
marine actinobacterium PHSC20C1		1
Marmoricola ginsengisoli	1	1
Marmoricola scoriae	1	1
Marmoricola solisilvae	1	1
Marmoricola sp. Leaf446	1	1
Marmoricola sp. URHB0036	1	1
Martelella mediterranea		1
Massilia alkalitolerans		1
Massilia armeniaca		1
Massilia aurea		1
Massilia namucuonensis	1	1
Massilia niastensis	1	1
Massilia oculi		1
Massilia putida	1	1
Massilia sp. BSC265		1
Massilia sp. KIM	1	1
Massilia sp. NR 4-1		1
Massilia sp. PDC64	1	1
Massilia sp. Root335	1	1
Massilia sp. Root418		1
Massilia sp. WG5	1	1
Massilia sp. YMA4	1	1
Massilia timonae		1
Massilia violaceinigra		1
Massilia yuzhufengensis		1
Mastigocladus laminosus		1
Megasphaera micronuciformis		1
Meiothermus cerbereus		1
Meiothermus ruber		1
Meiothermus taiwanensis		1
Melaminivora alkalimesophila		1
Melaminivora sp. SC2-9		1
Melittangium boletus	1	1
Mesorhizobium amorphae	1	1
Mesorhizobium australicum	1	1
Mesorhizobium ciceri	1	1
Mesorhizobium erdmanii		1
Mesorhizobium loti	1	1
Mesorhizobium muleiense	1	1
Mesorhizobium oceanicum	1	1
Mesorhizobium opportunistum	1	1
Mesorhizobium plurifarium	1	1
Mesorhizobium prunaredense	1	1
Mesorhizobium qingshengii	1	1
Mesorhizobium sp. 1M-11	1	1
Mesorhizobium sp. ORS 3324	1	1
Mesorhizobium sp. ORS 3359	1	1
Mesorhizobium sp. Root157		1
Mesorhizobium sp. Root172	1	1
Mesorhizobium sp. Root552		1
Mesorhizobium sp. SOD10	1	1
Mesorhizobium sp. URHA0056	1	1
Mesorhizobium sp. URHC0008		1
Mesorhizobium sp. WSM2561	1	1
Mesorhizobium sp. WSM3224	1	1
Mesorhizobium sp. WSM3626	1	1
Metallibacterium scheffleri	1	1
Methanosarcina mazei		1
Methanosphaera sp. BMS	1	
Methanosphaera stadtmanae	1	
Methylibium petroleiphilum	1	1
Methylibium sp. CF059	1	1
Methylibium sp. CF468	1	1
Methylibium sp. YR605	1	1
Methylobacter tundripaludum		1
Methylobacterium brachiatum	1	1
Methylobacterium currus		1
Methylobacterium nodulans	1	1
Methylobacterium organophilum		1
Methylobacterium oryzae		1
Methylobacterium phyllostachyos		1
Methylobacterium platani	1	1
Methylobacterium pseudosasicola		1
Methylobacterium radiotolerans		1
Methylobacterium sp. 174MFSha1.1	1	1
Methylobacterium sp. 4-46		1
Methylobacterium sp. 77		1
Methylobacterium sp. AMS5		1
Methylobacterium sp. ap11		1
Methylobacterium sp. B34		1
Methylobacterium sp. B4		1
Methylobacterium sp. DM1		1
Methylobacterium sp. Leaf117		1
Methylobacterium sp. Leaf125		1
Methylobacterium sp. Leaf361		1
Methylobacterium sp. Leaf399	1	1
Methylobacterium sp. Leaf86		1
Methylobacterium sp. Leaf90		1
Methylobacterium sp. Leaf93		1
Methylobacterium sp. UNCCL125		1
Methylobacterium sp. yr668		1
Methylocapsa aurea		1
Methyloceanibacter caenitepidi	1	1
Methylocella silvestris	1	1
Methylococcus capsulatus	1	1
Methylocystis sp. ATCC 49242	1	1
Methylocystis sp. SC2		1
Methylophilus methylotrophus		1
Methylophilus rhizosphaerae		1
Methylophilus sp. 5		1
Methylophilus sp. Leaf459		1
Methylorubrum extorquens	1	1
Methylorubrum populi	1	1
Methylosinus sp. LW4		1
Methylosinus trichosporium	1	1
Methylotenera mobilis		1
Methylotenera versatilis		1
Methyloversatilis discipulorum	1	1
Methyloversatilis sp. RAC08	1	1
Methyloversatilis thermotolerans		1
Methyloversatilis universalis	1	1
Methylovirgula ligni	1	1
Microbacterium aurum		1
Microbacterium chocolatum		1
Microbacterium foliorum		1
Microbacterium hominis		1
Microbacterium kitamiense		1
Microbacterium luticocti		1
Microbacterium oleivorans		1
Microbacterium pygmaeum		1
Microbacterium sp. AISO3		1
Microbacterium sp. AR7-10		1
Microbacterium sp. BH-3-3-3		1
Microbacterium sp. cf046	1	1
Microbacterium sp. Cr-K20		1
Microbacterium sp. H6		1
Microbacterium sp. LCT-H2		1
Microbacterium sp. Leaf351		1
Microbacterium sp. MYb72		1
Microbacterium sp. No. 7	1	1
Microbacterium sp. oral taxon 186		1
Microbacterium sp. Root166		1
Microbacterium sp. Root180		1
Microbacterium testaceum		1
Microbispora rosea	1	1
Microbispora sp. ATCC PTA-5024	1	1
Microbispora sp. GMKU363	1	1
Micrococcus luteus	1	1
Micrococcus lylae		1
Micrococcus sp. HMSC067E09		1
Micrococcus sp. KBS0714		1
Microcystis aeruginosa		1
Microlunatus flavus		1
Microlunatus phosphovorus	1	1
Microlunatus sagamiharensis		1
Microlunatus soli	1	1
Micromonospora aurantiaca	1	1
Micromonospora auratinigra	1	1
Micromonospora carbonacea	1	1
Micromonospora chaiyaphumensis	1	1
Micromonospora chokoriensis	1	1
Micromonospora coriariae	1	1
Micromonospora coxensis	1	1
Micromonospora echinaurantiaca	1	1
Micromonospora echinofusca	1	1
Micromonospora echinospora	1	1
Micromonospora endolithica	1	1
Micromonospora haikouensis	1	1
Micromonospora halophytica	1	1
Micromonospora humi	1	1
Micromonospora inositola	1	1
Micromonospora krabiensis	1	1
Micromonospora lupini	1	1
Micromonospora matsumotoense	1	1
Micromonospora mirobrigensis	1	1
Micromonospora narathiwatensis	1	1
Micromonospora purpureochromogenes	1	1
Micromonospora rifamycinica	1	1
Micromonospora saelicesensis	1	1
Micromonospora siamensis	1	1
Micromonospora sp. ATCC 39149	1	1
Micromonospora sp. CB01531	1	1
Micromonospora sp. HK10	1	1
Micromonospora sp. TSRI0369	1	1
Micromonospora tulbaghiae	1	1
Micromonospora viridifaciens	1	1
Micromonospora zamorensis	1	1
Micropruina glycogenica	1	1
Microterricola viridarii	1	1
Microtetraspora fusca	1	1
Microtetraspora glauca	1	1
Microtetraspora malaysiensis	1	1
Microtetraspora niveoalba	1	1
Microvirga flocculans	1	1
Microvirga lotononidis	1	1
Microvirga massiliensis	1	1
Microvirga ossetica	1	1
Microvirga sp. KLBC 81	1	1
Microvirga subterranea	1	1
Microvirga vignae	1	1
Mitsuaria sp. 7	1	1
Mizugakiibacter sediminis	1	1
Mobilicoccus massiliensis	1	1
Mobiluncus curtisii		1
Modestobacter caceresii	1	1
Modestobacter marinus	1	1
Modestobacter sp. DSM 44400	1	1
Moraxella atlantae		1
Moraxella osloensis		1
Morganella morganii		1
Morococcus cerebrosus	1	
Motilibacter peucedani	1	1
Mucilaginibacter gossypiicola		1
Murimonas intestini		1
Murinocardiopsis flavida	1	1
Mycobacterium asiaticum	1	1
Mycobacterium avium	1	1
Mycobacterium bohemicum	1	1
Mycobacterium canettii	1	1
Mycobacterium chimaera	1	1
Mycobacterium colombiense	1	1
Mycobacterium dioxanotrophicus	1	1
Mycobacterium gordonae	1	1
Mycobacterium haemophilum	1	1
Mycobacterium interjectum	1	1
Mycobacterium intermedium	1	1
Mycobacterium intracellulare	1	1
Mycobacterium kansasii	1	1
Mycobacterium leprae	1	1
Mycobacterium marinum	1	1
Mycobacterium marseillense	1	1
Mycobacterium montefiorense	1	1
Mycobacterium nebraskense	1	1
Mycobacterium paraffinicum	1	1
Mycobacterium paragordonae	1	1
Mycobacterium parascrofulaceum	1	1
Mycobacterium rhizamassiliense	1	1
Mycobacterium sherrisii	1	1
Mycobacterium shigaense	1	1
Mycobacterium shimoidei	1	1
Mycobacterium simiae	1	1
Mycobacterium sp. 141	1	1
Mycobacterium sp. 155	1	1
Mycobacterium sp. 360MFTsu5.1	1	1
Mycobacterium sp. 455mf	1	1
Mycobacterium sp. 88mf	1	1
Mycobacterium sp. AT1	1	1
Mycobacterium sp. djl-10	1	1
Mycobacterium sp. EPa45	1	1
Mycobacterium sp. JLS	1	1
Mycobacterium sp. JS623	1	1
Mycobacterium sp. M26	1	1
Mycobacterium sp. MS1601	1	1
Mycobacterium sp. QGD 101	1	1
Mycobacterium sp. QIA-37		1
Mycobacterium sp. Root135	1	1
Mycobacterium sp. Root265	1	1
Mycobacterium sp. Soil538	1	1
Mycobacterium sp. UM_NYF	1	1
Mycobacterium sp. UM_WWY	1	1
Mycobacterium sp. UNC267MFSha1.1M11	1	1
Mycobacterium sp. UNC280MFTsu5.1	1	1
Mycobacterium sp. URHB0044	1	1
Mycobacterium sp. URHD0025	1	1
Mycobacterium sp. WY10	1	1
Mycobacterium sp. YC-RL4	1	1
Mycobacterium terramassiliense	1	1
Mycobacterium triplex	1	1
Mycobacterium tuberculosis	1	1
Mycobacteroides abscessus	1	1
Mycobacteroides chelonae		1
Mycobacteroides immunogenum	1	1
Mycobacteroides saopaulense	1	1
Mycolicibacter icosiumassiliensis	1	1
Mycolicibacter sinensis	1	1
Mycolicibacter terrae	1	1
Mycolicibacterium acapulense	1	1
Mycolicibacterium aurum	1	1
Mycolicibacterium austroafricanum	1	1
Mycolicibacterium chubuense	1	1
Mycolicibacterium farcinogenes	1	1
Mycolicibacterium fortuitum	1	1
Mycolicibacterium gilvum	1	1
Mycolicibacterium goodii	1	1
Mycolicibacterium hassiacum	1	1
Mycolicibacterium houstonense	1	1
Mycolicibacterium litorale	1	1
Mycolicibacterium neoaurum	1	1
Mycolicibacterium peregrinum	1	1
Mycolicibacterium phlei	1	1
Mycolicibacterium rhodesiae	1	1
Mycolicibacterium rutilum	1	1
Mycolicibacterium septicum	1	1
Mycolicibacterium setense	1	1
Mycolicibacterium smegmatis	1	1
Mycolicibacterium thermoresistibile	1	1
Mycolicibacterium tusciae	1	1
Mycolicibacterium vaccae	1	1
Mycolicibacterium vanbaalenii	1	1
Mycoplana dimorpha	1	1
Myroides guanonis		1
Myroides phaeus		1
Myxococcus fulvus	1	1
Myxococcus hansupus	1	1
Myxococcus stipitatus	1	1
Nakamurella lactea	1	1
Nakamurella multipartita	1	1
Nakamurella panacisegetis	1	1
Nannocystis exedens	1	1
Neisseria cinerea		1
Neisseria gonorrhoeae	1	1
Neisseria meningitidis	1	
Neisseria sicca	1	
Neisseria sp. GT4A_CT1		1
Neisseria sp. HMSC064E01	1	
Neisseria sp. HMSC068C04		1
Neisseria sp. HMSC077D05	1	
Neisseria sp. HMSC15C08	1	
Neisseria sp. HMSC31F04	1	
Neisseria wadsworthii		1
Neorhizobium galegae	1	1
Nesterenkonia sandarakina		1
Nevskia soli	1	1
Niastella koreensis	1	1
Niastella yeongjuensis	1	1
Nitriliruptor alkaliphilus	1	1
Nitrobacter hamburgensis	1	1
Nitrobacter sp. Nb-311A		1
Nitrobacter vulgaris		1
Nitrobacter winogradskyi		1
Nitrosomonas sp. Is79A3		1
Nitrososphaera viennensis	1	1
Nitrosovibrio sp. Nv17		1
Nitrospira cf. moscoviensis SBR1015	1	1
Nitrospira defluvii	1	1
Nitrospira japonica	1	1
Nitrospira moscoviensis	1	1
Nitrospirillum amazonense	1	1
Niveispirillum cyanobacteriorum		1
Nocardia amikacinitolerans	1	1
Nocardia brasiliensis	1	1
Nocardia cyriacigeorgica	1	1
Nocardia farcinica	1	1
Nocardia jinanensis		1
Nocardia mexicana	1	1
Nocardia neocaledoniensis	1	1
Nocardia nova	1	1
Nocardia pseudobrasiliensis	1	1
Nocardia puris	1	1
Nocardia seriolae	1	1
Nocardia sp. BMG111209	1	1
Nocardia sp. Root136	1	1
Nocardia tenerifensis	1	1
Nocardia terpenica	1	1
Nocardioides alkalitolerans	1	1
Nocardioides alpinus	1	1
Nocardioides dokdonensis	1	1
Nocardioides halotolerans	1	1
Nocardioides insulae	1	1
Nocardioides lianchengensis	1	1
Nocardioides psychrotolerans	1	1
Nocardioides sp. CF8	1	1
Nocardioides sp. Iso805N	1	1
Nocardioides sp. J54	1	1
Nocardioides sp. JS614	1	1
Nocardioides sp. Leaf307	1	1
Nocardioides sp. Root122	1	1
Nocardioides sp. Root140	1	1
Nocardioides sp. Root151	1	1
Nocardioides sp. Root190	1	1
Nocardioides sp. Root224	1	1
Nocardioides sp. Soil777	1	1
Nocardioides sp. Soil796	1	1
Nocardioides sp. Soil805	1	1
Nocardioides sp. URHA0020	1	1
Nocardioides sp. URHA0032	1	1
Nocardioides sp. XL1	1	1
Nocardioides szechwanensis	1	1
Nocardioides terrae	1	1
Nocardiopsis alba	1	1
Nocardiopsis flavescens	1	1
Nocardiopsis gilva	1	1
Nocardiopsis sinuspersici	1	1
Nocardiopsis sp. CNR-923	1	1
Nocardiopsis sp. CNT312	1	1
Nocardiopsis sp. TSRI0078	1	1
Nonomuraea candida	1	1
Nonomuraea coxensis	1	1
Nonomuraea indica	1	1
Nonomuraea jiangxiensis	1	1
Nonomuraea maritima	1	1
Nonomuraea pusilla	1	1
Nonomuraea solani	1	1
Nonomuraea sp. ATCC 55076	1	1
Nonomuraea sp. SBT364	1	1
Nonomuraea wenchangensis	1	1
Noviherbaspirillum denitrificans	1	1
Noviherbaspirillum humi	1	1
Novosphingobium acidiphilum		1
Novosphingobium aromaticivorans		1
Novosphingobium barchaimii		1
Novosphingobium fuchskuhlense		1
Novosphingobium panipatense		1
Novosphingobium pentaromativorans		1
Novosphingobium resinovorum		1
Novosphingobium sp. B 225		1
Novosphingobium sp. B-7		1
Novosphingobium sp. FSW06-99		1
Novosphingobium sp. P6W		1
Novosphingobium sp. THN1		1
Oceanicella actignis	1	1
Oceanicella sp. SM1341	1	1
Oceanicola granulosus	1	1
Oceanithermus profundus	1	1
Oleiagrimonas soli	1	1
Oligotropha carboxidovorans	1	1
Olleya aquimaris		1
Opitutaceae bacterium TAV1	1	1
Opitutaceae bacterium TAV5	1	1
Opitutaceae bacterium TSB47	1	1
Opitutus sp. GAS368	1	1
Opitutus terrae	1	1
Oribacterium parvum		1
Oribacterium sinus		1
Ornithinimicrobium pekingense	1	1
Ornithinimicrobium sp. CNJ-824	1	1
Oscillibacter ruminantium		1
Oscillibacter sp. 1-3		1
Ottowia oryzae	1	1
Oxalobacteraceae bacterium AB_14		1
Paenarthrobacter nicotinovorans		1
Paenibacillus ferrarius		1
Paenibacillus pasadenensis	1	1
Paludibacterium yongneupense		1
Paludisphaera borealis	1	1
Pandoraea norimbergensis		1
Pandoraea pnomenusa	1	1
Pannonibacter phragmitetus	1	1
Pantoea agglomerans		1
Pantoea ananatis		1
Paraburkholderia aromaticivorans		1
Paraburkholderia aspalathi		1
Paraburkholderia caballeronis	1	1
Paraburkholderia caffeinilytica		1
Paraburkholderia caribensis	1	1
Paraburkholderia eburnea		1
Paraburkholderia fungorum		1
Paraburkholderia hospita		1
Paraburkholderia kururiensis		1
Paraburkholderia mimosarum	1	1
Paraburkholderia nodosa		1
Paraburkholderia phenazinium		1
Paraburkholderia phymatum		1
Paraburkholderia phytofirmans		1
Paraburkholderia ribeironis		1
Paraburkholderia sartisoli		1
Paraburkholderia silvatlantica		1
Paraburkholderia sprentiae		1
Paraburkholderia susongensis		1
Paraburkholderia tropica	1	1
Paraburkholderia unamae	1	1
Paraburkholderia xenovorans		1
Paracoccus aminovorans		1
Paracoccus contaminans		1
Paracoccus halophilus		1
Paracoccus pantotrophus		1
Paracoccus saliphilus		1
Paracoccus sp. 228		1
Paracoccus sp. J55		1
Paracoccus sp. SM22M-07		1
Paracoccus tibetensis		1
Paracoccus yeei	1	1
Paraoerskovia marina	1	1
Pararheinheimera texasensis		1
Parolsenella massiliensis		1
Parvibaculum lavamentivorans	1	1
Patulibacter minatonensis	1	1
Paucibacter sp. KCTC 42545		1
Paucimonas lemoignei		1
Pediococcus acidilactici		1
Pedobacter cryoconitis		1
Pedobacter namyangjuensis		1
Pedobacter nutrimenti		1
Pedobacter sp. V48	1	1
Pedococcus cremeus		1
Pelodictyon luteolum		1
Pelomonas sp. Root1217		1
Pelomonas sp. Root1237		1
Pelomonas sp. Root1444	1	1
Pelomonas sp. Root662	1	1
Peptoniphilus coxii		1
Peptoniphilus grossensis		1
Peptoniphilus lacrimalis		1
Peptoniphilus urinimassiliensis		1
Petrotoga sp. Shatin.DS.tank11.9.2.9.3		1
Phenylobacterium sp. Root1290		1
Phenylobacterium sp. Root700	1	1
Phenylobacterium zucineum	1	1
Phreatobacter cathodiphilus	1	1
Phycicoccus cremeus	1	1
Phycicoccus dokdonensis	1	1
Phycicoccus sp. Root563	1	1
Phycicoccus sp. Soil748	1	1
Phycicoccus sp. Soil803	1	1
Phycisphaera mikurensis	1	1
Phyllobacterium bourgognense		1
Phyllobacterium leguminum		1
Phyllobacterium myrsinacearum		1
Phyllobacterium zundukense	1	1
Pimelobacter simplex	1	1
Pirellula staleyi	1	1
Piscinibacter caeni	1	1
Piscirickettsia salmonis		1
Planctomyces sp. SH-PL14	1	1
Planctomyces sp. SH-PL62	1	1
Planctopirus limnophila		1
Planobispora rosea	1	1
Planococcus sp. MB-3u-03		1
Plantibacter sp. MMLR14_011		1
Plasticicumulans acidivorans	1	1
Pleomorphomonas koreensis	1	1
Pleomorphomonas oryzae		1
Polaromonas glacialis		1
Polaromonas naphthalenivorans		1
Polaromonas sp. JS666	1	1
Polaromonas sp. YR568		1
Polymorphum gilvum	1	1
Polynucleobacter asymbioticus		1
Polynucleobacter difficilis		1
Polynucleobacter duraquae		1
Polynucleobacter necessarius		1
Polynucleobacter sinensis		1
Porphyromonas cangingivalis		1
Porphyromonas catoniae	1	
Porphyromonas sp. HMSC065F10		1
Porphyromonas sp. KLE 1280		1
Porphyromonas sp. oral taxon 278	1	
Prauserella marina	1	1
Prauserella sp. PE36	1	1
Prevotella bivia		1
Prevotella buccae		1
Prevotella copri		1
Prevotella denticola		1
Prevotella disiens		1
Prevotella fusca		1
Prevotella jejuni		1
Prevotella melaninogenica		1
Prevotella nigrescens		1
Prevotella oulorum		1
Prevotella pallens		1
Prevotella scopos		1
Prevotella sp. HJM029		1
Prevotella timonensis		1
Prevotellaceae bacterium Marseille-P2826		1
Promicromonospora kroppenstedtii	1	1
Promicromonosporaceae bacterium W15	1	1
Propionibacteriaceae bacterium P6A17	1	1
Propionibacterium freudenreichii	1	1
Propionibacterium sp. KPL1844		1
Propionicicella superfundia	1	1
Propionivibrio dicarboxylicus	1	
Prosthecobacter debontii		1
Prosthecomicrobium hirschii	1	1
Proteiniphilum saccharofermentans		1
Proteus sp. HMSC10D02		1
Providencia stuartii		1
Pseudacidovorax intermedius		1
Pseudaminobacter salicylatoxidans	1	1
Pseudarcicella hirudinis		1
Pseudoglutamicibacter albus		1
Pseudolabrys sp. Root1462	1	1
Pseudolabrys taiwanensis	1	1
Pseudoleptotrichia goodfellowii		1
Pseudomonas aeruginosa	1	1
Pseudomonas alcaligenes		1
Pseudomonas alcaliphila		1
Pseudomonas azotifigens	1	
Pseudomonas azotoformans		1
Pseudomonas borbori		1
Pseudomonas chlororaphis		1
Pseudomonas cremoricolorata		1
Pseudomonas denitrificans (nom. rej.)		1
Pseudomonas extremaustralis		1
Pseudomonas fluorescens	1	1
Pseudomonas fragi		1
Pseudomonas fuscovaginae		1
Pseudomonas gingeri		1
Pseudomonas guariconensis	1	
Pseudomonas guguanensis		1
Pseudomonas indica		1
Pseudomonas koreensis		1
Pseudomonas mandelii		1
Pseudomonas mendocina		1
Pseudomonas moraviensis		1
Pseudomonas mosselii		1
Pseudomonas nitroreducens	1	1
Pseudomonas oleovorans		1
Pseudomonas panipatensis		1
Pseudomonas peli		1
Pseudomonas punonensis		1
Pseudomonas putida	1	1
Pseudomonas salomonii		1
Pseudomonas sp. 02C 26		1
Pseudomonas sp. B10		1
Pseudomonas sp. DY-1		1
Pseudomonas sp. ICMP 8385		1
Pseudomonas sp. LPH1		1
Pseudomonas sp. NC02		1
Pseudomonas sp. NFACC02		1
Pseudomonas sp. QTF5		1
Pseudomonas sp. Root562		1
Pseudomonas sp. TKP		1
Pseudomonas stutzeri	1	1
Pseudomonas syringae		1
Pseudomonas yamanorum		1
Pseudonocardia acaciae	1	1
Pseudonocardia ammonioxydans	1	1
Pseudonocardia asaccharolytica	1	1
Pseudonocardia autotrophica	1	1
Pseudonocardia dioxanivorans	1	1
Pseudonocardia oroxyli	1	1
Pseudonocardia sp. AL041005-10	1	1
Pseudonocardia sp. CNS-139	1	1
Pseudonocardia sp. HH130629-09	1	1
Pseudonocardia sp. HH130630-07	1	1
Pseudonocardia sp. MH-G8	1	1
Pseudonocardia sp. N23	1	1
Pseudonocardia spinosispora	1	1
Pseudorhodoferax soli	1	1
Pseudorhodoferax sp. Leaf274	1	1
Pseudorhodoplanes sinuspersici	1	1
Pseudosporangium ferrugineum	1	1
Pseudoxanthobacter soli	1	1
Pseudoxanthomonas sp. CF125	1	1
Pseudoxanthomonas sp. Root630	1	1
Pseudoxanthomonas sp. Root65		1
Pseudoxanthomonas suwonensis	1	1
Pseudoxanthomonas wuyuanensis	1	1
Psychrobacillus sp. FJAT-21963		1
Psychrobacter cryohalolentis		1
Psychrobacter sp. SHUES1		1
Pulveribacter suum		1
Raineyella antarctica	1	1
Ralstonia insidiosa		1
Ralstonia mannitolilytica		1
Ralstonia pickettii		1
Ralstonia solanacearum	1	1
Ralstonia sp. 25mfcol4.1		1
Ralstonia sp. MD27		1
Ralstonia sp. NFACC01		1
Ralstonia sp. UNC404CL21Col		1
Ralstonia sp. UNCCL144		1
Ramlibacter tataouinensis	1	1
Raoultella ornithinolytica		1
Raoultibacter timonensis	1	1
Rathayibacter sp. Leaf296		1
Reyranella massiliensis	1	1
Rhizobacter gummiphilus	1	1
Rhizobacter sp. OV335	1	1
Rhizobacter sp. Root1221	1	1
Rhizobacter sp. Root404	1	1
Rhizobiales bacterium	1	1
Rhizobium etli	1	1
Rhizobium gallicum	1	1
Rhizobium giardinii		1
Rhizobium grahamii		1
Rhizobium hainanense		1
Rhizobium jaguaris		1
Rhizobium leguminosarum	1	1
Rhizobium miluonense		1
Rhizobium multihospitium		1
Rhizobium pusense		1
Rhizobium rhizosphaerae		1
Rhizobium sp. AC27/96		1
Rhizobium sp. CF097		1
Rhizobium sp. Leaf311		1
Rhizobium sp. Leaf321		1
Rhizobium sp. Leaf371		1
Rhizobium sp. OK665		1
Rhizobium sp. Root483D2		1
Rhizobium sp. Root651		1
Rhizobium sp. WW_1		1
Rhizobium sp. YK2		1
Rhizobium sp. YR519		1
Rhizobium sp. YS-1r		1
Rhizobium sullae	1	1
Rhizorhabdus dicambivorans		1
Rhizorhabdus wittichii		1
Rhodanobacter denitrificans	1	1
Rhodanobacter glycinis		1
Rhodanobacter sp. OR444		1
Rhodanobacter sp. Root561	1	1
Rhodanobacter sp. Root627	1	1
Rhodanobacter sp. Soil772		1
Rhodobacter capsulatus	1	1
Rhodobacter sp. LPB0142		1
Rhodobacter sphaeroides	1	1
Rhodobacteraceae bacterium	1	1
Rhodobacteraceae bacterium QY30		1
Rhodobium orientis	1	1
Rhodoblastus acidophilus	1	1
Rhodoblastus sphagnicola		1
Rhodococcus erythropolis		1
Rhodococcus fascians	1	1
Rhodococcus hoagii	1	1
Rhodococcus jostii	1	1
Rhodococcus kyotonensis	1	1
Rhodococcus opacus	1	1
Rhodococcus phenolicus	1	1
Rhodococcus qingshengii		1
Rhodococcus rhodochrous	1	1
Rhodococcus ruber	1	1
Rhodococcus sp. Leaf225	1	1
Rhodococcus sp. MTM3W5.2	1	1
Rhodococcus sp. UNC363MFTsu5.1	1	1
Rhodocyclaceae bacterium Paddy-1		1
Rhodoferax antarcticus		1
Rhodoferax ferrireducens		1
Rhodoferax koreense	1	1
