Sample Name	Reads	Reads Mapped	Endogenous DNA (%)	Reads Mapped	Endogenous DNA Post (%)	% Dups	5 Prime C>T 1st base	5 Prime C>T 2nd base	Mean read length	Median read length	Aligned	Mean cov	Median cov	? 1X	? 2X	? 3X	? 4X	? 5X	% GC	SNPs	% Hets
NMU125.A0101	"10,609,665"	"183,073"	1.73	"183,073"	1.73	4.10%	4.70%	1.00%	57.12bp	51.00bp	"175,548"	2.9X	3.0X	83.30%	71.30%	54.40%	36.80%	22.20%	49%	"3,546"	3.2
NMU126.A0101	"10,600,038"	"165,945"	1.57	"165,945"	1.57	4.10%	6.00%	1.10%	47.73bp	43.00bp	"159,083"	2.2X	2.0X	79.00%	60.20%	39.50%	22.60%	11.30%	50%	"1,704"	1.7
NMU127.A0101	"10,067,866"	"34,099"	0.34	"34,099"	0.34	3.10%	5.00%	1.10%	50.24bp	45.00bp	"33,028"	0.5X	0.0X	35.60%	9.20%	1.90%	0.40%	0.20%	51%	67	23.9
NMU128.A0101	"11,332,444"	"71,499"	0.63	"71,499"	0.63	3.60%	6.20%	1.10%	48.57bp	44.00bp	"68,916"	1.0X	1.0X	56.60%	25.80%	9.50%	3.10%	1.00%	50%	139	6.5
NMU129.A0101	"9,166,900"	"88,147"	0.96	"88,147"	0.96	4.20%	6.20%	1.10%	46.40bp	42.00bp	"84,483"	1.1X	1.0X	60.60%	31.50%	13.50%	4.90%	1.70%	51%	224	10.7
NMU130.A0101	"12,656,199"	"335,833"	2.65	"335,833"	2.65	5.40%	5.40%	1.20%	52.08bp	47.00bp	"317,699"	4.9X	5.0X	87.90%	83.30%	75.80%	65.40%	53.10%	50%	"10,023"	1.9
PAH002.A0101	"11,357,511"	"28,540"	0.25	"28,540"	0.25	4.10%	24.60%	2.40%	42.12bp	40.00bp	"27,360"	0.3X	0.0X	23.90%	5.80%	1.90%	0.70%	0.40%	47%	133	6.8
PAH003.A0101	"8,792,343"	"29,693"	0.34	"29,693"	0.34	4.00%	20.30%	3.50%	40.29bp	38.00bp	"28,505"	0.3X	0.0X	21.50%	6.60%	2.60%	1.10%	0.60%	48%	257	2.7
RAP001.A0101	"13,800,632"	"53,408"	0.39	"53,408"	0.39	7.70%	6.70%	2.80%	62.62bp	59.00bp	"49,275"	0.9X	0.0X	44.80%	22.90%	10.40%	4.30%	1.80%	50%	604	9.6
RAP002.A0101	"10,359,114"	"46,661"	0.45	"46,661"	0.45	6.30%	6.80%	3.30%	61.14bp	57.00bp	"43,708"	0.8X	0.0X	40.70%	18.10%	7.40%	3.30%	1.70%	48%	799	12.9
SIG031.A0101	"11,367,781"	"149,211"	1.31	"149,211"	1.31	4.00%	6.20%	1.00%	53.26bp	48.00bp	"143,251"	2.2X	2.0X	79.90%	61.80%	40.30%	22.50%	10.80%	46%	"1,465"	2.4
SIG032.A0101	"11,841,156"	"202,539"	1.71	"202,539"	1.71	4.90%	6.00%	1.00%	51.81bp	47.00bp	"192,641"	2.9X	3.0X	84.30%	72.70%	55.70%	37.20%	21.80%	47%	"3,275"	1.9
SIG033.A0101	"11,503,247"	"81,111"	0.71	"81,111"	0.71	3.80%	4.80%	1.20%	51.10bp	46.00bp	"78,049"	1.2X	1.0X	63.70%	32.90%	13.10%	4.20%	1.30%	48%	185	4.3
SIG035.A0101	"11,761,885"	"31,459"	0.27	"31,459"	0.27	5.20%	6.60%	1.30%	46.06bp	42.00bp	"29,834"	0.4X	0.0X	31.20%	6.50%	1.10%	0.20%	0.10%	48%	6	16.7
TAP001.B0101	"11,516,576"	"46,759"	0.41	"46,759"	0.41	3.60%	7.00%	1.10%	50.85bp	45.00bp	"45,088"	0.7X	0.0X	45.60%	15.10%	4.00%	0.90%	0.30%	49%	34	5.9
TAP003.B0101	"10,735,851"	"77,826"	0.72	"77,826"	0.72	3.60%	6.20%	1.00%	52.00bp	47.00bp	"75,054"	1.1X	1.0X	62.20%	31.80%	12.80%	4.40%	1.30%	49%	143	4.2
TON004.B0101	"11,770,779"	"519,048"	4.41	"519,048"	4.41	10.60%	22.50%	1.00%	42.43bp	40.00bp	"464,248"	5.8X	6.0X	87.50%	83.90%	78.20%	70.20%	60.50%	47%	"10,878"	2.6
TON005.B0101	"14,490,667"	"174,842"	1.21	"174,842"	1.21	7.70%	19.10%	1.10%	44.81bp	41.00bp	"161,413"	2.1X	2.0X	76.70%	56.10%	36.00%	20.70%	10.90%	48%	"1,511"	1.8
TON006.B0101	"9,531,461"	"243,713"	2.56	"243,713"	2.56	5.80%	18.90%	1.10%	42.94bp	40.00bp	"229,626"	2.9X	3.0X	83.60%	69.30%	51.70%	35.00%	21.70%	47%	"2,968"	3.5
TON007.B0101	"8,192,561"	"34,467"	0.42	"34,467"	0.42	5.00%	23.00%	1.20%	41.73bp	39.00bp	"32,735"	0.4X	0.0X	29.00%	6.80%	1.60%	0.50%	0.30%	49%	156	2.6
