#Datasets	ABM006.A0101.unmapped	ABM007.A0101.unmapped	ABM008.A0101.unmapped	BAN001.A0101.unmapped	BIT001.A0101.unmapped	BSQ001.A0101.unmapped	CDC005.A0101.unmapped	CDC006.A0101.unmapped	CDC007.A0101.unmapped	CDC008.A0101.unmapped	CDC009.A0101.unmapped	CDC010.A0101.unmapped	DJA002.A0101.unmapped	DJA006.A0101.unmapped	DJA007.A0101.unmapped	DLV001.A0101.unmapped	DLV002.A0101.unmapped	EBO001.A0101.unmapped	EBO003.A0101.unmapped	EBO008.A0101.unmapped	EBO009.A0101.unmapped	ECO002.B0101.unmapped	ECO002.C0101.unmapped	ECO004.B0101.unmapped	ECO004.C0101.unmapped	ECO006.B0101.unmapped	ECO010.B0101.unmapped	EMN001.A0101.unmapped	ESA003.A0101.unmapped	ESA004.A0101.unmapped	ESA006.A0101.unmapped	ESA007.A0101.unmapped	ESA008.A0101.unmapped	FDM001.A0101.unmapped	FUM001.A0101.unmapped	FUM002.A0101.unmapped	FUM003.A0101.unmapped	GDC002.A0101.unmapped	GDC004.A0101.unmapped	GDC005.A0101.unmapped	GDN001.A0101.unmapped	GDN001.B0101.unmapped	GUE001.A0101.unmapped	IBA001.A0101.unmapped	IBA002.A0101.unmapped	JAE006.A0101.unmapped	JAE007.A0101.unmapped	JAE008.A0101.unmapped	JAE009.A0101.unmapped	JAE010.A0101.unmapped	JAE012.A0101.unmapped	JAE013.A0101.unmapped	JAE014.A0101.unmapped	JAE015.A0101.unmapped	JAE016.A0101.unmapped	KNP001.A0102.unmapped	KNP003.A0102.unmapped	KNP004.A0102.unmapped	KNP005.A0102.unmapped	KNP006.A0102.unmapped	KNP007.A0102.unmapped	KNP009.A0102.unmapped	LIS001.A0101.unmapped	LIS003.A0101.unmapped	LOB001.A0101.unmapped	MOA001.A0101.unmapped	MOA001.A0102.unmapped	MTK001.A0101.unmapped	MTM003.A0101.unmapped	MTM010.A0101.unmapped	MTM011.A0101.unmapped	MTM012.A0101.unmapped	MTM013.A0101.unmapped	MTS001.A0101.unmapped	MTS002.A0101.unmapped	MTS003.A0101.unmapped	OAK001.A0101.unmapped	OAK002.A0101.unmapped	OAK003.A0101.unmapped	OAK004.A0101.unmapped	OAK005.A0101.unmapped	OFN001.A0101.unmapped	OME002.A0101.unmapped	OME003.A0101.unmapped	OME005.A0101.unmapped	OME007.A0101.unmapped	OME009.A0101.unmapped	PES001.B0101.unmapped	PLV001.A0101.unmapped	PYK001.A0101.unmapped	PYK002.A0101.unmapped	PYK003.A0101.unmapped	PYK004.A0101.unmapped	PYK005.A0101.unmapped	RIG001.A0101.unmapped	SPM001.A0101.unmapped	SPM002.A0101.unmapped	TAF008.B0101.unmapped	TAF016.B0101.unmapped	TAF017.A0101.unmapped	TAF017.C0101.unmapped	TAF017.E0101.unmapped	TAF018.A0101.unmapped	TAF018.B0101.unmapped	VLC001.A0101.unmapped	VLC002.A0101.unmapped	VLC003.A0101.unmapped	VLC004.A0101.unmapped	VLC005.A0101.unmapped	VLC008.A0101.unmapped	VLC009.A0101.unmapped	VLC010.A0101.unmapped	VLD001.A0101.unmapped	WAL001.A0101.unmapped	ZAF001.A0101.unmapped
"Geothrix"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	273.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Thermoanaerobaculum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Luteitalea"	1735.0	0.0	0.0	0.0	0.0	385.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	679.0	480.0	1976.0	0.0	0.0	0.0	0.0	559.0	0.0	0.0	0.0	446.0	0.0	0.0	0.0	0.0	0.0	835.0	0.0	2797.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	321.0	0.0	435.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1533.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	463.0	1324.0	0.0	53.0	460.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	473.0
"Thermocrinis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Caldithrix"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Coprothermobacter"	0.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Endomicrobium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	687.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1062.0	0.0	0.0	0.0	883.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Rhodothermus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	208.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	462.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	0.0	129.0	2.0	124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Salinibacter"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	204.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	399.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides"	391.0	9164.0	2852.0	76.0	0.0	1244.0	2192.0	3704.0	3930.0	11581.0	10965.0	11612.0	11100.0	3464.0	13930.0	61.0	0.0	9272.0	14989.0	10456.0	2709.0	1010.0	770.0	1699.0	548.0	145.0	662.0	585.0	1450.0	1618.0	1146.0	4588.0	5604.0	361.0	3165.0	0.0	0.0	5583.0	0.0	11405.0	0.0	0.0	121.0	0.0	0.0	0.0	0.0	6387.0	60813.0	10503.0	5304.0	0.0	52256.0	33203.0	115658.0	17892.0	10354.0	238.0	12174.0	16628.0	15778.0	11784.0	2521.0	2250.0	1059.0	1002.0	1282.0	2527.0	29876.0	3840.0	312.0	0.0	879.0	2808.0	0.0	1277.0	416.0	7467.0	1667.0	3867.0	1847.0	836.0	10130.0	4194.0	597.0	390.0	486.0	0.0	1677.0	1744.0	3835.0	5218.0	2070.0	3055.0	2916.0	490.0	131.0	3185.0	125.0	340.0	1029.0	3.0	274.0	2768.0	77745.0	4564.0	7850.0	7156.0	6001.0	9548.0	7558.0	2755.0	350.0	0.0	1103.0
"Phocaeicola"	0.0	228275.0	48425.0	0.0	0.0	2493.0	43092.0	46823.0	92575.0	178012.0	268220.0	260252.0	39149.0	27474.0	80277.0	0.0	0.0	403388.0	488065.0	276600.0	65579.0	3755.0	1829.0	58788.0	2665.0	1207.0	11830.0	0.0	5090.0	4526.0	7176.0	65578.0	20845.0	0.0	808.0	0.0	0.0	34371.0	0.0	177093.0	0.0	0.0	0.0	0.0	0.0	93888.0	23996.0	214331.0	406851.0	392714.0	186121.0	75117.0	2121110.0	2758155.0	1535415.0	519670.0	260445.0	6323.0	106295.0	454294.0	486607.0	166413.0	21170.0	15662.0	0.0	10828.0	14461.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8976.0	0.0	5114.0	46945.0	0.0	5855.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7308.0	41940.0	112490.0	20921.0	39625.0	0.0	0.0	0.0	6386.0	0.0	2327.0	6818.0	0.0	1943.0	12532.0	802959.0	163658.0	230091.0	302303.0	314414.0	229846.0	46209.0	0.0	0.0	0.0	0.0
"Dysgonomonas"	0.0	0.0	0.0	157.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1171.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	480.0	0.0	361.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
