Species
[Actinopolyspora] iraqiensis
Arthrobacter sp. ov407
Arthrobacter sp. Soil736
Arthrobacter sp. Soil763
Arthrobacter sp. UCD-GKA
Arthrobacter sp. YC-RL1
Asaccharospora irregularis
Asanoa hainanensis
Atopobium fossor
Atopobium minutum
Atopobium sp. HMSC064B08
Aurantimonas manganoxydans
Auraticoccus monumenti
Aureimonas altamirensis
Aureimonas jatrophae
Aureimonas sp. AU20
Aureimonas sp. Leaf460
Avibacterium endocarditidis
Azoarcus communis
Azoarcus sp. CIB
Azoarcus sp. DN11
Azoarcus sp. KH32C
Azohydromonas australica
Azonexus fungiphilus
Azonexus hydrophilus
Azorhizobium caulinodans
Azorhizobium doebereinerae
Azospira oryzae
Azospirillum brasilense
Azospirillum halopraeferens
Azospirillum lipoferum
Azospirillum ramasamyi
Azospirillum sp. B4
Azospirillum sp. TSO35-2
Azospirillum thiophilum
Azovibrio restrictus
Bacillus anthracis
Bacillus badius
Bacillus cereus
Bacillus paralicheniformis
Bacillus pumilus
Bacillus sp. FJAT-22090
Bacillus sp. OxB-1
bacterium
Bacteroidales bacterium WCE2004
Bacteroidales bacterium WCE2008
Bacteroides fragilis
Bacteroides ovatus
Basfia succiniciproducens
Belnapia moabensis
Belnapia rosea
Belnapia sp. F-4-1
Bergeyella zoohelcum
Betaproteobacteria bacterium GR16-43
Beutenbergia cavernae
Bhargavaea ginsengi
Bibersteinia trehalosi
Blastochloris viridis
Blastococcus endophyticus
Blastococcus saxobsidens
Blastococcus sp. DSM 46786
Blastococcus sp. DSM 46838
Blastococcus sp. URHD0036
Blastopirellula marina
Bordetella bronchialis
Bordetella petrii
Bordetella trematum
Bosea lathyri
Bosea psychrotolerans
Bosea sp. 1131
Bosea sp. 117
Bosea sp. AS-1
Bosea sp. Leaf344
Bosea sp. OK403
Bosea sp. PAMC 26642
Bosea sp. RAC05
Bosea sp. Root381
Bosea sp. Root483D1
Bosea sp. Root670
Bosea sp. UNC402CLCol
Bosea vaviloviae
Brachybacterium alimentarium
Brachybacterium ginsengisoli
Brachybacterium phenoliresistens
Brachybacterium saurashtrense
Brachybacterium sp. P6-10-X1
Bradyrhizobiaceae bacterium SG-6C
Bradyrhizobium amphicarpaeae
Bradyrhizobium arachidis
