Species
Azonexus fungiphilus
Azorhizobium caulinodans
Azorhizobium doebereinerae
Azospirillum brasilense
Azospirillum halopraeferens
Azospirillum lipoferum
Azospirillum ramasamyi
Azospirillum sp. B4
Azospirillum sp. B510
Azospirillum sp. TSO35-2
Azospirillum thiophilum
Azotobacter beijerinckii
Azotobacter vinelandii
Bacillus paralicheniformis
Bacillus subtilis
Bacillus thuringiensis
Bacteriovorax stolpii
bacterium
Bacteroides togonis
Belnapia moabensis
Belnapia rosea
Belnapia sp. F-4-1
beta proteobacterium CB
Betaproteobacteria bacterium GR16-43
Beutenbergia cavernae
Bifidobacterium breve
Bifidobacterium pseudocatenulatum
Blastochloris viridis
Blastococcus endophyticus
Blastococcus saxobsidens
Blastococcus sp. DSM 46786
Blastococcus sp. DSM 46838
Blastococcus sp. URHD0036
Blastomonas natatoria
Blastomonas sp. RAC04
Blastopirellula marina
Bordetella bronchialis
Bordetella genomosp. 13
Bordetella petrii
Bordetella sp. H567
Bosea lathyri
Bosea psychrotolerans
Bosea sp. 1131
Bosea sp. 117
Bosea sp. AS-1
Bosea sp. Leaf344
Bosea sp. OK403
Bosea sp. PAMC 26642
Bosea sp. RAC05
Bosea sp. Root381
Bosea sp. Root483D1
Bosea sp. Root670
Bosea sp. UNC402CLCol
Bosea vaviloviae
Brachybacterium alimentarium
Brachybacterium avium
Brachybacterium faecium
Brachybacterium ginsengisoli
Brachybacterium muris
Brachybacterium phenoliresistens
Brachybacterium saurashtrense
Brachybacterium sp. HMSC06H03
Brachybacterium sp. P6-10-X1
Brachyspira hyodysenteriae
Bradyrhizobiaceae bacterium SG-6C
Bradyrhizobium amphicarpaeae
Bradyrhizobium arachidis
Bradyrhizobium diazoefficiens
Bradyrhizobium elkanii
Bradyrhizobium erythrophlei
Bradyrhizobium forestalis
Bradyrhizobium icense
Bradyrhizobium japonicum
Bradyrhizobium jicamae
Bradyrhizobium lablabi
Bradyrhizobium macuxiense
Bradyrhizobium manausense
Bradyrhizobium murdochi
Bradyrhizobium neotropicale
Bradyrhizobium nitroreducens
Bradyrhizobium oligotrophicum
Bradyrhizobium ottawaense
Bradyrhizobium pachyrhizi
Bradyrhizobium sacchari
Bradyrhizobium sp.
Bradyrhizobium sp. Ai1a-2
Bradyrhizobium sp. AT1
Bradyrhizobium sp. BTAi1
Bradyrhizobium sp. CCGE-LA001
Bradyrhizobium sp. cf659
Bradyrhizobium sp. Cp5.3
Bradyrhizobium sp. DOA1
Bradyrhizobium sp. DOA9
Bradyrhizobium sp. Ec3.3
Bradyrhizobium sp. Gha
Bradyrhizobium sp. Ghvi
Bradyrhizobium sp. Leaf396
Bradyrhizobium sp. LTSP849
Bradyrhizobium sp. LTSP857
Bradyrhizobium sp. LTSP885
Bradyrhizobium sp. LTSPM299
Bradyrhizobium sp. ORS 278
Bradyrhizobium sp. ORS 285
Bradyrhizobium sp. ORS 3257
Bradyrhizobium sp. ORS 375
Bradyrhizobium sp. R5
Bradyrhizobium sp. Rc2d
Bradyrhizobium sp. Rc3b
Bradyrhizobium sp. S23321
Bradyrhizobium sp. SK17
Bradyrhizobium sp. STM 3843
Bradyrhizobium sp. th.b2
Bradyrhizobium sp. URHA0002
Bradyrhizobium sp. URHA0013
Bradyrhizobium sp. URHD0069
Bradyrhizobium sp. WSM1253
Bradyrhizobium sp. WSM1417
