#Datasets	ERR5729614.unmapped	ERR5729615.unmapped	ERR5729616.unmapped	ERR5729617.unmapped	ERR5729618.unmapped	ERR5729619.unmapped	ERR5729620.unmapped	ERR5729621.unmapped	ERR5729622.unmapped	ERR5729623.unmapped	ERR5729624.unmapped	ERR5729625.unmapped	ERR5729626.unmapped	ERR5729627.unmapped	ERR5729628.unmapped	ERR5729629.unmapped	ERR5729630.unmapped	ERR5729631.unmapped	ERR5729632.unmapped	ERR5729633.unmapped	ERR5729634.unmapped	ERR5729635.unmapped	ERR5729636.unmapped	ERR5729637.unmapped	ERR5729638.unmapped	ERR5729639.unmapped	ERR5729640.unmapped	ERR5729641.unmapped	ERR5729642.unmapped	ERR5729643.unmapped	ERR5729644.unmapped	ERR5729645.unmapped	ERR5729646.unmapped	ERR5729647.unmapped	ERR5729648.unmapped	ERR5729649.unmapped	ERR5729650.unmapped	ERR5729651.unmapped	ERR5729652.unmapped	ERR5729653.unmapped	ERR5729654.unmapped	ERR5729655.unmapped	ERR5729656.unmapped	ERR5729657.unmapped	ERR5729658.unmapped	ERR5729659.unmapped	ERR5729660.unmapped	ERR5729661.unmapped
157687	0.0	1314.0	0.0	0.0	1376.0	0.0	0.0	0.0	0.0	0.0	0.0	4075.0	0.0	0.0	4168.0	1733.0	0.0	2021.0	2520.0	3180.0	1540.0	0.0	2598.0	0.0	0.0	1458.0	6649.0	3537.0	2155.0	4636.0	0.0	2208.0	0.0	2157.0	3243.0	5766.0	3248.0	0.0	0.0	1362.0	0.0	0.0	0.0	2169.0	6.0	0.0	0.0	0.0
712357	10009.0	30957.0	29029.0	45400.0	70588.0	157583.0	26476.0	23604.0	14515.0	61148.0	630.0	36406.0	51191.0	0.0	191556.0	116526.0	540.0	95217.0	124865.0	151453.0	19011.0	0.0	0.0	10282.0	1321.0	16419.0	1191.0	11816.0	70713.0	7191.0	0.0	42221.0	0.0	33610.0	87696.0	162177.0	27176.0	60199.0	0.0	2186.0	0.0	1380.0	0.0	26795.0	1.0	0.0	0.0	1.0
712359	1994.0	8246.0	4412.0	5907.0	12494.0	24986.0	5916.0	3804.0	2945.0	10936.0	0.0	5688.0	8057.0	0.0	37558.0	20669.0	0.0	15374.0	21784.0	21463.0	4149.0	0.0	0.0	1873.0	0.0	4478.0	0.0	3316.0	7415.0	2272.0	0.0	3915.0	0.0	6303.0	22927.0	15302.0	3485.0	8694.0	0.0	0.0	0.0	0.0	0.0	5098.0	0.0	0.0	0.0	0.0
671213	0.0	1341.0	0.0	5289.0	1587.0	2074.0	2143.0	0.0	0.0	0.0	0.0	7293.0	0.0	0.0	4480.0	2766.0	0.0	6013.0	3857.0	5683.0	2248.0	0.0	1428.0	0.0	0.0	2406.0	4448.0	3482.0	3744.0	3868.0	0.0	1944.0	0.0	2695.0	4667.0	4279.0	3103.0	0.0	0.0	0.0	0.0	0.0	0.0	1904.0	0.0	0.0	0.0	0.0
712368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1805.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3051.0	0.0	0.0	0.0	0.0	0.0	1311.0	6528.0	1151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1785996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1493.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1227267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2661.0	0.0	0.0	2862.0	1261.0	0.0	1593.0	1792.0	1905.0	0.0	0.0	1261.0	0.0	0.0	0.0	3400.0	2283.0	1561.0	2614.0	0.0	1360.0	0.0	1293.0	3046.0	2996.0	1337.0	0.0	0.0	0.0	0.0	0.0	0.0	1836.0	0.0	0.0	0.0	1.0
157692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2871.0	0.0	0.0	0.0	0.0	13320.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3617.0	1.0	0.0	0.0	0.0
187101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
34105	3279.0	4273.0	1655.0	2519.0	0.0	0.0	2915.0	2875.0	1702.0	1647.0	0.0	2208.0	3650.0	3683.0	1958.0	2239.0	1836.0	2942.0	7772.0	0.0	2777.0	0.0	1323.0	2292.0	1606.0	1273.0	1312.0	1425.0	0.0	1602.0	4493.0	2276.0	2301.0	3080.0	1473.0	3438.0	1323.0	0.0	2496.0	4528.0	1139.0	3426.0	4294.0	0.0	2.0	8.0	8.0	1.0
