Species
Blastococcus sp. DSM 46786
Blastococcus sp. DSM 46838
Blastococcus sp. URHD0036
Blastomonas natatoria
Blastopirellula marina
Bordetella ansorpii
Bordetella bronchialis
Bordetella bronchiseptica
Bordetella flabilis
Bordetella genomosp. 13
Bordetella genomosp. 6
Bordetella genomosp. 8
Bordetella genomosp. 9
Bordetella hinzii
Bordetella holmesii
Bordetella petrii
Bordetella pseudohinzii
Bordetella sp. FB-8
Bordetella sp. H567
Bordetella sp. N
Bordetella trematum
Bosea lathyri
Bosea sp. 1131
Bosea sp. 117
Bosea sp. AS-1
Bosea sp. Leaf344
Bosea sp. OK403
Bosea sp. PAMC 26642
Bosea sp. RAC05
Bosea sp. Root381
Bosea sp. Root483D1
Bosea sp. Root670
Bosea sp. UNC402CLCol
Bosea vaviloviae
Brachybacterium alimentarium
Bradymonas sediminis
Bradyrhizobiaceae bacterium SG-6C
Bradyrhizobium amphicarpaeae
Bradyrhizobium arachidis
Bradyrhizobium diazoefficiens
Bradyrhizobium elkanii
Bradyrhizobium erythrophlei
Bradyrhizobium forestalis
Bradyrhizobium icense
Bradyrhizobium japonicum
Bradyrhizobium jicamae
Bradyrhizobium lablabi
Bradyrhizobium macuxiense
Bradyrhizobium manausense
Bradyrhizobium neotropicale
Bradyrhizobium nitroreducens
Bradyrhizobium oligotrophicum
Bradyrhizobium ottawaense
Bradyrhizobium pachyrhizi
Bradyrhizobium sacchari
Bradyrhizobium sp.
Bradyrhizobium sp. Ai1a-2
Bradyrhizobium sp. AT1
Bradyrhizobium sp. BTAi1
Bradyrhizobium sp. CCGE-LA001
Bradyrhizobium sp. cf659
Bradyrhizobium sp. Cp5.3
Bradyrhizobium sp. DOA1
Bradyrhizobium sp. DOA9
Bradyrhizobium sp. Ec3.3
Bradyrhizobium sp. Gha
Bradyrhizobium sp. Ghvi
Bradyrhizobium sp. LTSP857
Bradyrhizobium sp. LTSP885
Bradyrhizobium sp. LTSPM299
Bradyrhizobium sp. ORS 278
Bradyrhizobium sp. ORS 285
Bradyrhizobium sp. ORS 3257
Bradyrhizobium sp. ORS 375
Bradyrhizobium sp. R5
Bradyrhizobium sp. Rc2d
Bradyrhizobium sp. S23321
Bradyrhizobium sp. SK17
Bradyrhizobium sp. STM 3843
Bradyrhizobium sp. th.b2
Bradyrhizobium sp. URHA0002
Bradyrhizobium sp. URHA0013
Bradyrhizobium sp. URHD0069
Bradyrhizobium sp. WSM1743
Bradyrhizobium sp. WSM3983
Bradyrhizobium sp. WSM4349
Bradyrhizobium symbiodeficiens
Bradyrhizobium valentinum
Bradyrhizobium yuanmingense
Brevibacillus thermoruber
Brevundimonas bacteroides
Brevundimonas diminuta
Brevundimonas naejangsanensis
Brevundimonas sp. BAL3
Brevundimonas sp. DS20
Brevundimonas sp. LM2
Brevundimonas sp. Root1423
Brevundimonas subvibrioides
Burkholderia ambifaria
Burkholderia anthina
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia contaminans
Burkholderia gladioli
Burkholderia glumae
Burkholderia insecticola
Burkholderia lata
Burkholderia latens
Burkholderia metallica
Burkholderia multivorans
Burkholderia oklahomensis
Burkholderia plantarii
Burkholderia pseudomallei
Burkholderia pseudomultivorans
Burkholderia pyrrocinia
Burkholderia sp. BDU6
Burkholderia sp. BDU8
Burkholderia sp. Bp7605
Burkholderia sp. IDO3
Burkholderia sp. JS23
Burkholderia sp. KK1
Burkholderia sp. OLGA172
Burkholderia sp. RPE67
Burkholderia sp. UYPR1.413
Burkholderia sp. WSM2232
Burkholderia sp. yr520
Burkholderia stabilis
Burkholderia stagnalis
Burkholderia territorii
Burkholderia thailandensis
Burkholderia ubonensis
Burkholderia vietnamiensis
Burkholderiaceae bacterium 16
Burkholderiales bacterium
Burkholderiales bacterium GJ-E10
Burkholderiales bacterium JOSHI_001
Caballeronia cordobensis
Caenimonas sp. SL110
Caenispirillum bisanense
Caldilinea aerophila
Caldimonas manganoxidans
Calidithermus chliarophilus
Calidithermus timidus
Candidatus Accumulibacter phosphatis
Candidatus Babela massiliensis
Candidatus Bipolaricaulis anaerobius
Candidatus Blastococcus massiliensis
Candidatus Competibacter denitrificans
Candidatus Coxiella mudrowiae
Candidatus Dactylopiibacterium carminicum
Candidatus Desulforudis audaxviator
Candidatus Filomicrobium marinum
Candidatus Koribacter versatilis
Candidatus Microthrix parvicella
Candidatus Nitrosocaldus islandicus
Candidatus Nitrosomarinus catalina
Candidatus Nitrosopelagicus brevis
Candidatus Nitrosopumilus sediminis
Candidatus Nitrosotenuis aquarius
Candidatus Nitrosotenuis cloacae
Candidatus Nitrospira inopinata
Candidatus Promineofilum breve
Candidatus Rhodobacter lobularis
Candidatus Solibacter usitatus
Candidatus Thiodiazotropha endoloripes
Candidatus Thiodictyon syntrophicum
Candidimonas bauzanensis
Castellaniella defragrans
Catalinimonas alkaloidigena
Catelliglobosispora koreensis
Catenulispora acidiphila
Caulobacter flavus
Caulobacter henricii
Caulobacter mirabilis
Caulobacter segnis
Caulobacter sp. FWC26
Caulobacter sp. K31
Caulobacter sp. Root1472
Caulobacter sp. Root487D2Y
Caulobacter sp. Root655
Caulobacter sp. UNC358MFTsu5.1
Caulobacter sp. URHA0033
Caulobacter vibrioides
Caulobacteraceae bacterium OTSz_A_272
Celeribacter indicus
Cellulomonas fimi
Cellulomonas gilvus
Cellulomonas massiliensis
Cellulomonas sp. A375-1
Cellulomonas sp. KH9
Cellulomonas sp. Leaf395
Cellulosimicrobium cellulans
Cellvibrio mixtus
Cereibacter changlensis
Chelativorans sp. BNC1
Chelativorans sp. J32
Chelatococcus asaccharovorans
Chelatococcus sambhunathii
Chelatococcus sp. CO-6
Chitinilyticum litopenaei
Chitinimonas koreensis
Chitinimonas taiwanensis
Chitiniphilus shinanonensis
Chitinophaga arvensicola
Chitinophaga barathri
Chitinophaga eiseniae
Chitinophaga ginsengisoli
Chitinophaga niabensis
Chitinophaga rupis
Chitinophaga sp. CF118
Chitinophaga sp. YR573
Chitinophaga terrae Kim and Jung 2007
Chitinophagaceae bacterium IBVUCB2
Chloracidobacterium thermophilum
Chlorobaculum limnaeum
Chlorobaculum tepidum
Chloroflexus islandicus
Chondromyces crocatus
Christensenella sp. Marseille-P3954
Chromatiaceae bacterium 2141T.STBD.0c.01a
Chromobacterium sp. ATCC 53434
Chromobacterium subtsugae
Chromobacterium vaccinii
Chromobacterium violaceum
Chromohalobacter salexigens
Chryseolinea serpens
Chthoniobacter flavus
Chthonomonas calidirosea
Ciceribacter lividus
Citreimonas salinaria
Citrobacter sp. MGH109
Clavibacter michiganensis
Cloacibacterium normanense
Clostridiales bacterium Marseille-P2846
Clostridium tetani
Cnuella takakiae
Cobetia marina
Cohnella sp. 6021052837
Cohnella thermotolerans
Collimonas arenae
Collimonas fungivorans
Collimonas pratensis
Collimonas sp. OK242
Collimonas sp. OK307
Comamonadaceae bacterium URHA0028
Comamonas composti
Comamonas serinivorans
Comamonas testosteroni
Conexibacter woesei
Corallococcus coralloides
Corallococcus macrosporus
Corynebacterium diphtheriae
Coxiella burnetii
Cronobacter dublinensis
Cronobacter malonaticus
Cronobacter turicensis
Crossiella equi
Cryptosporangium arvum
Cryptosporangium aurantiacum
Cupriavidus alkaliphilus
Cupriavidus basilensis
Cupriavidus gilardii
Cupriavidus metallidurans
Cupriavidus nantongensis
Cupriavidus necator
Cupriavidus oxalaticus
Cupriavidus pauculus
Cupriavidus pinatubonensis
Cupriavidus plantarum
Cupriavidus sp. amp6
Cupriavidus sp. SK-3
Cupriavidus sp. SK-4
Cupriavidus sp. YR651
Cupriavidus taiwanensis
Curvibacter gracilis
Curvibacter sp. AEP1-3
Curvibacter sp. PAE-UM
Cyanobium gracile
Cyanobium sp. NIES-981
Cyanobium sp. PCC 7001
Cystobacter fuscus
Cytophaga hutchinsonii
