Library_ID	CLR	Counts	log_counts
MID101.A0101	3.21613881874759	42496	4.62834805335191
MID102.A0101	3.13370176149945	35378	4.54873327759815
MOA001.A0101	-6.00425547381588	1	0
MOA001.A0102	-6.0462551949121	1	0
NMU115.A0101	0.194285448166565	695	2.84198480459011
NMU116.A0101	-1.02631130194946	122	2.08635983067475
NMU117.A0101	-0.551908634012677	533	2.72672720902657
NMU118.A0101	-6.42378954640974	1	0
NMU119.A0101	-6.14303949478116	1	0
NMU120.A0101	-6.61818230958365	1	0
NMU121.A0101	-6.41949259946116	1	0
NMU122.A0101	0.665544057883316	1277	3.10619089726342
NMU123.A0101	1.42971268759566	2563	3.40874860618424
NMU124.A0101	2.14711229330425	5531	3.74280365846917
NMU125.A0101	0.582180450915613	1577	3.1978316933289
NMU126.A0101	0.402144050291994	789	2.89707700320942
NMU127.A0101	1.2103332970963	1496	3.17493159352844
NMU128.A0101	-6.41076141465599	1	0
NMU129.A0101	1.45667847597844	1933	3.28623185402855
NMU130.A0101	1.4143793840457	1782	3.25090769970086
OAK001.A0101	-5.89496539468388	1	0
OAK002.A0101	2.64849465953581	11968	4.07802158052039
OAK003.A0101	-6.34477058882071	1	0
OAK004.A0101	4.49390356064576	73149	4.86420839338067
OAK005.A0101	0.133680924819807	887	2.94792361983173
OFN001.A0101	2.28746498104366	7111	3.85193067864027
PAH001.A0102	-6.05044066789051	1	0
PAH002.A0101	0.39141737180581	1073	3.03059972196595
PAH003.A0101	5.41442948594728	184323	5.26557953028068
PES001.B0101	0.597822550609894	1376	3.13861843389949
PLV001.A0101	-6.84335083186081	1	0
PYK001.A0101	-6.30959689536334	1	0
PYK002.A0101	0.318597268744901	1095	3.03941411917614
PYK003.A0101	-6.42523103100755	1	0
PYK004.A0101	2.69279079107038	15243	4.18307044962996
PYK005.A0101	-6.3377469923116	1	0
RAP001.A0101	5.00240911213496	215763	5.33397697198019
RAP002.A0101	-0.0094511372299273	1512	3.17955179116519
RIG001.A0101	0.353929275063543	1433	3.15624619039734
SIG031.A0101	-6.30805573806703	1	0
SIG032.A0101	-6.33670533501128	1	0
SIG033.A0101	-6.29668299118606	1	0
SIG035.A0101	3.86778583744431	24362	4.3867129388586
SIG037.A0101	2.52961983632479	6515	3.8139144200486
SIG047.A0101	3.96909866717988	26788	4.42794029026414
SRR11176627	-6.42922764360026	1	0
SRR11176628	4.08685332070667	48056	4.6817476189393
SRR11176629	-6.27529931214572	1	0
SRR11176630	-6.30776250797343	1	0
SRR11176632	-6.17071162086883	1	0
SRR11176633	2.23788558059585	2849	3.45469244923948
SRR11176634	2.60016934312313	6493	3.81244540287276
SRR11176635	0.967457582907319	1614	3.20790353038605
SRR11176636	-6.10097499720059	1	0
SRR11176638	-6.26089033090163	1	0
SRR11176639	2.86523984151997	15865	4.20044007643643
SRR11176640	2.43460677632347	11843	4.07346172927983
SRR11176641	-6.46103660632728	1	0
SRR11176642	4.07223000557129	54418	4.7357425763095
SRR6877282	5.15422896336403	222757	5.34783136035698
SRR6877284	-6.98105317232417	1	0
SRR6877286	1.55698488126442	5241	3.71941415970259
SRR6877288	0.647987812994129	1803	3.2559957267224
SRR6877290	4.35599037732464	92726	4.96720152565813
SRR6877292	-7.28897358382241	1	0
SRR6877310	4.81768295543357	96456	4.98432924790364
SRR6877312	4.76698258358571	111358	5.04672142236739
SRR6877323	-0.512515556767236	1092	3.03822263836872
SRR6877324	5.80210619703355	255306	5.40706102137014
SRR6877326	-0.401554357086585	531	2.72509452108147
SRR6877393	5.262419336384	139531	5.14467070677275
TAF008.B0101	3.96381891345382	36307	4.55999036520945
TAF017.C0101	0.933526741530629	2439	3.38721180031373
TAF018.A0101	3.20042334536504	13967	4.14510313314638
TAF018.B0101	5.53460194241321	200703	5.30255386413526
TAP001.B0101	-6.11038651375414	1	0
TAP003.B0101	-6.25480532977125	1	0
TON003.B0101	-6.07389462783511	1	0
TON004.B0101	-6.0746804610206	1	0
TON005.B0101	-5.99927439881642	1	0
TON006.B0101	0.0864590514573562	437	2.64048143697042
TON007.B0101	-5.94185598772563	1	0
VLD001.A0101	-6.16621916620563	1	0
ERR5729638		35953	4.55573513474912
ERR5729643		149007	5.17320667102949
