Library_ID	Mapped	Non_mapped	Assigned	Non_Assigned
EBO009.A0101	1034053	2622240	1032254	1799
ECO002.B0101	4269664	8534217	4265005	4659
ECO002.C0101	3447735	8289451	3443808	3927
ECO004.B0101	3455505	7170206	3439969	15536
ECO004.C0101	2428414	7219685	2425335	3079
ECO006.B0101	1107944	9320122	1097846	10098
ECO010.B0101	2673850	9503141	2670680	3170
EMN001.A0101	5368468	7161698	5359118	9350
ESA003.A0101	5915659	4177075	5912516	3143
ESA004.A0101	3682534	4114664	3678907	3627
ESA006.A0101	5178659	6014922	5172810	5849
ESA007.A0101	4727159	5120586	4721221	5938
ESA008.A0101	4329295	4751954	4327092	2203
FDM001.A0101	2034551	2842069	2030895	3656
FUM001.A0101	4460761	5593869	4454824	5937
FUM002.A0101	6823733	10272804	6815102	8631
FUM003.A0101	5860641	9708189	5780780	79861
GDC002.A0101	3614650	7639668	3591606	23044
GDC004.A0101	4306749	7947890	4302864	3885
GDC005.A0101	3591477	6144694	3582792	8685
GDN001.A0101	5016430	10015550	4991703	24727
GDN001.B0101	5271856	9800917	5252058	19798
GUE001.A0101	818058	9921765	808874	9184
IBA001.A0101	4056400	8900757	4014123	42277
IBA002.A0101	12949553	6029650	12918503	31050
JAE006.A0101	75843888	11841269	75838220	5668
JAE007.A0101	58702927	7572325	58699900	3027
JAE008.A0101	48390489	16688323	48376686	13803
JAE009.A0101	49243976	16673931	49226461	17515
JAE010.A0101	50558694	9336391	50553892	4802
JAE012.A0101	51227245	11348000	51219270	7975
JAE013.A0101	33753109	5105880	33750803	2306
JAE014.A0101	42887673	25555199	42866697	20976
JAE015.A0101	38251294	19107707	38243265	8029
JAE016.A0101	58259330	36109825	58248254	11076
KNP001.A0102	4734102	11469422	4728952	5150
KNP003.A0102	3450937	6923128	3445782	5155
KNP004.A0102	61166	122989	61085	81
KNP005.A0102	2954440	8106961	2950872	3568
KNP006.A0102	3563908	7569985	3560161	3747
KNP007.A0102	3019737	6118688	3015893	3844
KNP009.A0102	3747237	7565132	3744079	3158
LIS001.A0101	5245751	5341669	5241514	4237
LIS003.A0101	5543549	4824728	5541690	1859
LOB001.A0101	2958402	5799211	2900377	58025
MOA001.A0101	2665153	4055105	2664272	881
MOA001.A0102	3352426	5079470	3351231	1195
MTK001.A0101	3497426	4757366	3494396	3030
MTM003.A0101	20201805	14259894	20006093	195712
MTM010.A0101	3102118	5998814	3098386	3732
MTM011.A0101	1432961	3237596	1430720	2241
MTM012.A0101	6322040	4246409	6311774	10266
MTM013.A0101	3448542	3626938	3440153	8389
MTS001.A0101	2862800	3655387	2857078	5722
MTS002.A0101	2519359	3928694	2513480	5879
MTS003.A0101	4296906	3220938	4278926	17980
OAK001.A0101	2261657	8838453	2256180	5477
OAK002.A0101	6899169	7058631	6894655	4514
OAK003.A0101	6809200	10329552	6804481	4719
OAK004.A0101	7294482	6113827	7290751	3731
OAK005.A0101	8740796	8145016	8736870	3926
OFN001.A0101	5416451	6937942	5407848	8603
OME002.A0101	4981339	8984523	4967947	13392
OME003.A0101	4006705	9909015	3998651	8054
OME005.A0101	2740607	6712896	2734128	6479
OME007.A0101	3707317	7763638	3700656	6661
OME009.A0101	2037535	5372373	2026871	10664
PES001.B0101	6446971	5423824	6433358	13613
PLV001.A0101	3447943	7934445	3443386	4557
PYK001.A0101	4435663	10772839	4422189	13474
PYK002.A0101	8165856	9006471	8160585	5271
PYK003.A0101	5825700	8869528	5818862	6838
PYK004.A0101	9938292	6724525	9932713	5579
PYK005.A0101	8472500	12948425	8462140	10360
RIG001.A0101	8719903	17236982	8703734	16169
SPM001.A0101	1052699	1246514	1047683	5016
SPM002.A0101	842475	505648	841043	1432
TAF008.B0101	5384797	6065718	5381938	2859
