Master ID	Country	shotgun_pct_endo
I14347	United Kingdom	0.671942497
I14348	United Kingdom	0.665180719
I14351	United Kingdom	0.196439924
I14352	United Kingdom	0.107350378
I14353	United Kingdom	0.691352157
I14358	United Kingdom	0.420288433
I14359	United Kingdom	0.010930708
I14360	United Kingdom	0.284365384
I14377	United Kingdom	0.256795724
I14378	United Kingdom	0.212799888
I14379	United Kingdom	0.007252127
I14379	United Kingdom	0.00794105
I14379	United Kingdom	0.007704104
I14380	United Kingdom	0.457584242
I14381	United Kingdom	0.149478648
I14543	United Kingdom	0.136611365
I14549	United Kingdom	0.137855617
I14550	United Kingdom	0.427389754
I14551	United Kingdom	0.330697127
I14552	United Kingdom	0.334553268
I14553	United Kingdom	0.280489299
I14742	United Kingdom	0.003272487
I14742	United Kingdom	0.010341556
I14742	United Kingdom	0.007695159
I14743	United Kingdom	0.314193585
I14745	United Kingdom	0.014271579
I14745	United Kingdom	0.019368502
I14747	United Kingdom	0.036985741
I14800	United Kingdom	0.609039388
I14801	United Kingdom	0.464282439
I14802	United Kingdom	0.200011073
I14803	United Kingdom	0.400919118
I14804	United Kingdom	0.652210062
I14806	United Kingdom	0.003531936
I14807	United Kingdom	0.249980363
I14808	United Kingdom	0.136891662
I14809	United Kingdom	0.611050803
I14837	United Kingdom	0.022362957
I14857	United Kingdom	0.048846922
I14858	United Kingdom	0.364322285
I14859	United Kingdom	0.208754974
I14860	United Kingdom	0.277166209
I14861	United Kingdom	0.422488788
I14862	United Kingdom	0.518820102
I14863	United Kingdom	0.478454352
I14864	United Kingdom	0.322220181
I14865	United Kingdom	0.024823372
I14866	United Kingdom	0.105192489
I16380	United Kingdom	0.208089985
I16386	United Kingdom	0.124059699
I16387	United Kingdom	0.012158733
I16388	United Kingdom	0.305152328
I16390	United Kingdom	0.048585196
I16394	United Kingdom	0.277240257
I16395	United Kingdom	0.071300876
I16396	United Kingdom	0.173435272
I16400	United Kingdom	0.415481541
I16403	United Kingdom	0.241116311
I16405	United Kingdom	0.063790333
I16405	United Kingdom	0.030083479
I16405	United Kingdom	0.029008697
I16405	United Kingdom	0.026748103
I16410	United Kingdom	0.043565532
I16412	United Kingdom	0.060011448
I16413	United Kingdom	0.206626923
I16416	United Kingdom	0.250683502
I16418	United Kingdom	0.187660236
I16422	United Kingdom	0.362687017
I16424	United Kingdom	0.037657193
I16439	United Kingdom	0.236503326
I16440	United Kingdom	0.11404117
I16441	United Kingdom	0.237762238
I16442	United Kingdom	0.070788418
I16448	United Kingdom	0.005709155
I16448	United Kingdom	0.006524537
I16448	United Kingdom	0.006136501
I16448	United Kingdom	0.006172654
I16448	United Kingdom	0.004564064
I16450	United Kingdom	0.125338295
I16453	United Kingdom	0.001010883
I16453	United Kingdom	0.006198475
I16454	United Kingdom	0.058840087
I16455	United Kingdom	0.007122203
I16456	United Kingdom	0.000928732
I16457	United Kingdom	0.025620715
I16458	United Kingdom	0.074288065
I16459	United Kingdom	0.022653722
I16463	United Kingdom	0.147487547
I16467	United Kingdom	0.02094446
I16469	United Kingdom	0.271339486
I16469	United Kingdom	0.2684255
I16471	United Kingdom	0.022360139
I16475	United Kingdom	0.000519872
I16475	United Kingdom	0.000466588
I16475	United Kingdom	0.000777518
I16475	United Kingdom	0.000881096
I16475	United Kingdom	0.0007855
I16475	United Kingdom	0.001041606
I16476	United Kingdom	0.000658165
I16479	United Kingdom	0.001388833
I16488	United Kingdom	0.028358699
I16491	United Kingdom	0.008330069
I16495	United Kingdom	0.07612345
I16498	United Kingdom	0.029709217
I16499	United Kingdom	0.041879343
I16503	United Kingdom	0.311992296
I16504	United Kingdom	0.444643828
I16514	United Kingdom	0.000753864
I16591	United Kingdom	0.007946174
I16592	United Kingdom	0.307376419
I16592	United Kingdom	0.644128926
I16593	United Kingdom	0.00133608
I16595	United Kingdom	0.007843305
I16596	United Kingdom	0.000710088
I16597	United Kingdom	0.108058004
I16599	United Kingdom	0.022726226
I16600	United Kingdom	0.005861606
I16600	United Kingdom	0.063424535
I16601	United Kingdom	0.049296827
I16602	United Kingdom	0.005735335
I16609	United Kingdom	0.001076658
I16611	United Kingdom	0.016054283
I16612	United Kingdom	0.005649074
I16613	United Kingdom	0.000388494
I16615	United Kingdom	0.001174137
I16616	United Kingdom	0.001119463
I16617	United Kingdom	0.005135818
I16617	United Kingdom	0.043714822
I16617	United Kingdom	0.015056789
I16618	United Kingdom	0.048980557
I16618	United Kingdom	0.047059128
I16618	United Kingdom	0.05156086
I16618	United Kingdom	0.043709064
I16618	United Kingdom	0.041634818
I16619	United Kingdom	0.003552167
I16620	United Kingdom	0.00160714
I17014	United Kingdom	0.62597635
I17015	United Kingdom	0.592934284
I17016	United Kingdom	0.622897191
I17017	United Kingdom	0.155491466
I17019	Netherlands	0.075379267
I17258	United Kingdom	0.277648879
I17259	United Kingdom	0.331193646
I17260	United Kingdom	0.297354303
I17261	United Kingdom	0.185945786
I17262	United Kingdom	0.394449824
I17263	United Kingdom	0.193503676
I17264	United Kingdom	0.259490035
I17264	United Kingdom	0.199064449
I17266	United Kingdom	0.004878999
I17267	United Kingdom	0.263245675
I1774	United Kingdom	0.0046
I17750	Netherlands	0.072748382
I18599	United Kingdom	0.508463911
I18606	United Kingdom	0.500035631
I19037	United Kingdom	0.005517112
I19040	United Kingdom	0.040703651
I19042	United Kingdom	0.143052682
I19043	United Kingdom	0.014377126
I19044	United Kingdom	0.090763235
I19045	United Kingdom	0.009153318
I19046	United Kingdom	0.06587667
I19047	United Kingdom	0.002220939
I19207	United Kingdom	0.036286142
I19209	United Kingdom	0.125479776
I19210	United Kingdom	0.301046075
I19211	United Kingdom	0.111128829
I19220	United Kingdom	0.01835477
I19220	United Kingdom	0.048449839
I19286	United Kingdom	0.244631097
I19287	United Kingdom	0.307362188
I19587	United Kingdom	0.001066909
I19588	United Kingdom	0.000681832
I19652	United Kingdom	0.315834105
I19653	United Kingdom	0.191559779
I19654	United Kingdom	0.105770885
I19655	United Kingdom	0.025471033
I19656	United Kingdom	0.409096764
I19657	United Kingdom	0.321049834
I19854	United Kingdom	0.58565454
I19855	United Kingdom	0.240048087
I19856	United Kingdom	0.026944113
I19857	United Kingdom	0.320294077
I19858	United Kingdom	0.310021067
I19859	United Kingdom	0.264591934
I19860	United Kingdom	0.364897042
I19861	United Kingdom	0.326837796
I19862	United Kingdom	0.159311606
I19863	United Kingdom	0.105516946
I19867	United Kingdom	0.260729432
I19868	United Kingdom	0.063794133
I19869	United Kingdom	0.323293893
I19870	United Kingdom	0.392186188
I19872	United Kingdom	0.543591533
I19873	United Kingdom	0.200591729
I19874	United Kingdom	0.49694632
I19907	United Kingdom	0.388368462
I19908	United Kingdom	0.640869736
I19909	United Kingdom	0.594562595
I19910	United Kingdom	0.28985141
I19911	United Kingdom	0.538418857
I19912	United Kingdom	0.515444414
I19913	United Kingdom	0.151332666
I19914	United Kingdom	0.462473504
I19915	United Kingdom	0.333766759
I20057	Netherlands	0.001045386
I20058	Netherlands	0.002201622
I20062	Netherlands	0.758784337
I20063	Netherlands	0.197320454
I20582	United Kingdom	0.447909404
I20583	United Kingdom	0.617548451
I20584	United Kingdom	0.321486066
I20585	United Kingdom	0.428318866
I20586	United Kingdom	0.66554157
I20587	United Kingdom	0.619465013
I20588	United Kingdom	0.605704052
I20589	United Kingdom	0.525881846
I20615	United Kingdom	0.049
I20620	United Kingdom	0.037
I20621	United Kingdom	0.049
I20622	United Kingdom	0.081
I20623	United Kingdom	0.091
I20624	United Kingdom	0.022
I20625	United Kingdom	0.006
I20626	United Kingdom	0.025
I20627	United Kingdom	0.042
I20628	United Kingdom	0.019
I20630	United Kingdom	0.03
I20631	United Kingdom	0.169
I20632	United Kingdom	0.006
I20632	United Kingdom	0.024
I20634	United Kingdom	0.012
I20982	United Kingdom	0.347971877
I20983	United Kingdom	0.468237663
I20984	United Kingdom	0.562161453
I20985	United Kingdom	0.394094431
I20986	United Kingdom	0.504488924
I20987	United Kingdom	0.154162651
I20988	United Kingdom	0.423049719
I20989	United Kingdom	0.470546883
I20990	United Kingdom	0.132293285
I20997	United Kingdom	0.351037737
I21178	United Kingdom	0.443448034
I21179	United Kingdom	0.277147946
I21180	United Kingdom	0.243903692
I21181	United Kingdom	0.323431479
I21182	United Kingdom	0.526092036
I21271	United Kingdom	0.501431089
I21272	United Kingdom	0.369343552
I21274	United Kingdom	0.4431972
