#Datasets	EXB037.A3001.unmapped	EXB037.A3201.unmapped	EXB037.A3401.unmapped	LIB030.A0115.unmapped	EXB037.A3101.unmapped	LIB027.A0136.unmapped	LIB030.A0112.unmapped	LIB030.A0113.unmapped	LIB030.A0114.unmapped	EXB037.A2901.unmapped	EXB037.A3301.unmapped
"Flavobacterium crassostreae"	0.0	39.0	0.0	0.0	0.0	0.0	19.0	15.0	43.0	0.0	0.0
"Flavobacterium cutihirudinis"	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0
"Flavobacterium daejeonense"	0.0	30.0	0.0	0.0	0.0	0.0	17.0	16.0	60.0	33.0	0.0
"Flavobacterium defluvii"	0.0	0.0	0.0	0.0	0.0	0.0	26.0	6.0	28.0	0.0	0.0
"Flavobacterium degerlachei"	0.0	57.0	0.0	0.0	0.0	0.0	24.0	15.0	83.0	34.0	0.0
"Flavobacterium denitrificans"	0.0	23.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0
"Flavobacterium endophyticum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0
"Flavobacterium faecale"	0.0	38.0	0.0	0.0	0.0	0.0	32.0	20.0	95.0	0.0	0.0
"Flavobacterium filum"	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	50.0	0.0	0.0
"Flavobacterium flevense"	0.0	54.0	0.0	10.0	0.0	0.0	38.0	18.0	118.0	0.0	0.0
"Flavobacterium frigidarium"	0.0	33.0	0.0	0.0	0.0	0.0	17.0	18.0	39.0	37.0	0.0
"Flavobacterium frigoris"	0.0	56.0	12.0	0.0	0.0	1.0	49.0	16.0	80.0	32.0	0.0
"Flavobacterium gelidilacus"	0.0	22.0	0.0	0.0	0.0	0.0	18.0	22.0	38.0	0.0	0.0
"Flavobacterium gilvum"	44.0	29.0	0.0	0.0	122.0	0.0	29.0	25.0	90.0	47.0	0.0
"Flavobacterium glaciei"	57.0	78.0	0.0	0.0	135.0	0.0	108.0	44.0	211.0	101.0	0.0
"Flavobacterium glycines"	0.0	37.0	0.0	0.0	0.0	0.0	35.0	28.0	80.0	32.0	0.0
"Flavobacterium haoranii"	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	32.0	0.0	0.0
"Flavobacterium hercynium"	0.0	19.0	0.0	0.0	0.0	0.0	13.0	9.0	56.0	0.0	0.0
"Flavobacterium hibernum"	0.0	26.0	0.0	0.0	0.0	0.0	25.0	14.0	37.0	0.0	0.0
"Flavobacterium hydatis"	0.0	38.0	0.0	0.0	117.0	0.0	39.0	30.0	40.0	0.0	0.0
"Flavobacterium indicum"	0.0	30.0	0.0	0.0	0.0	0.0	29.0	18.0	22.0	34.0	0.0
"Flavobacterium johnsoniae"	0.0	0.0	0.0	0.0	0.0	0.0	26.0	11.0	47.0	0.0	0.0
"Flavobacterium kingsejongi"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0
"Flavobacterium lacus"	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	37.0	0.0	0.0
"Flavobacterium lindanitolerans"	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
"Flavobacterium micromati"	0.0	59.0	0.0	0.0	0.0	0.0	51.0	20.0	86.0	0.0	0.0
"Flavobacterium noncentrifugens"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0
"Flavobacterium omnivorum"	0.0	68.0	0.0	0.0	109.0	0.0	39.0	19.0	70.0	62.0	0.0
"Flavobacterium oncorhynchi"	0.0	0.0	0.0	0.0	0.0	0.0	20.0	7.0	28.0	0.0	0.0
"Flavobacterium pectinovorum"	0.0	35.0	0.0	0.0	0.0	0.0	10.0	17.0	18.0	0.0	0.0
"Flavobacterium phragmitis"	0.0	0.0	0.0	0.0	0.0	0.0	14.0	6.0	0.0	0.0	0.0
"Flavobacterium piscis"	0.0	27.0	0.0	0.0	0.0	0.0	13.0	11.0	33.0	0.0	0.0
"Flavobacterium plurextorum"	0.0	22.0	0.0	0.0	0.0	0.0	25.0	0.0	54.0	32.0	0.0
"Flavobacterium psychrophilum"	49.0	93.0	0.0	0.0	149.0	0.0	107.0	42.0	128.0	65.0	0.0
"Flavobacterium reichenbachii"	0.0	24.0	0.0	0.0	90.0	0.0	0.0	12.0	32.0	0.0	0.0
"Flavobacterium rivuli"	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
"Flavobacterium saliperosum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0
"Flavobacterium sasangense"	0.0	50.0	0.0	0.0	99.0	0.0	39.0	16.0	79.0	42.0	0.0
"Flavobacterium segetis"	0.0	44.0	0.0	0.0	0.0	0.0	23.0	24.0	40.0	0.0	0.0
"Flavobacterium sinopsychrotolerans"	0.0	46.0	0.0	0.0	129.0	0.0	44.0	28.0	115.0	75.0	0.0
"Flavobacterium soli"	0.0	24.0	0.0	0.0	0.0	0.0	86.0	9.0	65.0	0.0	0.0
"Flavobacterium spartansii"	0.0	0.0	0.0	0.0	0.0	0.0	11.0	6.0	0.0	0.0	0.0
"Flavobacterium succinicans"	105.0	129.0	0.0	0.0	255.0	0.0	103.0	69.0	213.0	131.0	190.0
"Flavobacterium tegetincola"	0.0	34.0	18.0	0.0	0.0	0.0	13.0	14.0	51.0	0.0	0.0
"Flavobacterium terrigena"	293.0	513.0	0.0	15.0	750.0	1.0	425.0	181.0	821.0	362.0	0.0
"Flavobacterium tructae"	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0
"Flavobacterium urumqiense"	0.0	56.0	0.0	0.0	105.0	0.0	64.0	29.0	82.0	41.0	0.0
"Flavobacterium xinjiangense"	0.0	64.0	0.0	0.0	113.0	0.0	59.0	33.0	117.0	38.0	0.0
"Flavobacterium xueshanense"	0.0	65.0	0.0	0.0	115.0	0.0	44.0	43.0	92.0	42.0	0.0
"Flavobacterium sp. 316"	0.0	28.0	0.0	0.0	0.0	0.0	25.0	7.0	0.0	0.0	0.0
"Flavobacterium sp. Fl"	0.0	22.0	0.0	0.0	0.0	0.0	0.0	13.0	51.0	0.0	0.0
"Flavobacterium sp. ov086"	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0
"Flavobacterium sp. Root186"	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	25.0	0.0	0.0
"Flavobacterium sp. Root420"	0.0	21.0	0.0	0.0	0.0	0.0	24.0	7.0	44.0	0.0	0.0
"Flavobacterium sp. Root901"	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0
"Flavobacterium sp. Root935"	0.0	30.0	0.0	0.0	0.0	0.0	19.0	7.0	47.0	0.0	0.0
"Flavobacterium sp. URHB0058"	0.0	29.0	0.0	0.0	0.0	0.0	15.0	10.0	29.0	0.0	0.0
"Formosa spongicola"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
"Lacinutrix venerupis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0
"Lutibacter oceani"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0
"Tenacibaculum jejuense"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0
"Tenacibaculum mesophilum"	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
"Flavobacteriaceae bacterium 3519-10"	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
"Mucilaginibacter mallensis"	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0
"Mucilaginibacter sp. PAMC 26640"	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0
"Pedobacter arcticus"	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0
"Pedobacter cryoconitis"	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
"Pedobacter nutrimenti"	150.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	25.0	85.0	445.0
"Pedobacter suwonensis"	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sphingobacterium detergens"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
"Sphingobacterium sp. PM2-P1-29"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
"Bacteroidetes oral taxon 274"	0.0	0.0	0.0	18.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0
"Candidatus Kryptobacter tengchongensis"	0.0	0.0	0.0	0.0	0.0	0.0	117.0	16.0	45.0	39.0	0.0
"Candidatus Kryptonium thompsoni"	2341.0	777.0	1388.0	327.0	1210.0	0.0	5633.0	382.0	3637.0	942.0	1195.0
"Gemmatirosa kalamazoonesis"	0.0	23.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
"Fusobacterium nucleatum"	0.0	0.0	0.0	0.0	263.0	0.0	0.0	11.0	0.0	30.0	0.0
"Leptotrichia wadei"	0.0	0.0	0.0	0.0	174.0	0.0	0.0	0.0	0.0	0.0	0.0
"Streptobacillus moniliformis"	63.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	44.0	70.0
"Candidatus Nitrospira inopinata"	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Nitrospira cf. moscoviensis SBR1015"	89.0	47.0	15.0	28.0	0.0	0.0	15.0	9.0	46.0	107.0	126.0
"Nitrospira defluvii"	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Nitrospira moscoviensis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	84.0
"Phreatobacter cathodiphilus"	852.0	120.0	68.0	38.0	3056.0	0.0	150.0	45.0	247.0	771.0	1365.0
"Polymorphum gilvum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	65.0
"Asticcacaulis biprosthecium"	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Asticcacaulis excentricus"	145.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Asticcacaulis taihuensis"	0.0	20.0	0.0	0.0	95.0	0.0	0.0	0.0	62.0	0.0	0.0
"Brevundimonas bacteroides"	0.0	0.0	339.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	100.0
"Brevundimonas bullata"	73.0	42.0	0.0	0.0	0.0	0.0	0.0	17.0	23.0	64.0	119.0
"Brevundimonas diminuta"	376.0	110.0	38.0	34.0	298.0	0.0	10.0	15.0	20.0	270.0	501.0
"Brevundimonas naejangsanensis"	92.0	20.0	0.0	0.0	0.0	0.0	15.0	9.0	0.0	93.0	150.0
"Brevundimonas subvibrioides"	0.0	0.0	26.0	0.0	0.0	0.0	11.0	0.0	0.0	58.0	0.0
"Brevundimonas vesicularis"	100.0	28.0	14.0	0.0	123.0	0.0	14.0	14.0	0.0	117.0	134.0
"Brevundimonas sp. BAL3"	243.0	35.0	0.0	0.0	125.0	0.0	0.0	7.0	0.0	180.0	400.0
"Brevundimonas sp. DS20"	210.0	28.0	16.0	0.0	95.0	0.0	0.0	13.0	30.0	133.0	284.0
"Brevundimonas sp. GW460-12-10-14-LB2"	113.0	41.0	22.0	0.0	92.0	0.0	0.0	0.0	0.0	74.0	125.0
"Brevundimonas sp. Leaf168"	129.0	53.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	104.0
"Brevundimonas sp. LM2"	95.0	21.0	32.0	0.0	0.0	0.0	14.0	0.0	33.0	57.0	106.0
"Brevundimonas sp. Root1423"	285.0	100.0	26.0	19.0	215.0	0.0	70.0	39.0	87.0	234.0	367.0
"Caulobacter henricii"	65.0	41.0	0.0	9.0	241.0	0.0	28.0	12.0	27.0	66.0	0.0
"Caulobacter mirabilis"	58.0	0.0	0.0	11.0	0.0	0.0	15.0	0.0	0.0	44.0	0.0
"Caulobacter segnis"	61.0	0.0	0.0	0.0	197.0	0.0	20.0	0.0	0.0	0.0	0.0
"Caulobacter vibrioides"	99.0	19.0	20.0	11.0	187.0	0.0	25.0	0.0	26.0	39.0	121.0
"Caulobacter sp. FWC26"	399.0	0.0	90.0	0.0	245.0	1.0	0.0	45.0	22.0	109.0	418.0
"Caulobacter sp. K31"	51.0	27.0	0.0	15.0	109.0	0.0	14.0	0.0	0.0	0.0	0.0
"Caulobacter sp. Root1472"	0.0	0.0	0.0	0.0	0.0	0.0	10.0	6.0	0.0	0.0	0.0
"Caulobacter sp. Root487D2Y"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0
"Caulobacter sp. Root655"	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0
"Caulobacter sp. UNC358MFTsu5.1"	0.0	0.0	0.0	0.0	0.0	0.0	20.0	8.0	0.0	0.0	0.0
"Caulobacter sp. URHA0033"	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
"Phenylobacterium zucineum"	102.0	33.0	0.0	26.0	0.0	0.0	13.0	0.0	24.0	56.0	80.0
"Phenylobacterium sp. Root700"	70.0	50.0	0.0	13.0	0.0	0.0	34.0	7.0	64.0	63.0	0.0
"Caulobacteraceae bacterium OTSz_A_272"	0.0	0.0	0.0	0.0	134.0	0.0	0.0	0.0	0.0	0.0	0.0
"Aurantimonas manganoxydans"	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
"Aureimonas jatrophae"	0.0	0.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0
"Aureimonas altamirensis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0
"Aureimonas sp. AU20"	0.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0
"Aureimonas sp. Leaf460"	44.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0
"Methylovirgula ligni"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0
"Rhodoblastus sphagnicola"	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
"Afipia birgiae"	310.0	171.0	40.0	29.0	200.0	0.0	53.0	16.0	53.0	149.0	202.0
"Afipia broomeae"	1088.0	225.0	125.0	262.0	255.0	0.0	54.0	17.0	72.0	459.0	564.0
"Afipia clevelandensis"	123.0	157.0	11.0	15.0	319.0	0.0	49.0	12.0	75.0	97.0	107.0
"Afipia felis"	246.0	71.0	28.0	0.0	156.0	0.0	19.0	0.0	17.0	119.0	227.0
"Afipia sp. GAS231"	429.0	27.0	29.0	0.0	0.0	0.0	13.0	0.0	20.0	340.0	1951.0
"Bosea lathyri"	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	98.0
"Bosea vaviloviae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	62.0
"Bosea sp. 1131"	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0
"Bosea sp. 117"	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bosea sp. AS-1"	2581.0	75.0	16.0	11.0	184.0	0.0	17.0	0.0	25.0	2614.0	4586.0
"Bosea sp. Leaf344"	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	111.0
"Bosea sp. OK403"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0
"Bosea sp. PAMC 26642"	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	101.0
"Bosea sp. RAC05"	369.0	38.0	0.0	0.0	0.0	0.0	10.0	0.0	19.0	500.0	731.0
"Bosea sp. Root381"	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	274.0
"Bosea sp. Root483D1"	80.0	20.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	118.0	205.0
"Bosea sp. Root670"	540.0	78.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	414.0	668.0
"Bosea sp. UNC402CLCol"	860.0	57.0	13.0	0.0	109.0	0.0	0.0	6.0	0.0	787.0	1518.0
"Bradyrhizobium amphicarpaeae"	308.0	0.0	27.0	0.0	0.0	0.0	10.0	0.0	0.0	205.0	196.0
"Bradyrhizobium arachidis"	110.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	118.0
"Bradyrhizobium diazoefficiens"	228.0	19.0	24.0	11.0	0.0	0.0	24.0	0.0	0.0	155.0	230.0
"Bradyrhizobium elkanii"	3498.0	102.0	116.0	53.0	264.0	0.0	195.0	21.0	92.0	1482.0	3756.0
"Bradyrhizobium erythrophlei"	471.0	134.0	47.0	12.0	132.0	1.0	23.0	15.0	39.0	234.0	710.0
"Bradyrhizobium forestalis"	113.0	34.0	32.0	14.0	0.0	0.0	30.0	14.0	39.0	94.0	148.0
"Bradyrhizobium icense"	187.0	39.0	17.0	10.0	0.0	0.0	16.0	0.0	0.0	84.0	252.0
"Bradyrhizobium japonicum"	1635.0	131.0	166.0	85.0	181.0	0.0	94.0	12.0	40.0	890.0	1731.0
"Bradyrhizobium jicamae"	251.0	40.0	24.0	0.0	0.0	0.0	0.0	7.0	23.0	105.0	379.0
"Bradyrhizobium lablabi"	493.0	81.0	44.0	13.0	104.0	0.0	25.0	10.0	33.0	277.0	876.0
"Bradyrhizobium macuxiense"	611.0	20.0	24.0	0.0	0.0	0.0	29.0	0.0	27.0	246.0	584.0
"Bradyrhizobium manausense"	304.0	19.0	45.0	14.0	0.0	0.0	33.0	0.0	0.0	155.0	515.0
"Bradyrhizobium neotropicale"	81.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	85.0
"Bradyrhizobium nitroreducens"	176.0	0.0	27.0	12.0	0.0	0.0	24.0	0.0	0.0	159.0	164.0
