#Datasets	ABM006.A0101.unmapped	ABM007.A0101.unmapped	ABM008.A0101.unmapped	BAN001.A0101.unmapped	BIT001.A0101.unmapped	BSQ001.A0101.unmapped	CDC005.A0101.unmapped	CDC006.A0101.unmapped	CDC007.A0101.unmapped	CDC008.A0101.unmapped	CDC009.A0101.unmapped	CDC010.A0101.unmapped	DJA002.A0101.unmapped	DJA006.A0101.unmapped	DJA007.A0101.unmapped	DLV001.A0101.unmapped	DLV002.A0101.unmapped	EBO001.A0101.unmapped	EBO003.A0101.unmapped	EBO008.A0101.unmapped	EBO009.A0101.unmapped	ECO002.B0101.unmapped	ECO002.C0101.unmapped	ECO004.B0101.unmapped	ECO004.C0101.unmapped	ECO006.B0101.unmapped	ECO010.B0101.unmapped	EMN001.A0101.unmapped	ESA003.A0101.unmapped	ESA004.A0101.unmapped	ESA006.A0101.unmapped	ESA007.A0101.unmapped	ESA008.A0101.unmapped	FDM001.A0101.unmapped	FUM001.A0101.unmapped	FUM002.A0101.unmapped	FUM003.A0101.unmapped	GDC002.A0101.unmapped	GDC004.A0101.unmapped	GDC005.A0101.unmapped	GDN001.A0101.unmapped	GDN001.B0101.unmapped	GUE001.A0101.unmapped	IBA001.A0101.unmapped	IBA002.A0101.unmapped	JAE006.A0101.unmapped	JAE007.A0101.unmapped	JAE008.A0101.unmapped	JAE009.A0101.unmapped	JAE010.A0101.unmapped	JAE012.A0101.unmapped	JAE013.A0101.unmapped	JAE014.A0101.unmapped	JAE015.A0101.unmapped	JAE016.A0101.unmapped	KNP001.A0102.unmapped	KNP003.A0102.unmapped	KNP004.A0102.unmapped	KNP005.A0102.unmapped	KNP006.A0102.unmapped	KNP007.A0102.unmapped	KNP009.A0102.unmapped	LIS001.A0101.unmapped	LIS003.A0101.unmapped	LOB001.A0101.unmapped	MOA001.A0101.unmapped	MOA001.A0102.unmapped	MTK001.A0101.unmapped	MTM003.A0101.unmapped	MTM010.A0101.unmapped	MTM011.A0101.unmapped	MTM012.A0101.unmapped	MTM013.A0101.unmapped	MTS001.A0101.unmapped	MTS002.A0101.unmapped	MTS003.A0101.unmapped	OAK001.A0101.unmapped	OAK002.A0101.unmapped	OAK003.A0101.unmapped	OAK004.A0101.unmapped	OAK005.A0101.unmapped	OFN001.A0101.unmapped	OME002.A0101.unmapped	OME003.A0101.unmapped	OME005.A0101.unmapped	OME007.A0101.unmapped	OME009.A0101.unmapped	PES001.B0101.unmapped	PLV001.A0101.unmapped	PYK001.A0101.unmapped	PYK002.A0101.unmapped	PYK003.A0101.unmapped	PYK004.A0101.unmapped	PYK005.A0101.unmapped	RIG001.A0101.unmapped	SPM001.A0101.unmapped	SPM002.A0101.unmapped	TAF008.B0101.unmapped	TAF016.B0101.unmapped	TAF017.A0101.unmapped	TAF017.C0101.unmapped	TAF017.E0101.unmapped	TAF018.A0101.unmapped	TAF018.B0101.unmapped	VLC001.A0101.unmapped	VLC002.A0101.unmapped	VLC003.A0101.unmapped	VLC004.A0101.unmapped	VLC005.A0101.unmapped	VLC008.A0101.unmapped	VLC009.A0101.unmapped	VLC010.A0101.unmapped	VLD001.A0101.unmapped	WAL001.A0101.unmapped	ZAF001.A0101.unmapped
"Acidobacteriaceae bacterium KBS 89"	0.0	0.0	0.0	0.0	1474.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	336.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Acidobacteriaceae bacterium URHE0068"	0.0	0.0	0.0	0.0	1123.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Candidatus Solibacter usitatus"	0.0	0.0	0.0	0.0	891.0	294.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	319.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	523.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	494.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	516.0	160.0	0.0	19.0	204.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Chloracidobacterium thermophilum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Geothrix fermentans"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	273.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Thermoanaerobaculum aquaticum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Luteitalea pratensis"	1735.0	0.0	0.0	0.0	0.0	385.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	679.0	480.0	1976.0	0.0	0.0	0.0	0.0	559.0	0.0	0.0	0.0	446.0	0.0	0.0	0.0	0.0	0.0	835.0	0.0	2797.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	321.0	0.0	435.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1533.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	463.0	1324.0	0.0	53.0	460.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	473.0
"Thermocrinis ruber"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	258.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Candidatus Gracilibacteria bacterium HOT-871"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	561.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8085.0	0.0	0.0	23244.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1935.0	1763.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1197.0	0.0	0.0	0.0	0.0	4219.0	1954.0	0.0	0.0	0.0
